; "GeForce GTX 1080", "CC", 6.1, "PCI Bus ID", 6, "PCI Device ID", 0, "Multiprocessors", 20, "Memory [MiB]", 8113, "MemoryFree [MiB]", 8000, "HostMemory [MiB]", 515448, "ECC enabled", 0, "MemClock [MHz]", 5005, "GPUClock [MHz]", 1733, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1509619438,"CurrentTimeLocal","Thu Nov  2 11:43:58 2017","Hostname","r02n13","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 2226.365503
; "Time_ContextDestroy [ms]", 345.394302
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,67,"Warmup",0.347967,0.175709,3.5e-05,0.010111999698,0.017855999991,0.0073600001633,0.012095999904,0.071582,0.671551,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,67,"Warmup",0.345381,0.173912,3.1e-05,0.010432000272,0.01244799979,0.007071999833,0.011392000131,0.076331,0.665538,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,67,"Success",0.349707,0.174529,3.7e-05,0.010048000142,0.011455999687,0.0075520002283,0.012288000435,0.069431,0.663722,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,67,"Success",0.392204,0.20383,4e-05,0.010080000386,0.012608000077,0.007263999898,0.012384000234,0.07091,0.738491,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,67,"Success",0.343876,0.173577,3.9e-05,0.010080000386,0.011807999574,0.007455999963,0.012000000104,0.069779,0.658203,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,67,"Success",0.343282,0.177803,3e-05,0.010143999942,0.012384000234,0.022336000577,0.012128000148,0.072172,0.678994,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,67,"Success",0.34806,0.173668,3e-05,0.0098559996113,0.011520000175,0.0074880002066,0.011680000462,0.069075,0.659578,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,67,"Success",0.344856,0.173119,3e-05,0.010719999671,0.011904000305,0.0071999998763,0.011807999574,0.069699,0.65893,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,67,"Success",0.376688,0.173148,2.9e-05,0.010080000386,0.011807999574,0.0070079998113,0.011583999731,0.073741,0.692403,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,67,"Success",0.342816,0.178432,4.1e-05,0.0099520003423,0.012000000104,0.0071359998547,0.011615999974,0.06994,0.660515,152,152,152,5.2390545847e-08,0
