; "GeForce GTX 1080", "CC", 6.1, "PCI Bus ID", 6, "PCI Device ID", 0, "Multiprocessors", 20, "Memory [MiB]", 8119, "MemoryFree [MiB]", 7996, "HostMemory [MiB]", 515253, "ECC enabled", 0, "MemClock [MHz]", 5005, "GPUClock [MHz]", 1733, "CUDA Runtime", 9000, "cufft", 9000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529486712,"CurrentTimeLocal","Wed Jun 20 11:25:12 2018","Hostname","r02n20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 1316.689276
; "Time_ContextDestroy [ms]", 116.90331
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,67,"Warmup",0.158871,0.376123,5.8e-05,0.012191999704,0.016736000776,0.0073919999413,0.013120000251,0.127496,0.741681,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,67,"Warmup",0.157843,0.369421,5.5e-05,0.01206399966,0.01340799965,0.0071680000983,0.01292799972,0.124648,0.727686,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,67,"Success",0.154217,0.37482,4.8e-05,0.011776000261,0.013344000094,0.007424000185,0.013024000451,0.124087,0.729599,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,67,"Success",0.154014,0.378472,4.4e-05,0.011967999861,0.013472000137,0.0070079998113,0.013024000451,0.125352,0.732538,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,67,"Success",0.155144,0.369244,4.4e-05,0.012288000435,0.013472000137,0.0081919999793,0.012608000077,0.12276,0.722485,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,67,"Success",0.154985,0.374672,4.4e-05,0.012095999904,0.013376000337,0.0071680000983,0.012640000321,0.123293,0.728146,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,67,"Success",0.157795,0.397767,4.4e-05,0.012223999947,0.01331199985,0.0075520002283,0.012640000321,0.123929,0.754228,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,67,"Success",0.155734,0.368676,7.4e-05,0.011327999644,0.013632000424,0.0071680000983,0.012768000364,0.12351,0.723149,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,67,"Success",0.153915,0.376292,4.7e-05,0.011583999731,0.01417599991,0.007455999963,0.011807999574,0.12334,0.729436,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,67,"Success",0.158401,0.38985,3.9e-05,0.015680000186,0.01331199985,0.0071359998547,0.01254399959,0.1244,0.751343,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,10,67,"Success",0.153834,0.368167,6.5e-05,0.011904000305,0.013567999937,0.0081919999793,0.012608000077,0.122441,0.720456,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,11,67,"Success",0.154083,0.37401,4.4e-05,0.01206399966,0.013439999893,0.006432000082,0.012319999747,0.124213,0.726663,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,68,"Warmup",0.164813,0.470669,5.5e-05,0.012768000364,0.020096000284,0.011264000088,0.01456000004,0.137972,0.862606,2888,2888,2888,5.7175951463e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,68,"Warmup",0.168463,0.424366,4.5e-05,0.013344000094,0.017408000305,0.010816000402,0.013632000424,0.128133,0.811011,2888,2888,2888,5.7175951463e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,68,"Success",0.159188,0.417639,3.7e-05,0.012288000435,0.018079999834,0.011455999687,0.013279999606,0.129365,0.791751,2888,2888,2888,5.7175951463e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,68,"Success",0.163942,0.422837,4.9e-05,0.01292799972,0.018432000652,0.011008000001,0.014047999866,0.130778,0.804684,2888,2888,2888,5.7175951463e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,68,"Success",0.157734,0.403572,4.5e-05,0.012896000408,0.018432000652,0.012288000435,0.014047999866,0.128915,0.777806,2888,2888,2888,5.7175951463e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,5,68,"Success",0.157455,0.42215,5.3e-05,0.012095999904,0.017343999818,0.010239999741,0.013024000451,0.128516,0.791625,2888,2888,2888,5.7175951463e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,6,68,"Success",0.155734,0.396758,4e-05,0.012640000321,0.018432000652,0.011264000088,0.01379199978,0.131511,0.770379,2888,2888,2888,5.7175951463e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,7,68,"Success",0.155301,0.39395,5.1e-05,0.011839999817,0.017408000305,0.011264000088,0.013439999893,0.129263,0.762234,2888,2888,2888,5.7175951463e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,8,68,"Success",0.162515,0.39871,4.2e-05,0.01244799979,0.018432000652,0.010239999741,0.013151999563,0.127113,0.773478,2888,2888,2888,5.7175951463e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,9,68,"Success",0.157179,0.414468,4.4e-05,0.012191999704,0.017408000305,0.010944000445,0.013632000424,0.143412,0.798919,2888,2888,2888,5.7175951463e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,10,68,"Success",0.17579,0.400681,4.8e-05,0.013344000094,0.018176000565,0.010239999741,0.013376000337,0.141929,0.808151,2888,2888,2888,5.7175951463e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,11,68,"Success",0.163346,0.442953,4.6e-05,0.011967999861,0.018144000322,0.010239999741,0.013887999579,0.13559,0.826672,2888,2888,2888,5.7175951463e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,0,69,"Warmup",0.163618,0.379642,5.5e-05,0.020352000371,0.025599999353,0.015200000256,0.029376000166,0.136819,0.801867,54872,54872,54872,7.4423780387e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,1,69,"Warmup",0.160308,0.388304,5.2e-05,0.022463999689,0.022528000176,0.015359999612,0.029952000827,0.128284,0.797828,54872,54872,54872,7.4423780387e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,2,69,"Success",0.155389,0.383247,6.3e-05,0.0208320003,0.023199999705,0.014336000197,0.029727999121,0.128685,0.786554,54872,54872,54872,7.4423780387e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,3,69,"Success",0.153809,0.383981,4.8e-05,0.020384000614,0.024191999808,0.015200000256,0.029120000079,0.126693,0.782168,54872,54872,54872,7.4423780387e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,4,69,"Success",0.15445,0.37632,4.4e-05,0.019680000842,0.021888000891,0.014976000413,0.029567999765,0.129708,0.777122,54872,54872,54872,7.4423780387e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,5,69,"Success",0.154922,0.377512,3e-05,0.018783999607,0.023135999218,0.015359999612,0.029184000567,0.124343,0.774048,54872,54872,54872,7.4423780387e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,6,69,"Success",0.153184,0.385466,5e-05,0.019584000111,0.021503999829,0.016160000116,0.028736000881,0.124848,0.77954,54872,54872,54872,7.4423780387e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,7,69,"Success",0.153383,0.381128,4.2e-05,0.020191999152,0.022752000019,0.01331199985,0.028575999662,0.127174,0.777954,54872,54872,54872,7.4423780387e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,8,69,"Success",0.15264,0.376682,3.9e-05,0.01977599971,0.021503999829,0.014336000197,0.028543999419,0.129848,0.774812,54872,54872,54872,7.4423780387e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,9,69,"Success",0.159243,0.40244,4.1e-05,0.018880000338,0.022336000577,0.015135999769,0.030815999955,0.128355,0.808508,54872,54872,54872,7.4423780387e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,10,69,"Success",0.151958,0.385792,2.9e-05,0.020287999883,0.022207999602,0.014336000197,0.028575999662,0.124461,0.77835,54872,54872,54872,7.4423780387e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,11,69,"Success",0.154087,0.384043,4.8e-05,0.019840000197,0.022528000176,0.014303999953,0.028767999262,0.125754,0.778895,54872,54872,54872,7.4423780387e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,0,70,"Warmup",0.163345,0.378203,5.8e-05,0.1853120029,0.057248000056,0.046080000699,0.27952000499,0.136388,1.285374,1042568,1042568,1042568,8.3867711295e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,1,70,"Warmup",0.164021,0.37627,4.6e-05,0.18627199531,0.053056001663,0.046080000699,0.29084798694,0.13195,1.280835,1042568,1042568,1042568,8.3867711295e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,2,70,"Success",0.157241,0.383163,4.8e-05,0.18576000631,0.053504001349,0.045056000352,0.27974399924,0.13251,1.269046,1042568,1042568,1042568,8.3867711295e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,3,70,"Success",0.156116,0.376355,4.8e-05,0.187808007,0.052703998983,0.045056000352,0.28070399165,0.133696,1.2642,1042568,1042568,1042568,8.3867711295e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,4,70,"Success",0.162154,0.376031,5e-05,0.19222399592,0.053119998425,0.046080000699,0.28460800648,0.133599,1.279187,1042568,1042568,1042568,8.3867711295e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,5,70,"Success",0.159109,0.382231,4.6e-05,0.18636800349,0.052864000201,0.046080000699,0.27916800976,0.132217,1.269079,1042568,1042568,1042568,8.3867711295e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,6,70,"Success",0.161114,0.377021,4.7e-05,0.19177600741,0.053087998182,0.045056000352,0.28185600042,0.135055,1.276266,1042568,1042568,1042568,8.3867711295e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,7,70,"Success",0.155916,0.376087,3.8e-05,0.1893119961,0.052671998739,0.046080000699,0.28675198555,0.132074,1.269845,1042568,1042568,1042568,8.3867711295e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,8,70,"Success",0.157306,0.381885,4e-05,0.18691200018,0.053344000131,0.046080000699,0.27897599339,0.130746,1.265698,1042568,1042568,1042568,8.3867711295e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,9,70,"Success",0.158225,0.3756,3.4e-05,0.18838399649,0.051775999367,0.045855998993,0.28268799186,0.133398,1.266682,1042568,1042568,1042568,8.3867711295e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,10,70,"Success",0.162359,0.399703,3.9e-05,0.18876799941,0.052384000272,0.046016000211,0.27932798862,0.130726,1.290739,1042568,1042568,1042568,8.3867711295e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,11,70,"Success",0.154917,0.380239,3.7e-05,0.18537600338,0.052512001246,0.045951999724,0.28012800217,0.131856,1.260745,1042568,1042568,1042568,8.3867711295e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,71,"Warmup",0.264832,0.511952,5.9e-05,1.9510079622,1.139359951,1.1331839561,2.9544959068,0.751023,8.742298,19808792,19808792,19808792,1.3223266788e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,71,"Warmup",0.201791,0.511548,5.1e-05,2.0649280548,1.1395839453,1.1304960251,2.9520959854,0.734125,8.767368,19808792,19808792,19808792,1.3223266788e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,71,"Success",0.199063,0.502601,5.2e-05,1.9931839705,1.141824007,1.1345920563,2.9649279118,0.733014,8.70156,19808792,19808792,19808792,1.3223266788e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,71,"Success",0.196449,0.503975,4.8e-05,2.0221118927,1.1443200111,1.1293439865,2.921407938,0.744449,8.69417,19808792,19808792,19808792,1.3223266788e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,71,"Success",0.198327,0.506084,4.4e-05,1.9920320511,1.1405440569,1.1356159449,2.9518399239,0.738999,8.695489,19808792,19808792,19808792,1.3223266788e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,71,"Success",0.195157,0.501046,5.5e-05,1.9977920055,1.1432000399,1.1324800253,2.8955519199,0.732718,8.63213,19808792,19808792,19808792,1.3223266788e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,71,"Success",0.208893,0.507655,5e-05,1.9874880314,1.1445440054,1.1315200329,2.9376320839,0.741624,8.69253,19808792,19808792,19808792,1.3223266788e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,71,"Success",0.219425,0.546954,9.3e-05,2.1191039085,1.1387200356,1.1335680485,2.8791680336,0.746488,8.81776,19808792,19808792,19808792,1.3223266788e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,71,"Success",0.205226,0.555962,5.6e-05,2.0608639717,1.141471982,1.1294720173,2.9211199284,0.757604,8.804728,19808792,19808792,19808792,1.3223266788e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,71,"Success",0.218413,0.520771,3.9e-05,2.0819840431,1.1494719982,1.1284480095,2.8783359528,0.758394,8.768635,19808792,19808792,19808792,1.3223266788e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,71,"Success",0.201719,0.538148,4.1e-05,2.0686399937,1.1404479742,1.1363199949,2.9041919708,0.745569,8.768258,19808792,19808792,19808792,1.3223266788e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,71,"Success",0.203271,0.553388,4.7e-05,2.0902080536,1.1408319473,1.134559989,2.9217278957,0.738725,8.814708,19808792,19808792,19808792,1.3223266788e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,0,72,"Warmup",1.983376,0.907944,5.8e-05,53.077438354,25.612960815,25.578496933,55.974689484,7.326868,170.531132,376367048,376367048,376367048,1.2156892485e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,1,72,"Warmup",1.091724,0.894857,6.1e-05,52.006752014,25.668991089,25.659391403,53.387233734,7.355875,166.137095,376367048,376367048,376367048,1.2156892485e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,2,72,"Success",1.097963,0.897725,6.1e-05,51.694496155,25.613599777,25.603071213,53.738239288,7.262715,165.953593,376367048,376367048,376367048,1.2156892485e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,3,72,"Success",1.208378,0.94931,4.7e-05,53.797439575,25.63356781,25.643007278,52.013278961,7.241646,166.543153,376367048,376367048,376367048,1.2156892485e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,4,72,"Success",1.096264,0.892931,5.2e-05,52.750751495,25.611455917,25.597951889,54.184673309,7.327411,167.531573,376367048,376367048,376367048,1.2156892485e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,5,72,"Success",1.101403,0.953359,4.1e-05,52.376544952,25.647615433,25.581567764,53.373790741,7.377027,166.479985,376367048,376367048,376367048,1.2156892485e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,6,72,"Success",1.096137,0.89525,5.8e-05,51.796928406,25.647071838,25.574399948,54.093921661,7.275929,166.422524,376367048,376367048,376367048,1.2156892485e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,7,72,"Success",1.094512,0.893498,5.5e-05,53.02614212,25.67596817,25.586687088,52.315425873,7.239673,165.900923,376367048,376367048,376367048,1.2156892485e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,8,72,"Success",1.102837,0.888506,0.000149,52.317249298,25.584768295,25.619327545,53.365566254,7.256222,166.206155,376367048,376367048,376367048,1.2156892485e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,9,72,"Success",1.09312,0.898106,4.7e-05,52.857151031,25.612159729,25.549823761,53.450401306,7.363931,166.88375,376367048,376367048,376367048,1.2156892485e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,10,72,"Success",1.099887,0.895251,5e-05,51.993919373,25.632799149,25.584415436,53.291969299,7.274881,165.816789,376367048,376367048,376367048,1.2156892485e-07,0
"CuFFT","Inplace","Complex","float",1,"oddshape",47045881,0,0,11,72,"Success",1.093188,0.926592,4.7e-05,52.598335266,25.64140892,25.593856812,54.729278564,7.247046,167.899264,376367048,376367048,376367048,1.2156892485e-07,0
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,0,66,"Warmup",0.17503,0.402224,5.2e-05,0.017535999417,0.02969600074,0.012288000435,0.016575999558,0.143537,0.832633,2888,2888,2888,7.0325464736e-08,0
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,1,66,"Warmup",0.168286,0.396371,4.2e-05,0.014816000126,0.025248000398,0.012288000435,0.015776000917,0.141575,0.80775,2888,2888,2888,7.0325464736e-08,0
