; "Tesla K20Xm", "CC", 3.5, "PCI Bus ID", 2, "PCI Device ID", 0, "Multiprocessors", 14, "Memory [MiB]", 5699, "MemoryFree [MiB]", 5631, "HostMemory [MiB]", 48231, "ECC enabled", 1, "MemClock [MHz]", 2600, "GPUClock [MHz]", 732, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503516164,"CurrentTimeLocal","Wed Aug 23 21:22:44 2017","Hostname","taurusi2001","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 353.958366
; "Time_ContextDestroy [ms]", 230.024445
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,67,"Warmup",0.575436,0.522471,0.000182,0.020896000788,0.033472001553,0.018559999764,0.026879999787,0.204616,1.480277,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,67,"Warmup",0.582992,0.498451,0.000182,0.020447999239,0.028575999662,0.018944000825,0.027232000604,0.206396,1.458086,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,67,"Success",0.564826,0.497656,0.007413,0.019904000685,0.028095999733,0.019424000755,0.026688000187,0.198878,1.431471,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,67,"Success",0.568504,0.497836,0.00019,0.020191999152,0.028192000464,0.018303999677,0.024000000209,0.204168,1.436449,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,67,"Success",0.564384,0.534914,0.000193,0.020160000771,0.028991999105,0.017696000636,0.027071999386,0.202196,1.470248,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,67,"Success",0.565289,0.51871,0.000186,0.019872000441,0.036224000156,0.018271999434,0.025056000799,0.20089,1.450341,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,67,"Success",0.563187,0.497004,0.000185,0.020128000528,0.027583999559,0.018079999834,0.026464000344,0.202108,1.428309,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,67,"Success",0.569976,0.496949,0.000183,0.021471999586,0.028031999245,0.018944000825,0.0266239997,0.204651,1.437119,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,67,"Success",0.558867,0.495386,0.000208,0.019840000197,0.028991999105,0.017952000722,0.02691200003,0.20321,1.432519,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,67,"Success",0.562184,0.497656,0.00018,0.019904000685,0.027968000621,0.018079999834,0.034336000681,0.201662,1.430214,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,10,67,"Success",0.563024,0.522634,0.000192,0.019648000598,0.02768000029,0.027232000604,0.025280000642,0.19724,1.448368,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,11,67,"Success",0.56766,0.497409,0.000188,0.019904000685,0.031295999885,0.019104000181,0.026399999857,0.195345,1.424709,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,68,"Warmup",0.559853,0.527816,0.000203,0.02208000049,0.068960003555,0.047839999199,0.028831999749,0.201287,1.524371,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,68,"Warmup",0.556763,0.528222,0.000192,0.021279999986,0.056127998978,0.049279998988,0.027615999803,0.204288,1.510088,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,68,"Success",0.550407,0.520914,0.000185,0.020671999082,0.05891200155,0.047743998468,0.027456000447,0.202275,1.495519,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,68,"Success",0.559481,0.549239,0.000213,0.020864000544,0.057631999254,0.047552000731,0.02710399963,0.198798,1.526394,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,68,"Success",0.563499,0.511716,0.000185,0.020671999082,0.058368001133,0.048287998885,0.026720000431,0.211999,1.508309,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,5,68,"Success",0.562222,0.511981,0.000195,0.022112000734,0.057248000056,0.047552000731,0.027200000361,0.209867,1.504871,2888,2888,2888,5.6395159578e-08,0
