; "Tesla K80", "CC", 3.7, "PCI Bus ID", 4, "PCI Device ID", 0, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "HostMemory [MiB]", 64323, "ECC enabled", 1, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503528092,"CurrentTimeLocal","Thu Aug 24 00:41:32 2017","Hostname","taurusi2051","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 471.96072
; "Time_ContextDestroy [ms]", 254.270138
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,67,"Warmup",0.718881,0.827069,0.000134,0.015968000516,0.02940800041,0.013055999763,0.024032000452,0.265024,1.960539,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,67,"Warmup",0.76341,0.811621,0.000142,0.015391999856,0.023008000106,0.012480000034,0.023584000766,0.260397,1.976636,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,67,"Success",0.790066,0.810163,0.000142,0.015135999769,0.022752000019,0.012351999991,0.023104000837,0.264916,2.004724,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,67,"Success",0.800148,0.801205,0.000146,0.014495999552,0.022336000577,0.012415999547,0.022719999775,0.256201,1.995447,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,67,"Success",0.765055,1.018736,0.000128,0.015231999569,0.024512000382,0.013535999693,0.023647999391,0.262474,2.189912,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,67,"Success",0.722312,0.803002,0.00015,0.015744000673,0.023104000837,0.012671999633,0.023264000192,0.267681,1.934285,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,67,"Success",0.796948,0.806603,0.000118,0.015391999856,0.023264000192,0.012223999947,0.023296000436,0.258321,2.002884,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,67,"Success",0.811049,0.800032,0.000148,0.015168000013,0.022687999532,0.012223999947,0.021568000317,0.255615,2.003382,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,67,"Success",0.7954,0.795158,0.000148,0.015904000029,0.023711999878,0.01206399966,0.024415999651,0.256329,1.993551,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,67,"Success",0.712275,0.799847,0.00015,0.015072000213,0.021824000403,0.012415999547,0.022592000663,0.253064,1.902864,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,10,67,"Success",0.794567,0.808527,0.000138,0.015231999569,0.023423999548,0.012288000435,0.023615999147,0.27163,2.015737,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,11,67,"Success",0.799105,0.814512,0.00013,0.015263999812,0.022752000019,0.012864000164,0.023264000192,0.259229,2.014248,152,152,152,5.2390545847e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,68,"Warmup",0.795493,0.813224,0.000258,0.01571200043,0.061792001128,0.035392001271,0.025056000799,0.340319,2.15304,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,68,"Warmup",0.792652,0.81897,0.000142,0.017119999975,0.04687999934,0.035456001759,0.024032000452,0.273539,2.072977,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,68,"Success",0.721577,0.824426,0.000168,0.0153280003,0.046303998679,0.035328000784,0.024544000626,0.260125,1.99423,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,68,"Success",0.733631,0.816661,0.000128,0.016160000116,0.044672001153,0.035360001028,0.02332800068,0.25602,1.991991,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,68,"Success",0.797787,0.807424,0.000146,0.016031999141,0.04591999948,0.035167999566,0.023584000766,0.254241,2.051616,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,5,68,"Success",0.814723,1.047553,0.000128,0.016640000045,0.045184001327,0.035135999322,0.024320000783,0.258119,2.306663,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,6,68,"Success",0.894112,0.811816,0.000124,0.015839999542,0.046624001116,0.035456001759,0.024064000696,0.260712,2.160576,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,7,68,"Success",0.749389,0.818156,0.000142,0.015456000343,0.04521600157,0.035392001271,0.023231999949,0.258237,2.011394,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,8,68,"Success",0.784426,0.815377,0.000142,0.015039999969,0.044991999865,0.035264000297,0.024000000209,0.280568,2.066114,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,9,68,"Success",0.791757,0.811417,0.000136,0.015168000013,0.044895999134,0.035232000053,0.023647999391,0.257181,2.045876,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,10,68,"Success",0.78708,0.810743,0.000144,0.016063999385,0.0456960015,0.035071998835,0.024256000295,0.26723,2.051792,2888,2888,2888,5.6395159578e-08,0
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,11,68,"Success",0.79521,0.823373,0.00014,0.015680000186,0.044672001153,0.034848000854,0.023199999705,0.257036,2.060552,2888,2888,2888,5.6395159578e-08,0
