; "Tesla K80", "CC", 3.7, "PCI Bus ID", 4, "PCI Device ID", 0, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "HostMemory [MiB]", 64323, "ECC enabled", 1, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1504094646,"CurrentTimeLocal","Wed Aug 30 14:04:06 2017","Hostname","taurusi2097","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 238.100028
; "Time_ContextDestroy [ms]", 254.593313
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,0,"Warmup",0.921551,1.644376,2.224949,11.232128143,4.1218237877,4.0838079453,9.68521595,0.544169,34.545723,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,0,"Warmup",0.982015,1.691109,2.219117,11.57888031,4.1143360138,4.0862398148,9.6418561935,0.54421,34.946558,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,0,"Success",0.98555,1.702765,2.180967,11.558272362,4.1097598076,4.0847678185,9.6569919586,0.541948,34.908456,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,0,"Success",0.978949,1.719152,2.251238,11.551679611,4.1276478767,4.1016001701,9.6840000153,0.536332,35.037767,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,0,"Success",0.978501,1.698697,2.19366,11.553919792,4.1145281792,4.0865278244,9.6773757935,0.54174,34.932863,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,5,0,"Success",0.981857,1.711254,2.215092,11.585503578,4.121088028,4.078815937,9.7082557678,0.531083,35.021294,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,6,0,"Success",0.955309,1.695632,2.21447,11.588992119,4.1026558876,4.0899839401,9.7301435471,0.526865,34.991485,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,7,0,"Success",0.984593,1.695065,2.115093,11.600640297,4.1182398796,4.0867519379,9.6603841782,0.531571,34.88216,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,8,0,"Success",0.97266,1.685088,2.235661,11.602720261,4.1080641747,4.0883197784,9.613120079,0.535108,34.928038,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,9,0,"Success",1.006635,1.703227,2.210775,11.326815605,4.1093120575,4.1010241508,9.6442556381,0.544952,34.734195,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,10,0,"Success",0.985011,1.699943,2.225967,11.224063873,4.1114239693,4.0803837776,9.673248291,0.53956,34.630251,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,11,0,"Success",0.919214,1.647025,2.191198,11.603103638,4.1187200546,4.0854401588,9.6831998825,0.526305,34.860266,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,1,"Warmup",1.002659,1.708639,2.229365,11.509568214,4.1154241562,4.0864319801,9.6708803177,0.536224,34.949044,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,1,"Warmup",0.947663,1.700531,2.180147,11.572735786,4.1095042229,4.0739197731,9.6428804398,0.531677,34.852311,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,1,"Success",0.982032,1.702137,2.209172,11.255935669,4.1165761948,4.0897598267,9.609536171,0.535489,34.589278,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,1,"Success",0.976998,1.722947,2.202555,11.881407738,4.1097922325,4.0824961662,9.7368001938,0.532565,35.333812,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,1,"Success",0.977393,1.697368,2.222521,11.216768265,4.1186242104,4.101503849,9.6170883179,0.537768,34.580426,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,5,1,"Success",0.924469,1.700263,2.217208,11.64969635,4.1306881905,4.0896320343,9.6616315842,0.537094,34.999622,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,6,1,"Success",0.986357,1.692712,2.19182,11.253151894,4.1212801933,4.0899200439,9.6253118515,0.538242,34.587688,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,7,1,"Success",0.97996,1.699614,2.208318,11.622624397,4.1310081482,4.0972480774,9.6342716217,0.534348,34.998287,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,8,1,"Success",0.980363,1.700167,2.424676,11.660351753,4.1190400124,4.0939202309,9.6079359055,0.531093,35.207069,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,9,1,"Success",1.014084,1.705193,2.213068,11.617823601,4.1229758263,4.0932478905,9.6172161102,0.530001,35.00132,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,10,1,"Success",0.981464,1.679693,2.211969,11.582176208,4.1155519485,4.0878400803,9.6204795837,0.529297,34.8963,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,11,1,"Success",0.95125,1.643156,2.228573,11.624159813,4.1204800606,4.0860800743,9.6438083649,0.531513,34.916072,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,2,"Warmup",0.996606,1.692181,2.198249,11.431360245,4.1243200302,4.0848321915,9.6229763031,0.537655,34.784728,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,2,"Warmup",0.951535,1.683337,2.234047,11.564736366,4.1232638359,4.0944318771,9.9165763855,0.529827,35.187049,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,2,"Success",0.91112,1.651995,2.222828,11.887392044,4.1179838181,4.0841598511,9.6170558929,0.536024,35.117553,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,2,"Success",0.969851,1.71835,2.176543,11.1650877,4.122879982,4.078335762,9.5099515915,0.539056,34.367016,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,2,"Success",0.979439,1.729233,2.200836,11.271712303,4.1156477928,4.0824961662,9.63052845,0.536252,34.635491,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,5,2,"Success",0.981098,1.69504,2.159745,11.596287727,4.103263855,4.0813121796,9.6884479523,0.528387,34.922842,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,6,2,"Success",1.233276,1.728674,2.225,11.619615555,4.120639801,4.0793600082,9.6248960495,0.546206,35.263457,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,7,2,"Success",0.989365,1.695086,2.226175,11.243359566,4.1256961823,4.0808320045,9.6405439377,0.540536,34.63165,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,8,2,"Success",0.98625,1.735865,2.227293,11.600768089,4.1066880226,4.0873918533,9.6175680161,0.536681,34.993823,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,9,2,"Success",0.977889,1.626279,2.225546,11.217663765,4.1175041199,4.0896959305,9.60633564,0.53995,34.490397,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,10,2,"Success",0.981651,1.690717,2.213928,11.593919754,4.1191039085,4.1044478416,9.6552639008,0.539012,34.985832,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,11,2,"Success",1.184688,1.705564,2.220249,11.562623978,4.1191039085,4.0918397903,9.7512321472,0.534319,35.259346,67108872,67108864,67108864,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,3,"Warmup",1.019189,1.712022,2.229299,11.519807816,4.1112318039,4.0889282227,9.7125120163,0.532358,35.014511,67108872,67108864,67108864,0,0
