; "Tesla K80", "CC", 3.7, "PCI Bus ID", 4, "PCI Device ID", 0, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "HostMemory [MiB]", 64323, "ECC enabled", 1, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1504094671,"CurrentTimeLocal","Wed Aug 30 14:04:31 2017","Hostname","taurusi2097","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 79.4927
; "Time_ContextDestroy [ms]", 254.429285
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,0,"Warmup",0.794305,1.581553,1.82672,0.015839999542,0.058304000646,0.061728000641,0.025472000241,0.467469,4.907449,4104,4096,4096,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,0,"Warmup",0.793841,1.58133,1.836584,0.015904000029,0.059840001166,0.05584000051,0.02768000029,0.465573,4.909192,4104,4096,4096,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,0,"Success",0.792523,1.565534,1.822227,0.015968000516,0.058047998697,0.054175999016,0.027456000447,0.468083,4.879881,4104,4096,4096,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,0,"Success",0.794249,1.56962,1.833602,0.017567999661,0.058623999357,0.055039998144,0.027839999646,0.477673,4.909692,4104,4096,4096,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,0,"Success",0.790197,1.545325,1.875479,0.015552000143,0.057535998523,0.053920000792,0.027551999316,0.464621,4.906548,4104,4096,4096,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,5,0,"Success",0.790911,1.572915,1.839954,0.01600000076,0.05785600096,0.054111998528,0.027168000117,0.478947,4.913465,4104,4096,4096,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,6,0,"Success",0.796656,1.576821,1.823244,0.015936000273,0.058527998626,0.054944001138,0.027456000447,0.475766,4.911782,4104,4096,4096,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,7,0,"Success",0.752848,1.589381,1.8224,0.015647999942,0.058207999915,0.053151998669,0.02691200003,0.46447,4.858281,4104,4096,4096,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,8,0,"Success",0.784098,1.567941,1.859236,0.015807999298,0.057440001518,0.054400000721,0.027775999159,0.468903,4.912443,4104,4096,4096,0,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,9,0,"Success",0.79409,1.570221,2.145763,0.016095999628,0.058400001377,0.063840001822,0.027712000534,0.473815,5.226932,4104,4096,4096,0,0
