"Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1504094674,"CurrentTimeLocal","Wed Aug 30 14:04:34 2017"
; "Time_ContextCreate [ms]", NA
; "Time_ContextDestroy [ms]", NA
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,0,"Success",1.02961,1.81519,2.21824,11.2009,4.11216,4.08922,9.6127,0.526131,34.6923,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,0,"Success",1.02389,2.09963,2.22819,11.3248,4.12563,4.08163,9.59709,0.532883,35.1036,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,0,"Success",1.02,1.7898,2.17857,11.2489,4.11562,4.09418,9.63264,0.525283,34.6997,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,0,"Success",1.02955,1.81978,2.21716,11.3366,4.12125,4.08384,9.60531,0.525229,34.8286,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,0,"Success",1.03477,1.79717,2.1202,11.3095,4.12013,4.08694,9.66707,0.530337,34.7564,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,0,"Success",1.02026,1.80402,2.1916,11.2595,4.11568,4.07702,9.58019,0.536846,34.672,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,0,"Success",1.03323,1.79951,2.17909,11.2553,4.11994,4.08867,9.61552,0.534308,34.7643,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,0,"Success",1.03124,1.80601,2.20121,11.2966,4.1273,4.09504,9.59635,0.53874,34.7832,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,0,"Success",1.02795,1.84882,2.23961,11.2683,4.11274,4.08941,9.58112,0.529963,34.7848,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,0,"Success",1.0318,1.79509,2.23739,11.3704,4.1152,4.08605,9.61376,0.523647,34.8627,67108872,0,0
