"Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1504095775,"CurrentTimeLocal","Wed Aug 30 14:22:55 2017"
; "Time_ContextCreate [ms]", NA
; "Time_ContextDestroy [ms]", NA
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,0,"Success",0.780747,1.57633,1.84424,0.016096,0.056768,0.053728,0.028224,0.464729,4.89588,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,0,"Success",0.776271,1.56523,1.80917,0.015808,0.05568,0.057088,0.027328,0.461887,4.8455,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,0,"Success",0.774933,1.5793,1.82677,0.016384,0.056032,0.053888,0.028192,0.482716,4.89563,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,0,"Success",0.758814,1.57409,1.8283,0.016832,0.05808,0.055104,0.028,0.474513,4.87123,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,0,"Success",0.76807,1.59385,1.8284,0.016,0.05616,0.053568,0.02768,0.466175,4.88582,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,5,0,"Success",0.777157,1.58258,1.83557,0.017536,0.055104,0.052896,0.025728,0.465749,4.88738,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,6,0,"Success",0.786966,1.55089,1.77903,0.015776,0.056128,0.053248,0.027392,0.462393,4.80878,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,7,0,"Success",0.775132,1.5672,1.81854,0.01632,0.05536,0.052704,0.036224,0.461131,4.85949,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,8,0,"Success",0.772107,1.55971,1.8086,0.01696,0.054784,0.053056,0.026848,0.467685,4.83296,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,9,0,"Success",0.767012,1.75688,1.79694,0.016192,0.056384,0.053824,0.027296,0.469042,5.02094,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,1,"Success",0.769616,1.57385,1.83475,0.015776,0.055616,0.05296,0.02704,0.459675,4.86614,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,1,"Success",0.772436,1.55776,1.80596,0.015712,0.054592,0.053792,0.033984,0.467857,4.84404,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,1,"Success",0.763701,1.52311,1.82669,0.016352,0.058144,0.055232,0.028064,0.474583,4.82053,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,1,"Success",0.774492,1.57578,1.82065,0.016032,0.056736,0.053216,0.027808,0.460399,4.86296,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,1,"Success",0.744216,1.57272,1.81958,0.016096,0.061408,0.051104,0.026784,0.461421,4.83764,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,5,1,"Success",0.770506,1.55957,1.81782,0.015136,0.055392,0.054016,0.027488,0.475021,4.8514,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,6,1,"Success",0.751164,1.59241,1.82747,0.01632,0.056288,0.053568,0.02752,0.465013,4.8666,4104,0,0
