"Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1504095792,"CurrentTimeLocal","Wed Aug 30 14:23:12 2017"
; "Time_ContextCreate [ms]", NA
; "Time_ContextDestroy [ms]", NA
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,0,"Success",0,0,0,0,0,0,0,0,34.5557,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,0,"Success",0,0,0,0,0,0,0,0,34.4359,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,0,"Success",0,0,0,0,0,0,0,0,34.6836,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,0,"Success",0,0,0,0,0,0,0,0,33.5076,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,0,"Success",0,0,0,0,0,0,0,0,34.492,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,0,"Success",0,0,0,0,0,0,0,0,35.1246,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,0,"Success",0,0,0,0,0,0,0,0,34.7263,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,0,"Success",0,0,0,0,0,0,0,0,34.3009,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,0,"Success",0,0,0,0,0,0,0,0,33.4933,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,0,"Success",0,0,0,0,0,0,0,0,34.4659,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,1,"Success",0,0,0,0,0,0,0,0,34.3387,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,1,"Success",0,0,0,0,0,0,0,0,34.321,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,1,"Success",0,0,0,0,0,0,0,0,34.5299,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,1,"Success",0,0,0,0,0,0,0,0,34.9865,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,1,"Success",0,0,0,0,0,0,0,0,34.8824,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,1,"Success",0,0,0,0,0,0,0,0,34.4989,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,1,"Success",0,0,0,0,0,0,0,0,34.8548,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,1,"Success",0,0,0,0,0,0,0,0,35.0712,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,1,"Success",0,0,0,0,0,0,0,0,34.5002,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,1,"Success",0,0,0,0,0,0,0,0,34.9753,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,2,"Success",0,0,0,0,0,0,0,0,33.6892,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,2,"Success",0,0,0,0,0,0,0,0,34.8667,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,2,"Success",0,0,0,0,0,0,0,0,34.8452,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,2,"Success",0,0,0,0,0,0,0,0,34.5257,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,2,"Success",0,0,0,0,0,0,0,0,34.4204,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,2,"Success",0,0,0,0,0,0,0,0,35.026,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,2,"Success",0,0,0,0,0,0,0,0,34.5445,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,2,"Success",0,0,0,0,0,0,0,0,34.8326,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,2,"Success",0,0,0,0,0,0,0,0,34.5728,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,2,"Success",0,0,0,0,0,0,0,0,34.0167,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,3,"Success",0,0,0,0,0,0,0,0,34.8983,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,3,"Success",0,0,0,0,0,0,0,0,35.0236,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,3,"Success",0,0,0,0,0,0,0,0,34.6927,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,3,"Success",0,0,0,0,0,0,0,0,34.5039,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,3,"Success",0,0,0,0,0,0,0,0,34.5933,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,3,"Success",0,0,0,0,0,0,0,0,34.8135,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,3,"Success",0,0,0,0,0,0,0,0,34.4466,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,3,"Success",0,0,0,0,0,0,0,0,34.6079,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,3,"Success",0,0,0,0,0,0,0,0,34.899,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,3,"Success",0,0,0,0,0,0,0,0,34.5413,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,4,"Success",0,0,0,0,0,0,0,0,34.6225,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,4,"Success",0,0,0,0,0,0,0,0,34.8839,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,4,"Success",0,0,0,0,0,0,0,0,34.7364,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,4,"Success",0,0,0,0,0,0,0,0,34.6397,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,4,"Success",0,0,0,0,0,0,0,0,35.0111,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,4,"Success",0,0,0,0,0,0,0,0,33.4558,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,4,"Success",0,0,0,0,0,0,0,0,34.5538,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,4,"Success",0,0,0,0,0,0,0,0,34.4754,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,4,"Success",0,0,0,0,0,0,0,0,34.5037,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,4,"Success",0,0,0,0,0,0,0,0,34.9824,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,5,"Success",0,0,0,0,0,0,0,0,34.9392,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,5,"Success",0,0,0,0,0,0,0,0,34.9789,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,5,"Success",0,0,0,0,0,0,0,0,34.5548,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,5,"Success",0,0,0,0,0,0,0,0,34.5114,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,5,"Success",0,0,0,0,0,0,0,0,35.1164,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,5,"Success",0,0,0,0,0,0,0,0,34.6816,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,5,"Success",0,0,0,0,0,0,0,0,34.8541,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,5,"Success",0,0,0,0,0,0,0,0,34.5469,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,5,"Success",0,0,0,0,0,0,0,0,34.5344,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,5,"Success",0,0,0,0,0,0,0,0,34.5368,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,6,"Success",0,0,0,0,0,0,0,0,34.8839,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,6,"Success",0,0,0,0,0,0,0,0,34.7026,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,6,"Success",0,0,0,0,0,0,0,0,34.7378,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,6,"Success",0,0,0,0,0,0,0,0,34.5336,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,6,"Success",0,0,0,0,0,0,0,0,34.8228,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,6,"Success",0,0,0,0,0,0,0,0,34.4806,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,6,"Success",0,0,0,0,0,0,0,0,34.7664,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,6,"Success",0,0,0,0,0,0,0,0,35.0659,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,6,"Success",0,0,0,0,0,0,0,0,34.6945,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,6,"Success",0,0,0,0,0,0,0,0,34.5245,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,7,"Success",0,0,0,0,0,0,0,0,34.3799,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,7,"Success",0,0,0,0,0,0,0,0,34.3364,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,7,"Success",0,0,0,0,0,0,0,0,34.2988,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,7,"Success",0,0,0,0,0,0,0,0,35.0283,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,7,"Success",0,0,0,0,0,0,0,0,34.8272,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,7,"Success",0,0,0,0,0,0,0,0,34.495,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,7,"Success",0,0,0,0,0,0,0,0,34.2366,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,7,"Success",0,0,0,0,0,0,0,0,34.3798,67108872,0,0
