; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600168228,"CurrentTimeLocal","Tue Sep 15 13:10:28 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00042
; "Time_ContextDestroy [ms]", 0.00042
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.00198,288.196067,284.63527,0.00142,0.00564,0.00238,0.00052,0.00522,572.852097,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.00118,0.305062,0.293261,0.00064,0.00258,0.00192,0.0005,0.0022,0.610803,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.00112,0.295601,0.288422,0.00062,0.00256,0.00188,0.00048,0.00238,0.596523,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.00118,0.291181,0.286962,0.0006,0.00254,0.00182,0.00048,0.00222,0.590403,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.00118,0.292781,0.284462,0.00064,0.0025,0.00186,0.00048,0.00214,0.589443,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.0012,0.291202,0.284501,0.0006,0.00244,0.00182,0.00048,0.00208,0.587743,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.00114,0.289762,0.284901,0.00062,0.0025,0.00182,0.00048,0.00214,0.586783,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,7,0,"Success",0.00116,0.290302,0.297881,0.00062,0.00254,0.0018,0.00048,0.00218,0.600383,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,8,0,"Success",0.00114,0.287641,0.284221,0.0006,0.00254,0.001801,0.00046,0.0021,0.583983,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,9,0,"Success",0.00112,0.289721,0.283702,0.00062,0.0025,0.00186,0.00046,0.0022,0.585643,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,10,0,"Success",0.0011,0.289961,0.284382,0.0006,0.00252,0.00182,0.00046,0.00212,0.586423,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,11,0,"Success",0.0012,0.291361,0.285122,0.00062,0.00252,0.00186,0.00048,0.00212,0.588703,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,12,0,"Success",0.0012,0.287222,0.282421,0.0006,0.00236,0.0018,0.00048,0.00208,0.581583,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,13,0,"Success",0.00116,0.288882,0.283801,0.0006,0.00248,0.00182,0.00048,0.0022,0.584803,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,14,0,"Success",0.00116,0.287802,0.283701,0.0006,0.0024,0.00184,0.00046,0.00212,0.583483,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,15,0,"Success",0.00112,0.290501,0.284181,0.00062,0.00254,0.00184,0.00048,0.0021,0.586782,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,16,0,"Success",0.00114,0.289621,0.285102,0.0006,0.00238,0.00182,0.00048,0.00212,0.586683,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,17,0,"Success",0.00116,0.290241,0.281542,0.0006,0.00236,0.00182,0.00048,0.00214,0.583743,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,18,0,"Success",0.00108,0.287981,0.283502,0.00062,0.00238,0.00182,0.00048,0.0021,0.583383,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",100,0,0,19,0,"Success",0.0011,0.290722,0.283041,0.00062,0.00242,0.00182,0.00048,0.00218,0.585843,1600,0,1600,6.9666590121e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,0,1,"Success",0.00074,359.523026,359.333105,0.00126,0.00516,0.00406,0.00064,0.00266,718.874311,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,1,1,"Success",0.00104,0.445762,0.437543,0.00078,0.00376,0.00294,0.0006,0.00222,0.898125,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,2,1,"Success",0.00096,0.436482,0.433962,0.00078,0.0037,0.003,0.00062,0.00232,0.885224,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,3,1,"Success",0.00092,0.436222,0.433122,0.00074,0.00378,0.00298,0.00062,0.00218,0.884024,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,4,1,"Success",0.00092,0.448982,0.434403,0.0008,0.00374,0.00296,0.0006,0.00224,0.898105,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,5,1,"Success",0.0009,0.435042,0.431862,0.00076,0.00374,0.00298,0.00062,0.00214,0.881444,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.00092,0.434362,0.432042,0.00074,0.00372,0.00294,0.0006,0.00216,0.880964,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.0009,0.433422,0.431683,0.00076,0.00372,0.00296,0.0006,0.00222,0.879685,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.00094,0.434682,0.431502,0.00074,0.00376,0.00298,0.00064,0.00212,0.880784,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.00088,0.430003,0.432602,0.00074,0.00368,0.00294,0.0006,0.00208,0.877025,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.0009,0.432902,0.430322,0.00074,0.00374,0.00296,0.0006,0.00216,0.877764,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.00094,0.434982,0.429342,0.00076,0.00374,0.00296,0.0006,0.00212,0.878824,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.00088,0.432122,0.427923,0.00076,0.00372,0.00294,0.0006,0.0021,0.874445,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.00086,0.432422,0.427222,0.00072,0.00366,0.00288,0.0006,0.0021,0.873924,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.0009,0.431883,0.434442,0.00074,0.00376,0.00296,0.00062,0.00218,0.880985,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.00086,0.463962,0.431703,0.0008,0.00382,0.00298,0.0006,0.00214,0.910285,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.0009,0.429542,0.430222,0.00078,0.0037,0.003,0.00062,0.00214,0.874364,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.0009,0.429803,0.428962,0.00078,0.00372,0.00294,0.0006,0.00216,0.873345,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,18,1,"Success",0.00092,0.432102,0.430862,0.00074,0.00368,0.00302,0.0006,0.00206,0.877424,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",200,0,0,19,1,"Success",0.0009,0.432522,0.430322,0.00072,0.00358,0.00292,0.00062,0.00216,0.877144,3200,0,3200,4.0485546739e-17,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,0,2,"Success",0.0008,216.114205,215.554223,0.00118,0.00672,0.00462,0.0007,0.00292,431.688868,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,1,2,"Success",0.00112,0.598003,0.589923,0.00092,0.00528,0.00416,0.0007,0.0024,1.205946,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,2,2,"Success",0.0011,0.589263,0.589063,0.0009,0.00508,0.0041,0.0007,0.00228,1.195926,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,3,2,"Success",0.00112,0.588103,0.585943,0.00092,0.00514,0.00418,0.0007,0.0023,1.191886,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,4,2,"Success",0.0012,0.592743,0.585543,0.00088,0.00514,0.00414,0.0007,0.00232,1.196046,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,5,2,"Success",0.00116,0.587763,0.585263,0.00086,0.00502,0.0042,0.0007,0.00232,1.190706,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,6,2,"Success",0.0011,0.581723,0.583482,0.00088,0.00492,0.004121,0.0007,0.00226,1.182566,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,7,2,"Success",0.0011,0.585963,0.583823,0.00088,0.00502,0.00416,0.0007,0.0023,1.187386,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,8,2,"Success",0.00108,0.582463,0.582483,0.00088,0.00496,0.00416,0.0007,0.00222,1.182346,4800,0,4800,2.1952774879e-16,0
"Fftw_ARMPL","Inplace","Complex","double",1,"radix357",300,0,0,9,2,"Success",0.0011,0.582663,0.581963,0.00088,0.005,0.00414,0.0007,0.0022,1.182026,4800,0,4800,2.1952774879e-16,0
