; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274153406464,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1601279910,"CurrentTimeLocal","Mon Sep 28 09:58:30 2020","Hostname","juawei-a18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00036
; "Time_ContextDestroy [ms]", 0.00036
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.01286,204.464461,481.76384,0.661303,4.4095,4.70588,0.268002,0.18188,696.470766,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.017921,0.325681,0.235441,0.592523,2.502251,3.036633,0.524762,0.088201,7.326393,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.0158,0.308441,0.242461,0.574623,2.019629,3.112953,0.274401,0.082921,6.634049,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.01496,0.307701,0.226181,0.573303,2.37841,3.655236,0.528523,0.18916,7.876334,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.01454,0.302602,0.225221,0.577282,2.096189,3.301855,0.296401,0.193981,7.010991,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.01626,0.318382,0.233261,0.627182,1.837709,3.076573,0.289501,0.094241,6.496189,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.01684,0.309601,0.233861,0.624823,1.825328,3.058514,0.301181,0.0853,6.458308,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.01676,0.303602,0.247361,0.654043,2.090629,3.050113,0.262401,0.196001,6.82379,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.01498,0.318342,0.232241,0.575822,1.857209,3.032733,0.264661,0.08382,6.382668,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.01484,0.307742,0.227741,0.574262,1.846488,3.052134,0.270081,0.08338,6.379548,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.01494,0.300282,0.224941,0.570642,2.081469,3.064154,0.272161,0.08326,6.614589,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.01574,0.299422,0.227001,0.575362,1.893949,3.037713,0.265661,0.087541,6.405309,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.015801,0.308021,0.225921,0.576622,2.26611,3.096354,0.270021,0.078881,6.840691,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.0155,0.301281,0.227901,0.574142,1.885009,3.028593,0.265901,0.083901,6.385028,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.0158,0.299901,0.225821,0.577062,1.874529,3.023573,0.269341,0.083901,6.372728,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.0146,0.295441,0.226301,0.605363,1.859928,3.028953,0.266621,0.078541,6.378548,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.015,0.297041,0.223481,0.576582,1.869369,3.034233,0.261261,0.08122,6.361108,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.01492,0.296742,0.223261,0.577422,1.846148,3.071834,0.264421,0.085901,6.383489,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.01508,0.299122,0.225361,0.571382,1.860348,3.009594,0.269261,0.07804,6.331088,2041200,0,2025000,1.7420594319e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.01524,0.300562,0.223961,0.582222,1.842868,3.065214,0.264721,0.189001,6.486549,2041200,0,2025000,1.7420594319e-16,0
