; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600168240,"CurrentTimeLocal","Tue Sep 15 13:10:40 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00042
; "Time_ContextDestroy [ms]", 0.00046
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.01414,203.14318,213.501293,0.894384,0.584403,3.91942,0.393182,0.358001,422.812103,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.00578,0.309261,0.257742,0.468542,0.556383,3.93252,0.390661,0.500763,6.425672,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.01818,0.301262,0.273661,0.851744,0.574983,3.98036,0.405342,0.493483,6.902935,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.01832,0.301841,0.251041,0.865885,0.574383,3.97068,0.392362,0.494882,6.873374,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.01838,0.299022,0.246421,0.884804,0.559603,4.04878,0.393462,0.503523,6.958315,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.01864,0.295982,0.244661,0.857644,0.544063,4.04122,0.392282,0.498623,6.897555,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.01822,0.292801,0.245221,0.847625,0.551602,3.97414,0.389402,0.523563,6.846434,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.01874,0.295922,0.245501,0.842864,0.562703,3.9369,0.388142,0.497402,6.792454,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.01884,0.290182,0.246301,0.851784,0.545203,3.94498,0.392582,0.499422,6.793234,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,9,2,"Success",0.01948,0.295842,0.245101,0.919865,0.569343,4.02346,0.405062,0.504322,6.986455,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,10,2,"Success",0.01946,0.295682,0.246721,0.858764,0.558183,3.99436,0.390442,0.502883,6.870735,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,11,2,"Success",0.0191,0.299661,0.248042,0.853464,0.573283,3.9816,0.392922,0.500282,6.872314,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,12,2,"Success",0.01914,0.292162,0.245761,0.848764,0.537723,4.03946,0.394602,0.500343,6.882015,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,13,2,"Success",0.01854,0.297341,0.247762,0.862904,0.553983,3.9399,0.401902,0.497222,6.823474,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,14,2,"Success",0.01918,0.295722,0.245461,0.850564,0.536143,4.01004,0.389062,0.501103,6.851115,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,15,2,"Success",0.01892,0.291341,0.263501,0.851625,0.535062,3.98964,0.390722,0.499303,6.843914,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,16,2,"Success",0.01912,0.287141,0.242602,0.854804,0.560323,3.96614,0.393622,0.491062,6.818874,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,17,2,"Success",0.01874,0.293502,0.243481,0.865284,0.554123,3.98436,0.392962,0.502303,6.859015,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,18,2,"Success",0.019301,0.295821,0.245581,0.862805,0.560422,3.9682,0.389742,0.496823,6.842795,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",51,51,144,19,2,"Success",0.02016,0.294901,0.243802,0.854484,0.560383,3.900979,0.391482,0.510363,6.780774,3037968,0,2996352,2.4330161874e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,0,3,"Success",0.0135,116.501685,70.806155,1.076426,0.649963,4.927065,0.479142,0.427602,194.885438,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,1,3,"Success",0.00564,0.324502,0.255281,0.537783,0.645883,5.022585,0.481663,0.605583,7.88308,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,2,3,"Success",0.01852,0.318881,0.248422,1.057025,0.662903,5.022665,0.477583,0.600663,8.410642,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,3,3,"Success",0.01954,0.313521,0.247322,1.034165,0.653563,4.962445,0.485102,0.591303,8.310981,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,4,3,"Success",0.02028,0.312442,0.247061,1.036305,0.685524,5.031505,0.481822,0.605923,8.424782,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,5,3,"Success",0.01858,0.307082,0.243901,1.031145,0.683384,4.976925,0.478262,0.603503,8.346862,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.01944,0.305601,0.246762,1.026885,0.622663,5.022845,0.481363,0.601523,8.330802,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.018581,0.304921,0.245601,1.042026,0.651763,5.044205,0.477323,0.628063,8.416323,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.01966,0.302862,0.244701,1.030425,0.689184,4.880784,0.486423,0.622143,8.280042,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.01994,0.305261,0.247141,1.042146,0.655243,5.003005,0.505643,0.599803,8.382102,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.01976,0.313222,0.246081,1.025265,0.668404,4.999745,0.517922,0.601063,8.395742,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.0195,0.306942,0.246601,1.053325,0.695164,4.982425,0.481982,0.608563,8.398642,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.02024,0.309262,0.245441,1.038645,0.638503,5.049726,0.478462,0.599823,8.384182,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.02024,0.310701,0.245102,1.033665,0.660683,5.040705,0.478483,0.609703,8.403302,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.01874,0.307461,0.242721,1.018906,0.664783,5.031005,0.480443,0.603543,8.371502,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.02036,0.305522,0.243341,1.026165,0.641644,5.043545,0.483682,0.601443,8.369542,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,16,3,"Success",0.01944,0.305522,0.244941,1.041745,0.659903,5.005086,0.483182,0.600463,8.364422,3678400,0,3630000,3.0723972588e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",55,55,150,17,3,"Success",0.01876,0.308421,0.246742,1.035905,0.666143,5.051685,0.484143,0.601643,8.417542,3678400,0,3630000,3.0723972588e-16,0
