; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600167725,"CurrentTimeLocal","Tue Sep 15 13:02:05 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00044
; "Time_ContextDestroy [ms]", 0.00044
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,0,0,"Success",0.02724,4.210062,3.97674,9.85957,11.320657,33.025127,5.240186,1.571468,69.23573,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,1,0,"Success",0.028361,3.945279,3.83168,10.523753,7.513858,32.828006,5.169446,1.552508,65.399491,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,2,0,"Success",0.028081,3.917059,3.83154,10.506353,7.634538,32.660045,5.413187,1.566308,65.563012,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,3,0,"Success",0.02952,3.93876,3.820119,10.989896,7.642678,32.862046,5.193867,1.527447,66.010513,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,4,0,"Success",0.02722,3.90094,3.86136,10.443452,7.490218,32.745746,5.441907,1.525648,65.443331,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,5,0,"Success",0.02894,3.95784,3.821379,10.906715,7.515278,32.774306,5.433188,1.510847,65.954273,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,6,0,"Success",0.02878,3.94058,3.82812,10.959615,9.129446,32.742366,5.415387,1.511328,67.561622,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,7,0,"Success",0.03166,3.96096,3.817879,10.964736,7.603838,32.988927,5.474108,1.494247,66.342935,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,8,0,"Success",0.02896,3.94974,3.84164,11.054535,7.528379,32.724525,5.421987,1.487228,66.042834,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,9,0,"Success",0.03004,3.94138,3.85812,10.934415,7.561998,32.840966,5.423688,1.492847,66.088974,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,10,0,"Success",0.02904,3.95424,3.839479,10.922036,7.634638,32.811706,5.187426,1.466088,65.851193,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,11,0,"Success",0.0278,3.91444,3.86564,10.508313,7.564278,32.846286,5.409047,1.469248,65.612012,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,12,0,"Success",0.03002,3.96632,3.833899,10.970096,7.602878,32.795026,5.432227,1.465268,66.102374,67141632,0,33554432,0,0
