; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600168230,"CurrentTimeLocal","Tue Sep 15 13:10:30 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.0005
; "Time_ContextDestroy [ms]", 0.00042
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.00144,27.489279,27.757099,0.00082,3.718479,2.185311,0.00144,0.01926,61.176888,1600,0,1600,5.0692377503e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.000661,27.018395,27.533598,0.00076,1.561047,1.790009,0.00126,0.01626,57.925671,1600,0,1600,5.0692377503e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.00066,26.891495,27.453378,0.00074,2.105011,3.081395,0.00138,0.01678,59.554539,1600,0,1600,5.0692377503e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.0007,26.913075,27.440598,0.00072,1.848649,2.325512,0.00138,0.01646,58.550914,1600,0,1600,5.0692377503e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.00064,26.892735,27.414798,0.00072,1.563107,1.82007,0.00134,0.01616,57.71333,1600,0,1600,5.0692377503e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.00066,26.912095,27.431238,0.00072,1.599248,1.822269,0.00142,0.016241,57.787571,1600,0,1600,5.0692377503e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.0007,26.880635,27.391478,0.00072,1.630928,1.788309,0.00136,0.01618,57.71403,1600,0,1600,5.0692377503e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,7,0,"Success",0.00068,26.933075,27.421058,0.0007,1.596448,1.829749,0.0014,0.01616,57.80307,1600,0,1600,5.0692377503e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,8,0,"Success",0.00064,26.864155,27.402557,0.00064,1.600348,1.815189,0.001481,0.01596,57.70465,1600,0,1600,5.0692377503e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,9,0,"Success",0.00064,26.916435,27.431198,0.00068,1.597148,1.816569,0.00136,0.0163,57.78409,1600,0,1600,5.0692377503e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,10,0,"Success",0.00058,26.894155,27.405378,0.0007,1.592448,1.792089,0.00112,0.01622,57.70641,1600,0,1600,5.0692377503e-17,0
