; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274153406464,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1601280039,"CurrentTimeLocal","Mon Sep 28 10:00:39 2020","Hostname","juawei-a18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00038
; "Time_ContextDestroy [ms]", 0.00044
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.01414,21.510435,24.650868,1.139905,5.418644,3.979878,0.486202,0.282841,57.487033,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.01682,20.840171,24.072486,0.978305,3.024353,3.469015,0.522263,0.2155,53.142193,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.00054,20.723011,23.989526,0.559622,3.249975,4.61032,0.508422,0.214601,53.859057,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.00058,20.727651,23.937985,0.551783,4.248538,4.752441,0.468362,0.211801,54.902321,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.00054,20.723032,23.984165,0.529783,3.916897,4.749361,0.531502,0.221781,54.660201,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.00054,20.781472,23.986146,0.565042,4.081858,3.957437,0.473063,0.22078,54.069378,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.00054,20.762051,23.980266,0.526742,3.682456,2.788552,0.541483,0.218921,52.504131,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.00058,20.828792,24.023386,0.562982,2.705072,2.776152,0.514962,0.213041,51.627867,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.0005,20.739331,23.948326,0.554262,2.724932,2.800992,0.529803,0.215561,51.516787,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.00064,20.700751,24.027746,0.571582,2.704112,2.618752,0.546482,0.218181,51.391226,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.00054,20.732611,24.009826,0.566842,3.874517,4.759041,0.474002,0.205761,54.6263,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.00052,20.722612,23.992505,0.530043,3.561235,4.662861,0.472182,0.237621,54.182719,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.00052,20.686311,23.952066,0.533002,4.021518,4.751221,0.469582,0.204681,54.621841,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.0005,20.726631,23.997426,0.530742,3.914397,4.49204,0.470462,0.212661,54.347799,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.00052,20.744691,24.025306,0.529323,4.288418,4.842442,0.474782,0.208041,55.116643,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.00054,20.707391,24.014066,0.532202,4.227059,4.892961,0.475922,0.207381,55.060522,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.00048,20.721012,23.970165,0.531783,3.948397,3.394395,0.516402,0.218661,53.304475,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.00054,20.791492,24.391147,0.549903,2.726592,3.750096,0.515303,0.21566,52.943933,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.0007,20.725051,24.004906,0.551522,2.938793,3.076234,0.473762,0.211441,51.985649,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.00054,20.767671,23.968346,0.529942,2.445491,2.778692,0.773844,0.248961,51.517207,3678400,0,3630000,1.5859004983e-16,0
