; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",15964327936,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1534882441,"CurrentTimeLocal","Tue Aug 21 23:14:01 2018","Hostname","teegema","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000186
; "Time_ContextDestroy [ms]", 7.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,42,"Warmup",0.001795,0.37661,0.18037,0.000155,0.000395,0.000228,6e-05,0.000608,0.560734,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,42,"Warmup",0.000152,0.361691,0.159033,0.000196,0.000255,0.000248,5.2e-05,0.000425,0.52248,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,42,"Success",0.000139,0.33959,0.156459,0.000123,0.000325,0.000244,5.2e-05,0.000438,0.497818,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,42,"Success",0.000157,0.338966,0.177996,0.000116,0.000278,0.000236,5.2e-05,0.000401,0.518619,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,42,"Success",0.00013,0.336708,0.177758,8.3e-05,0.000331,0.000225,5.5e-05,0.000384,0.516105,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,42,"Success",0.000162,0.357818,0.179406,7.5e-05,0.000336,0.000211,5.6e-05,0.000444,0.538966,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,42,"Success",0.000165,0.337676,0.184405,0.000174,0.000259,0.000249,5.5e-05,0.000404,0.523787,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,42,"Success",0.000138,0.335256,0.177599,9.7e-05,0.000267,0.000246,4.6e-05,0.000357,0.51449,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,42,"Success",0.000128,0.332649,0.18383,8.1e-05,0.000284,0.000241,5.2e-05,0.000424,0.518091,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,42,"Success",0.000164,0.335179,0.17866,0.000155,0.000271,0.000246,5.2e-05,0.000376,0.515498,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,42,"Success",0.000137,0.346406,0.178058,7.5e-05,0.000271,0.000255,5.5e-05,0.000372,0.526077,152,0,152,3.877719026e-08,0
