; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",16714620928,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1534969249,"CurrentTimeLocal","Wed Aug 22 23:20:49 2018","Hostname","mikihir","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000147
; "Time_ContextDestroy [ms]", 6.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,42,"Warmup",0.00012,0.26414,0.149232,7.2e-05,0.000285,0.000216,5.4e-05,0.00038,0.41495,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,42,"Warmup",8.2e-05,0.268298,0.152043,6.4e-05,0.000256,0.000261,5.3e-05,0.000363,0.421861,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,42,"Success",8e-05,0.239069,0.151144,6.1e-05,0.000296,0.000251,5.1e-05,0.000371,0.391757,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,42,"Success",9.1e-05,0.250896,0.179387,7.2e-05,0.000281,0.000229,5.1e-05,0.000351,0.431803,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,42,"Success",9e-05,0.259111,0.166411,6.6e-05,0.000291,0.000219,5.1e-05,0.000343,0.427013,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,42,"Success",7.9e-05,0.252248,0.170922,7.3e-05,0.000283,0.000249,5.1e-05,0.000347,0.424694,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,42,"Success",8.4e-05,0.258753,0.150554,6.7e-05,0.000283,0.000224,5.2e-05,0.000362,0.410825,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,42,"Success",8.4e-05,0.241279,0.159759,6.7e-05,0.000289,0.000231,5.1e-05,0.000328,0.402528,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,42,"Success",8.3e-05,0.260543,0.156676,6.7e-05,0.000264,0.000221,5e-05,0.000327,0.418666,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,42,"Success",8.4e-05,0.235255,0.155095,7.4e-05,0.000261,0.000216,4.4e-05,0.000337,0.391793,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,42,"Success",0.0001,0.286241,0.15891,6.5e-05,0.000249,0.000245,4.6e-05,0.000346,0.446643,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,42,"Success",8.3e-05,0.241855,0.152097,6.5e-05,0.000259,0.000241,4.6e-05,0.000346,0.395435,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,43,"Warmup",0.000219,3.831742,3.649094,0.00024,0.007212,0.007059,0.000186,0.001074,7.497278,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,43,"Warmup",0.005309,3.780138,3.567282,0.000232,0.006937,0.007166,0.000177,0.001093,7.36879,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,43,"Success",0.005087,3.829923,3.646492,0.000223,0.007244,0.006862,0.000164,0.001168,7.497622,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,43,"Success",0.005165,3.814187,3.631078,0.000222,0.007522,0.007033,0.000171,0.001166,7.467009,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,43,"Success",0.005234,3.816313,3.638077,0.00023,0.007594,0.007087,0.00018,0.00124,7.476409,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,43,"Success",0.005233,3.777854,3.625614,0.00021,0.007381,0.006898,0.000157,0.001127,7.42492,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,43,"Success",0.005185,3.8333,3.643981,0.000203,0.007367,0.006847,0.000166,0.001236,7.498734,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,43,"Success",0.005087,3.827443,3.590898,0.000224,0.007108,0.006993,0.000198,0.001007,7.43942,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,43,"Success",0.005302,3.807867,3.627587,0.000236,0.007479,0.007187,0.00017,0.001129,7.45743,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,43,"Success",0.005273,3.81904,3.619438,0.000218,0.006979,0.007139,0.000163,0.001163,7.459888,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,10,43,"Success",0.005097,3.87449,3.625521,0.000216,0.00701,0.006876,0.00018,0.001004,7.520842,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,11,43,"Success",0.005234,3.785165,3.6387,0.000212,0.007296,0.006977,0.000175,0.001182,7.445406,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,0,44,"Warmup",0.000308,104.096172,104.170458,0.002957,0.208532,0.195478,0.002808,0.002403,208.679592,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,1,44,"Warmup",0.017443,103.841268,103.583074,0.002905,0.195925,0.196553,0.002794,0.00233,207.842798,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,44,"Success",0.01689,104.125729,103.857583,0.002824,0.197693,0.19752,0.002781,0.002279,208.403786,54872,0,54872,7.3510056598e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,44,"Success",0.016774,104.534761,103.342778,0.002872,0.202445,0.195946,0.002804,0.0023,208.301179,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,44,"Success",0.016958,103.40732,104.285719,0.002912,0.200088,0.206039,0.002836,0.002314,208.124675,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,44,"Success",0.016852,104.023139,102.974817,0.002885,0.203234,0.207696,0.002877,0.002295,207.434281,54872,0,54872,7.2349430021e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,44,"Success",0.019556,102.730434,101.833158,0.002848,0.196823,0.196971,0.002811,0.002373,204.98544,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,44,"Success",0.024623,102.67238,101.810871,0.002893,0.201926,0.200743,0.002854,0.002109,204.918883,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,44,"Success",0.017387,103.805903,102.906145,0.003194,0.196499,0.22293,0.002928,0.002488,207.158,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,44,"Success",0.017483,102.65706,102.403393,0.002876,0.196527,0.196195,0.002818,0.002208,205.479051,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,44,"Success",0.016911,102.795248,102.882818,0.002902,0.201575,0.202215,0.002885,0.002297,206.10735,54872,0,54872,7.3510056598e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,44,"Success",0.017184,102.723831,102.723166,0.003042,0.206726,0.196363,0.002809,0.002232,205.87588,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,45,"Warmup",0.000237,661.445053,659.523551,0.119279,5.490366,5.443589,0.103424,0.005639,1332.131941,1042568,0,1042568,8.1530270157e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,45,"Warmup",0.0095,659.373268,658.340988,0.134179,5.567581,5.494872,0.106719,0.006842,1329.034778,1042568,0,1042568,8.0693599121e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,45,"Success",0.011512,663.109973,659.079281,0.118776,5.511201,5.491083,0.104305,0.005911,1333.432821,1042568,0,1042568,8.1530270157e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,45,"Success",0.009906,658.708845,656.149032,0.11769,5.519117,5.473714,0.102725,0.005553,1326.08735,1042568,0,1042568,8.1818449942e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,45,"Success",0.009475,659.679397,655.511832,0.133046,5.483869,5.506393,0.112072,0.005557,1326.442373,1042568,0,1042568,8.1662117994e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,45,"Success",0.009335,654.450999,653.806124,0.118821,5.514628,5.497637,0.111792,0.007935,1319.518046,1042568,0,1042568,8.1450471818e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,45,"Success",0.009377,662.134908,657.690974,0.116147,5.471879,5.548555,0.104807,0.005138,1331.082592,1042568,0,1042568,8.1450471818e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,45,"Success",0.009776,658.415746,656.42456,0.116393,5.443398,5.410436,0.102681,0.005348,1325.929101,1042568,0,1042568,8.0693599121e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,45,"Success",0.009051,658.835774,658.70904,0.125386,5.50658,5.501844,0.103857,0.005469,1328.79774,1042568,0,1042568,8.0693599121e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,45,"Success",0.009229,659.969913,655.968638,0.116136,5.55954,5.449589,0.103862,0.005364,1327.18307,1042568,0,1042568,8.0679276062e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,45,"Success",0.009256,659.966671,656.100622,0.118414,5.507575,5.499212,0.104822,0.005782,1327.313131,1042568,0,1042568,8.1818449942e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,45,"Success",0.009137,657.869501,653.983436,0.119102,5.444925,5.406602,0.102934,0.00546,1322.941876,1042568,0,1042568,7.9947325522e-08,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",9.2e-05,0.356698,0.265364,7.1e-05,0.00011,6.3e-05,4.8e-05,0.000381,0.623263,32,0,32,0,0
