; "ClFFT Informations","Device","pthread-cortex-a7","Hardware","OpenCL 1.2 pocl HSTR: pthread-armv7-unknown-linux-gnueabihf-generic","Software","1.1","OpenCL","OpenCL C 1.2 pocl","UsedComputeUnits","2","MaxGlobalMemSize","780398592","clFFT","2.12.2","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536539584,"CurrentTimeLocal","Mon Sep 10 03:33:04 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 715.143241
; "Time_ContextDestroy [ms]", 5408.398788
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,42,"OpenCL error CLFFT_NOTIMPLEMENTED [4097] clfft.hpp:369 clfftCreateDefaultPlan(&plan_, context_.ctx, FFTDim, extents_cl_.data())",0,0,0,0,0,0,0,0,0,152,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,42,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,42,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,42,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,42,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,42,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,42,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,42,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,42,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,42,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,10,42,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",19,0,0,11,42,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,43,"OpenCL error CLFFT_NOTIMPLEMENTED [4097] clfft.hpp:369 clfftCreateDefaultPlan(&plan_, context_.ctx, FFTDim, extents_cl_.data())",0,0,0,0,0,0,0,0,0,2888,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,43,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,43,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,43,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,43,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,5,43,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,6,43,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,7,43,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,8,43,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,9,43,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClFFT","Inplace","Complex","float",1,"oddshape",361,0,0,10,43,"Skipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0
