; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",1040531456,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536577323,"CurrentTimeLocal","Mon Sep 10 14:02:03 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.002875
; "Time_ContextDestroy [ms]", 0.003542
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,42,"Warmup",0.003083,2.159516,0.916304,0.002042,0.004333,0.002833,0.001125,0.006916,3.110653,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,42,"Warmup",0.002,1.792652,0.878305,0.002042,0.003833,0.002875,0.000917,0.006875,2.701582,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,42,"Success",0.001166,1.702405,0.896222,0.001625,0.004084,0.002875,0.001041,0.006625,2.628209,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,42,"Success",0.001583,1.682447,0.823432,0.00175,0.004208,0.002917,0.001084,0.006292,2.533963,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,42,"Success",0.001583,1.737237,0.882431,0.001583,0.004166,0.002917,0.000917,0.006583,2.649959,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,42,"Success",0.001834,1.625574,0.865348,0.001375,0.003958,0.002875,0.001125,0.005458,2.520671,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,42,"Success",0.001167,1.63924,0.855182,0.001541,0.003499,0.002833,0.001084,0.005666,2.522337,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,42,"Success",0.001208,1.625241,0.823058,0.001625,0.003333,0.037207,0.001083,0.006167,2.511046,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,42,"Success",0.00125,1.685322,0.876431,0.001333,0.003375,0.002833,0.000917,0.006459,2.590336,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,42,"Success",0.001416,1.614533,0.863931,0.001249,0.003708,0.002875,0.001041,0.005709,2.506129,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,42,"Success",0.001208,1.628282,0.856931,0.00125,0.003999,0.002875,0.001125,0.006042,2.512546,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,42,"Success",0.001417,1.627782,0.820599,0.001041,0.003791,0.002833,0.001083,0.005208,2.474922,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,43,"Warmup",0.010166,24.852387,23.166065,0.006916,0.091289,0.085414,0.002708,0.016249,48.251445,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,43,"Warmup",0.104705,24.419483,23.28102,0.0065,0.089872,0.08533,0.002334,0.016249,48.020952,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,43,"Success",0.105497,24.106035,22.837117,0.006,0.090956,0.08533,0.002458,0.015625,47.263393,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,43,"Success",0.094455,24.101827,23.32606,0.006417,0.090914,0.085372,0.002334,0.016416,47.739002,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,43,"Success",0.097956,24.53723,23.080526,0.006417,0.090747,0.085247,0.002416,0.015541,47.931705,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,43,"Success",0.100831,24.538022,23.167439,0.006416,0.092372,0.08508,0.002375,0.016708,48.025368,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,43,"Success",0.102581,24.324111,23.078817,0.005958,0.088248,0.085289,0.002666,0.015375,47.718627,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,43,"Success",0.101705,24.336278,23.069901,0.0055,0.089789,0.084789,0.002333,0.015541,47.721961,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,43,"Success",0.097413,24.354736,23.140274,0.0065,0.091205,0.085497,0.002375,0.015291,47.808583,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,43,"Success",0.096497,24.4399,23.202398,0.005334,0.115788,0.086248,0.002542,0.017833,47.983244,2888,0,2888,7.0327135893e-08,0
