; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",16693903360,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1533888122,"CurrentTimeLocal","Fri Aug 10 11:02:02 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000407
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,41,"Warmup",0.006773,0.518408,0.25285,0.000148,0.000308,0.00022,5.6e-05,0.000501,0.779683,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,41,"Warmup",0.006109,0.506401,0.261246,0.000139,0.000307,0.000231,4.5e-05,0.000388,0.775209,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,41,"Success",0.005986,0.502147,0.249592,0.000143,0.000283,0.000196,5.1e-05,0.000363,0.759093,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,41,"Success",0.006047,0.496366,0.260206,0.000154,0.000342,0.000289,6.5e-05,0.00049,0.764338,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,41,"Success",0.006296,0.508263,0.249252,0.000131,0.000288,0.000208,6e-05,0.000414,0.765298,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,41,"Success",0.005909,0.498492,0.260141,0.000108,0.000299,0.000204,5.7e-05,0.000397,0.76592,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,41,"Success",0.005809,0.532837,0.248537,0.000127,0.000284,0.000207,5.6e-05,0.00035,0.788541,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,41,"Success",0.005842,0.50031,0.248268,0.000108,0.00028,0.000199,3.8e-05,0.000353,0.755738,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,41,"Success",0.005859,0.499142,0.249877,0.000125,0.000299,0.000194,3.9e-05,0.000355,0.756211,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,41,"Success",0.005811,0.494457,0.265403,0.000141,0.000286,0.000203,5e-05,0.00037,0.767046,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,41,"Success",0.005906,0.495272,0.24826,0.00014,0.000292,0.000205,4e-05,0.000348,0.750777,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,41,"Success",0.005614,0.501513,0.248739,0.000105,0.000253,0.000208,4.9e-05,0.000385,0.757188,152,0,152,3.877719026e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,42,"Warmup",0.000301,6.196941,5.741713,0.000241,0.006912,0.008745,0.000113,0.001528,11.956936,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,42,"Warmup",0.005821,6.323786,5.711936,0.000273,0.006858,0.006617,0.000171,0.0014,12.057304,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,42,"Success",0.005999,6.211209,5.67061,0.00031,0.006816,0.006621,0.000172,0.001212,11.90335,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,42,"Success",0.005992,6.42271,5.820979,0.000484,0.006831,0.006669,0.000179,0.001429,12.265825,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,42,"Success",0.006188,5.918756,5.574887,0.000271,0.006892,0.006737,0.000158,0.001223,11.515541,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,42,"Success",0.005587,6.279422,5.54203,0.000282,0.009526,0.006705,0.000161,0.001502,11.845666,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,42,"Success",0.005957,5.940482,5.87899,0.000278,0.006926,0.006598,0.000167,0.00122,11.841067,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,42,"Success",0.006034,6.034128,5.743602,0.000225,0.006883,0.006679,0.000154,0.001162,11.799242,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,42,"Success",0.005944,6.028175,5.539059,0.000252,0.007078,0.006669,0.000173,0.001183,11.58893,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,42,"Success",0.005723,6.185689,5.866032,0.000368,0.009116,0.008013,0.000192,0.001405,12.076963,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,10,42,"Success",0.011255,6.103722,5.757125,0.000243,0.006873,0.006596,0.000154,0.001251,11.887641,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,11,42,"Success",0.005919,5.969741,5.688616,0.000259,0.006819,0.006684,0.000155,0.001182,11.679744,2888,0,2888,7.0327135893e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,0,43,"Warmup",0.000581,105.76179,105.796619,0.006255,0.190757,0.193202,0.002035,0.003262,211.955148,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,1,43,"Warmup",0.006958,106.033303,107.375579,0.006247,0.205193,0.188885,0.001902,0.002884,213.821898,54872,0,54872,7.3510056598e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,43,"Success",0.006576,106.387662,106.671193,0.006466,0.191863,0.188787,0.00195,0.003019,213.458604,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,43,"Success",0.006349,106.171136,105.365094,0.006242,0.211589,0.261213,0.00206,0.003411,212.027671,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,43,"Success",0.006607,106.623479,106.858958,0.006099,0.191524,0.188674,0.001776,0.003788,213.881494,54872,0,54872,7.3510056598e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,43,"Success",0.006492,106.411288,105.882921,0.004409,0.194636,0.188856,0.00197,0.003171,212.694228,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,43,"Success",0.006369,106.198348,106.649176,0.006098,0.19082,0.189426,0.001866,0.00316,213.246042,54872,0,54872,7.2349430021e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,43,"Success",0.00628,107.076985,106.133898,0.006202,0.190706,0.188854,0.002008,0.003109,213.608601,54872,0,54872,7.3653694866e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,43,"Success",0.006799,105.961274,105.344829,0.004391,0.196049,0.189705,0.002158,0.003971,211.709823,54872,0,54872,7.1748049178e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,43,"Success",0.00658,107.061512,106.99141,0.004811,0.190691,0.18876,0.001893,0.003258,214.449706,54872,0,54872,7.2349430021e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,43,"Success",0.006633,106.380171,106.697691,0.00936,0.191378,0.189453,0.001835,0.003272,213.480689,54872,0,54872,7.2349430021e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,43,"Success",0.006235,108.396423,105.319099,0.006848,0.190668,0.242155,0.00239,0.017692,214.182228,54872,0,54872,7.3653694866e-08,0
