; "SupportedThreads",0,"UsedThreads",0,"TotalMemory",16693903360,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1533795733,"CurrentTimeLocal","Thu Aug  9 09:22:13 2018","Hostname","localhost.localdomain","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000189
; "Time_ContextDestroy [ms]", 5.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,0,0,"Warmup",0.05501,1564.642097,1151.15244,0.029406,1.042489,1.041933,0.015448,0.031916,2718.01161,262136,0,262136,1.1277170946e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,1,0,"Warmup",0.039199,1096.40011,890.665397,0.02868,0.994734,0.953264,0.014914,0.024841,1989.122167,262136,0,262136,1.0779543946e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,2,0,"Success",0.032131,1087.57748,895.968213,0.029152,1.036234,0.986321,0.013364,0.03157,1985.675416,262136,0,262136,1.1540167646e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,3,0,"Success",0.034224,1090.3284,903.909876,0.029079,0.993845,0.951475,0.013968,0.02488,1996.286944,262136,0,262136,1.0779543946e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,4,0,"Success",0.03538,1090.345086,898.279457,0.029681,0.996876,0.949177,0.014392,0.04383,1990.694778,262136,0,262136,1.0695723659e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,5,0,"Success",0.034217,1092.678981,894.997264,0.029626,1.007743,0.948537,0.014765,0.028318,1989.740469,262136,0,262136,1.0779543946e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,6,0,"Success",0.037749,1092.425629,897.042499,0.029283,0.989132,0.982249,0.014794,0.025743,1991.548035,262136,0,262136,1.0779543946e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,7,0,"Success",0.034754,1090.794126,898.825083,0.028915,0.999123,0.952602,0.014611,0.025694,1991.675881,262136,0,262136,1.0779543946e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,8,0,"Success",0.032053,1094.310208,895.476105,0.033988,0.999928,0.984027,0.014582,0.026935,1991.879132,262136,0,262136,1.0695723659e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,9,0,"Success",0.035773,1089.05449,902.292626,0.029092,1.074263,1.023598,0.015575,0.028963,1993.555425,262136,0,262136,1.0695723659e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,10,0,"Success",0.035816,1104.370072,895.643341,0.028557,1.001364,0.955894,0.013119,0.025859,2002.075237,262136,0,262136,1.0779543946e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",32767,0,0,11,0,"Success",0.035876,1097.281969,893.039319,0.028599,1.009982,0.953636,0.014788,0.024596,1992.38973,262136,0,262136,1.0779543946e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",65535,0,0,0,1,"Warmup",0.003478,9291.783645,6261.785128,0.065255,1.882277,1.978474,0.041125,0.149288,15557.690007,524280,0,524280,1.0960010282e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",65535,0,0,1,1,"Warmup",0.016864,6561.697713,6324.752491,0.065454,2.023961,1.942515,0.039256,0.068763,12890.607987,524280,0,524280,1.1014051578e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",65535,0,0,2,1,"Success",0.007259,6535.226839,6242.498071,0.063953,2.024786,2.013159,0.040567,0.062387,12781.937955,524280,0,524280,1.1014051578e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",65535,0,0,3,1,"Success",0.006879,6539.003172,6789.125721,0.047108,2.377007,3.204737,0.059892,0.118468,13333.944275,524280,0,524280,1.1014051578e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",65535,0,0,4,1,"Success",0.008765,6754.333791,9131.796693,0.065285,2.03535,1.933334,0.039514,0.061958,15890.275631,524280,0,524280,1.1123945882e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",65535,0,0,5,1,"Success",0.007216,6557.741745,6248.461017,0.06445,1.883081,1.881187,0.033839,0.113503,12810.18696,524280,0,524280,1.1205405887e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",65535,0,0,6,1,"Success",0.006422,6529.222064,6242.608144,0.067122,2.018945,1.915238,0.042327,0.061598,12775.94278,524280,0,524280,1.1123945882e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",65535,0,0,7,1,"Success",0.00568,6581.113347,6262.796947,0.084872,1.938717,1.892862,0.036653,0.120576,12847.991272,524280,0,524280,1.0960010282e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",65535,0,0,8,1,"Success",0.006538,6560.036585,6526.73589,0.072112,3.918819,3.630897,0.046068,0.124633,13094.573393,524280,0,524280,1.1014051578e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",65535,0,0,9,1,"Success",0.013704,8966.055306,6358.193382,0.066752,1.940253,2.039692,0.039901,0.112906,15328.46281,524280,0,524280,1.1338688895e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",65535,0,0,10,1,"Success",0.006559,6556.548696,6270.445302,0.066666,1.910567,1.936153,0.039646,0.112763,12831.067549,524280,0,524280,1.0960010282e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",65535,0,0,11,1,"Success",0.006579,6547.807382,6258.668874,0.067594,1.901132,1.930266,0.036687,0.112766,12810.532322,524280,0,524280,1.0960010282e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,0,2,"Warmup",0.006727,5209.530666,4.971216,0.522714,4.969282,4.788331,0.108758,0.517327,5225.416663,1048568,0,1048568,1.9583020221e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,1,2,"Warmup",0.01588,5224.259032,4.323804,0.536272,5.728693,4.162947,0.13741,0.539539,5239.704872,1048568,0,1048568,1.9583020221e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,2,2,"Success",0.016898,5199.628672,4.241621,0.436101,4.995232,4.164653,0.133838,0.522459,5214.141102,1048568,0,1048568,1.9583020221e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,3,2,"Success",0.015848,5283.80298,4.36779,0.446481,5.308236,4.323695,0.139466,0.527693,5298.933565,1048568,0,1048568,1.9118935064e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,4,2,"Success",0.015067,5208.964828,4.207019,0.426095,4.908539,4.197114,0.129846,0.527478,5223.377064,1048568,0,1048568,1.9583020221e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,5,2,"Success",0.016201,5224.661731,4.359493,0.479519,5.351003,4.242918,0.180073,0.56376,5239.856233,1048568,0,1048568,1.9583020221e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,6,2,"Success",0.017325,5210.641277,4.478926,0.429823,5.135144,4.397862,0.122072,0.563836,5225.787539,1048568,0,1048568,1.7675184416e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,7,2,"Success",0.015948,7052.487722,7.103781,0.536467,9.243105,8.128703,0.197224,0.943932,7078.659286,1048568,0,1048568,1.9582903479e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,8,2,"Success",0.0379,6396.268619,4.284615,0.436488,5.211951,4.348555,0.134332,0.512025,6411.235959,1048568,0,1048568,1.9118935064e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,9,2,"Success",0.018941,5251.021855,4.377925,0.428848,5.223689,4.611822,0.127959,0.528391,5266.340852,1048568,0,1048568,1.9583020221e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,10,2,"Success",0.017777,5176.219425,4.161215,0.430599,5.047572,4.324903,0.137792,0.534879,5190.875347,1048568,0,1048568,1.8360803959e-07,0
"Fftw","Inplace","Complex","float",1,"oddshape",131071,0,0,11,2,"Success",0.015985,5183.155733,4.33293,0.475781,4.968861,4.251892,0.134552,0.517918,5197.854958,1048568,0,1048568,1.912993221e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,0,0,"Warmup",0.004892,198.990883,174.852663,0.015516,0.525692,0.529866,0.004757,0.005085,374.930249,131064,0,131064,1.279942433e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,1,0,"Warmup",0.004847,199.463162,176.38842,0.0151,0.524796,0.527824,0.005217,0.005177,376.935278,131064,0,131064,1.2395909629e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,2,0,"Success",0.005056,199.435311,175.719971,0.016405,0.547255,0.511816,0.004851,0.00429,376.245763,131064,0,131064,1.5071430542e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,3,0,"Success",0.00478,198.337406,183.277122,0.016568,0.527348,0.522654,0.004659,0.004186,382.695398,131064,0,131064,1.3199336477e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,4,0,"Success",0.005023,198.686453,176.073569,0.01618,0.51457,0.545935,0.004816,0.004404,375.852065,131064,0,131064,1.2395909629e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,5,0,"Success",0.004915,199.488071,182.580974,0.016254,0.56336,0.547309,0.004695,0.00497,383.211333,131064,0,131064,1.3199336477e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,6,0,"Success",0.007407,200.130582,184.421316,0.016373,0.525061,0.519139,0.004709,0.004903,385.630345,131064,0,131064,1.3199336477e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,7,0,"Success",0.004956,199.999728,182.306329,0.015506,0.537434,0.517775,0.004729,0.00448,383.391934,131064,0,131064,1.3199336477e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,8,0,"Success",0.00491,199.756823,175.652781,0.016129,0.549336,0.626945,0.006026,0.005752,376.619559,131064,0,131064,1.2395909629e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,9,0,"Success",0.005234,199.511124,175.750432,0.015659,0.512983,0.512156,0.004584,0.004274,376.317092,131064,0,131064,1.5071430542e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,10,0,"Success",0.004842,199.253153,175.200505,0.015735,0.519145,0.53333,0.005044,0.005168,375.537667,131064,0,131064,1.5071430542e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",127,129,0,11,0,"Success",0.004899,199.924727,176.114752,0.01596,0.524786,0.514839,0.004646,0.004871,377.11016,131064,0,131064,1.2395909629e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,0,1,"Warmup",0.015478,597.953097,543.650401,0.073561,3.300632,3.340236,0.076986,0.016241,1148.427993,524280,0,524280,1.1339196801e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,1,1,"Warmup",0.013034,601.749193,545.593929,0.080434,3.489416,3.222013,0.071163,0.021605,1154.24223,524280,0,524280,1.1185429205e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,2,1,"Success",0.017494,575.09839,465.30549,0.06119,1.863248,1.789281,0.02858,0.006421,1044.170906,524280,0,524280,1.1355176238e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,3,1,"Success",0.007343,460.877659,413.707127,0.058531,1.78269,1.817914,0.028025,0.00631,878.286739,524280,0,524280,1.1337059689e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",255,257,0,4,1,"Success",0.00647,460.8451,415.85908,0.060362,1.82279,1.944414,0.030267,0.007148,880.576444,524280,0,524280,1.1378104215e-07,0
