; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540282761216,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529481387,"CurrentTimeLocal","Wed Jun 20 09:56:27 2018","Hostname","r02n18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000114
; "Time_ContextDestroy [ms]", 5.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000522,0.008805,0.002245,0.000445,0.000815,0.000467,0.000149,0.001805,0.015716,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000482,0.003184,0.001654,0.00012,0.000331,0.000253,4.7e-05,0.001441,0.007899,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000436,0.003154,0.001669,0.000128,0.000278,0.000248,8.2e-05,0.001465,0.007845,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000416,0.003202,0.001705,8.8e-05,0.000254,0.000244,8.3e-05,0.001419,0.007796,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000399,0.003119,0.001684,8.5e-05,0.000253,0.000243,4.7e-05,0.001429,0.007613,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000414,0.00312,0.001635,8.7e-05,0.000257,0.000253,4.5e-05,0.001422,0.007583,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.0004,0.003137,0.001664,8.7e-05,0.000257,0.000244,4.5e-05,0.001436,0.007629,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000422,0.003145,0.001637,8.7e-05,0.00026,0.000251,4.7e-05,0.001427,0.00763,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000425,0.003446,0.001747,0.000129,0.000289,0.000276,4.6e-05,0.001451,0.008164,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000406,0.003145,0.001679,8.7e-05,0.000255,0.000244,4.5e-05,0.001401,0.007616,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000403,0.003128,0.001677,8.8e-05,0.000255,0.000246,4.4e-05,0.001396,0.007594,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000403,0.00314,0.001713,8.7e-05,0.000257,0.000244,4.4e-05,0.0014,0.007651,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.000478,0.023642,0.018185,0.000522,0.015704,0.007431,0.000341,0.002044,0.068797,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.000444,0.020744,0.017508,0.000364,0.006536,0.006343,0.000163,0.001584,0.0541,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.000517,0.020021,0.017443,0.000274,0.006317,0.006242,0.000158,0.00158,0.05296,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Success",0.00043,0.019922,0.017205,0.000277,0.006275,0.00615,0.00013,0.001579,0.05236,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,4,52,"Success",0.00043,0.019876,0.017232,0.000271,0.006233,0.006151,0.00013,0.001565,0.052278,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,5,52,"Success",0.000434,0.019922,0.017188,0.000267,0.006254,0.006163,0.000163,0.001558,0.052332,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,6,52,"Success",0.00044,0.02036,0.017294,0.000276,0.006305,0.006182,0.000127,0.001624,0.052989,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,7,52,"Success",0.000442,0.0199,0.017203,0.000273,0.006291,0.006156,0.000129,0.00155,0.05233,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,8,52,"Success",0.000439,0.019783,0.01731,0.000272,0.006217,0.006165,0.000131,0.001553,0.052258,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,9,52,"Success",0.000427,0.019766,0.027372,0.000257,0.006034,0.005905,0.000129,0.001526,0.061779,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,10,52,"Success",0.000416,0.019172,0.016622,0.00026,0.006001,0.005924,0.000123,0.001505,0.050393,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.000416,0.019167,0.016531,0.000266,0.006047,0.005926,0.00013,0.001493,0.050331,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,0,53,"Warmup",0.000702,0.050486,0.038869,0.009674,0.186694,0.140157,0.003603,0.009388,0.44007,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,1,53,"Warmup",0.000511,0.044068,0.040231,0.005322,0.137033,0.147079,0.003533,0.009234,0.387445,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,2,53,"Success",0.000445,0.042829,0.03977,0.005332,0.138309,0.139542,0.00357,0.008694,0.3789,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.000412,0.042134,0.039378,0.00531,0.139366,0.144771,0.003386,0.010209,0.385389,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.00047,0.042894,0.038886,0.005389,0.138276,0.139287,0.003481,0.007766,0.376882,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.000422,0.043042,0.039209,0.005331,0.137993,0.139987,0.003511,0.007588,0.377497,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.000452,0.042734,0.039699,0.005325,0.140308,0.139142,0.003545,0.007841,0.379473,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.000433,0.04253,0.039342,0.005366,0.139624,0.139851,0.003476,0.00914,0.380178,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.000434,0.04257,0.05131,0.005306,0.139072,0.139507,0.003466,0.009308,0.391404,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000446,0.042211,0.039652,0.005385,0.13862,0.139407,0.003515,0.008689,0.378337,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.00042,0.042843,0.038391,0.005368,0.144104,0.139543,0.003444,0.008397,0.382926,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.000423,0.042391,0.039804,0.005328,0.138528,0.138904,0.003562,0.008584,0.377931,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000554,0.060757,0.056327,0.123938,0.575246,0.517702,0.1843,0.006684,1.526004,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.000516,0.055571,0.053226,0.127261,0.529674,0.493073,0.18542,0.00634,1.451562,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000488,0.065357,0.054833,0.12937,0.549284,0.487725,0.194237,0.006179,1.487936,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.000486,0.056562,0.055067,0.138414,0.52409,0.49272,0.183119,0.00573,1.456628,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000457,0.057746,0.055408,0.139821,0.512384,0.509737,0.187002,0.006139,1.469154,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.000563,0.055914,0.054543,0.130131,0.510543,0.495766,0.195969,0.005708,1.449586,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.000456,0.056201,0.054439,0.128443,0.529892,0.497856,0.183853,0.005531,1.457174,1042568,0,1042568,8.0590305029e-08,0
