; "SupportedThreads",40,"UsedThreads",40,"TotalMemory",540282761216,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529492400,"CurrentTimeLocal","Wed Jun 20 13:00:00 2018","Hostname","r02n10","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000105
; "Time_ContextDestroy [ms]", 5.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Warmup",0.000635,0.026478,0.022321,0.00565,0.034379,0.029484,0.008649,0.017145,0.14538,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Warmup",0.000539,0.021379,0.017935,0.007194,0.031995,0.0301,0.008869,0.016739,0.13517,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.000583,0.022216,0.018856,0.006155,0.031608,0.031205,0.009787,0.017394,0.138377,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.000571,0.021656,0.018302,0.005761,0.034707,0.043782,0.006561,0.015881,0.147607,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.000565,0.020521,0.017348,0.0058,0.030607,0.032199,0.009749,0.016098,0.133286,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000392,0.020362,0.017811,0.006958,0.032277,0.030309,0.009165,0.015534,0.133187,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.000425,0.020564,0.017753,0.005727,0.032423,0.033018,0.008233,0.016309,0.134999,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,7,64,"Success",0.000753,0.021651,0.018037,0.005848,0.033174,0.030873,0.00782,0.017021,0.135726,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,8,64,"Success",0.000541,0.03717,0.017998,0.007057,0.032225,0.030518,0.009846,0.017287,0.153042,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,9,64,"Success",0.000516,0.020554,0.017865,0.007721,0.031592,0.029177,0.009096,0.017247,0.134469,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,10,64,"Success",0.000436,0.020456,0.017737,0.005798,0.032098,0.030962,0.008762,0.016734,0.133376,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,11,64,"Success",0.000516,0.021016,0.017763,0.006727,0.033524,0.035868,0.008758,0.016587,0.141329,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,0,65,"Warmup",0.000813,0.044311,0.0312,0.180803,0.368489,0.199248,0.193819,0.019764,1.03902,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,1,65,"Warmup",0.000496,0.04272,0.036446,0.158514,0.190088,0.185392,0.202547,0.018313,0.835006,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,2,65,"Success",0.000406,0.041439,0.035823,0.159471,0.193132,0.19105,0.190316,0.019347,0.831437,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,3,65,"Success",0.000409,0.040767,0.034771,0.164147,0.183832,0.186897,0.193892,0.019543,0.824704,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,4,65,"Success",0.000406,0.0407,0.035358,0.158067,0.184501,0.191575,0.185354,0.019052,0.81556,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,5,65,"Success",0.000429,0.040769,0.034795,0.158372,0.183087,0.191635,0.197439,0.020236,0.827476,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,6,65,"Success",0.000384,0.040232,0.034852,0.158412,0.17884,0.185884,0.189015,0.019085,0.807137,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,7,65,"Success",0.000407,0.040577,0.034984,0.161948,0.185051,0.186916,0.191662,0.019826,0.821816,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,8,65,"Success",0.000432,0.042089,0.03706,0.158512,0.179016,0.191269,0.190184,0.019418,0.818428,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,9,65,"Success",0.000491,0.040803,0.034553,0.155881,0.184692,0.18695,0.19662,0.019615,0.820054,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,10,65,"Success",0.000412,0.040444,0.035395,0.156844,0.186515,0.186779,0.184637,0.020274,0.811748,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,361,11,65,"Success",0.000429,0.040456,0.036003,0.171619,0.189901,0.186686,0.189646,0.020479,0.835672,1042568,0,1042568,7.9569941173e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,0,66,"Warmup",0.007071,0.063777,0.046706,11.045996,3.112726,2.971138,3.221268,0.020419,20.489914,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,1,66,"Warmup",0.001098,0.06891,0.053925,2.525473,3.103173,2.9781,3.257614,0.018375,12.007381,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,2,66,"Success",0.000928,0.066643,0.051716,2.544488,3.103231,2.973999,3.249064,0.018715,12.00938,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,3,66,"Success",0.000962,0.066868,0.052477,2.545867,3.090775,2.961213,3.247301,0.018717,11.98476,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,4,66,"Success",0.000913,0.066158,0.052906,2.536465,3.081943,2.966112,3.268324,0.019486,11.992836,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,5,66,"Success",0.000812,0.067033,0.052231,2.548289,3.101715,2.971755,3.274486,0.018609,12.035628,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,6,66,"Success",0.000891,0.066712,0.05243,2.55295,3.115811,2.9781,3.270016,0.019218,12.056814,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,7,66,"Success",0.000795,0.065918,0.052085,2.550886,3.110093,2.97129,3.256314,0.020475,12.028454,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,8,66,"Success",0.000881,0.065285,0.052296,2.553073,3.096601,2.977543,3.258695,0.01933,12.024403,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,9,66,"Success",0.000928,0.065921,0.053334,2.544028,3.094495,2.965724,3.250711,0.018599,11.99433,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,10,66,"Success",0.000733,0.066102,0.053348,2.532654,3.083546,2.962161,3.27603,0.019135,11.994348,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,361,361,11,66,"Success",0.000817,0.065638,0.052125,2.547183,3.096409,2.975269,3.265311,0.018986,12.022362,19808792,0,19808792,1.1202041221e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,0,67,"Warmup",0.007572,0.09363,0.059626,235.944619,74.654892,73.490363,56.902637,28.070012,469.224727,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,1,67,"Warmup",0.00874,0.087841,0.061546,233.651434,74.646916,73.518252,56.873481,28.153278,467.002844,376367048,0,376367048,1.1397298523e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",361,361,361,2,67,"Success",0.007181,0.088726,0.061778,233.833276,74.671472,73.475458,56.89628,28.125346,467.161357,376367048,0,376367048,1.1397298523e-07,0
