; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599733455,"CurrentTimeLocal","Thu Sep 10 12:24:15 2020","Hostname","taurusml16","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000126
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.000555,0.06406,0.004671,0.000137,0.008182,0.000941,0.000109,0.000975,0.080005,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.000578,0.004982,0.00388,9.6e-05,0.000959,0.000688,8.6e-05,0.000568,0.012194,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.00057,0.004594,0.003628,7.8e-05,0.000929,0.000681,7.6e-05,0.00055,0.011452,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.000555,0.004359,0.003664,7.4e-05,0.000871,0.000687,7.2e-05,0.000535,0.011146,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.000537,0.004272,0.003584,7.8e-05,0.000912,0.000697,6.8e-05,0.000577,0.011033,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.000523,0.004268,0.003553,7.6e-05,0.000848,0.000681,6.7e-05,0.000543,0.010863,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.000551,0.004345,0.003522,7.8e-05,0.000805,0.000681,7.2e-05,0.0005,0.010864,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,7,0,"Success",0.00056,0.004248,0.00356,7.7e-05,0.000905,0.000721,7e-05,0.00053,0.010982,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,8,0,"Success",0.000539,0.004104,0.003508,7.8e-05,0.000836,0.00067,6.9e-05,0.000517,0.010622,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,9,0,"Success",0.000525,0.004226,0.003474,7.8e-05,0.00086,0.00068,6.8e-05,0.000508,0.010724,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,10,0,"Success",0.000548,0.004218,0.003604,8e-05,0.000854,0.000697,6.7e-05,0.000521,0.010896,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,11,0,"Success",0.000563,0.004133,0.003478,8.1e-05,0.000882,0.000683,6.7e-05,0.000535,0.010728,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,12,0,"Success",0.000529,0.00418,0.003572,8.1e-05,0.000845,0.000674,6.7e-05,0.000535,0.010796,1600,0,1600,1.1064369999e-16,0
