; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599733505,"CurrentTimeLocal","Thu Sep 10 12:25:05 2020","Hostname","taurusml16","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000121
; "Time_ContextDestroy [ms]", 8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.009587,11.148118,11.221266,0.244979,24.544974,23.575934,0.147924,0.186109,71.079307,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.014353,11.133782,11.23113,0.183353,26.280171,23.516715,0.147924,0.117875,72.625914,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.014595,11.137245,11.203559,0.3269,26.039381,23.51401,0.149444,0.123304,72.508848,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.000332,11.169519,11.284718,0.184225,24.496992,23.373349,0.149438,0.117727,70.776889,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.014519,11.160691,11.245167,0.305848,26.108365,23.430264,0.148591,0.117392,72.531227,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.00041,11.24937,11.275652,0.184083,24.48802,23.491329,0.149948,0.110598,70.94983,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.000332,11.182722,11.30496,0.185331,24.312305,23.293187,0.148729,0.119933,70.547897,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.01321,11.094311,11.016093,0.293841,25.83611,23.324848,0.149957,0.112072,71.841056,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.015728,11.611585,11.515774,0.305434,25.847663,23.470831,0.149564,0.123326,73.040342,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,9,2,"Success",0.012789,11.667508,11.770175,0.304135,25.68204,23.42301,0.148825,0.124655,73.133544,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,10,2,"Success",0.012465,11.667442,11.755689,0.30503,25.866194,23.469944,0.154631,0.11863,73.350424,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,11,2,"Success",0.015642,11.687822,11.767231,0.301069,31.228565,23.483871,0.148668,0.118222,78.751494,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,12,2,"Success",0.000358,11.596479,11.706728,0.186098,23.503472,23.469441,0.170079,0.109966,70.743045,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,13,2,"Success",0.000324,11.372625,11.48013,0.189794,26.71567,23.42285,0.1481,0.111074,73.441039,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,14,2,"Success",0.000342,11.677086,11.76312,0.180204,25.833076,23.490687,0.148602,0.124886,73.218437,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,15,2,"Success",0.018474,11.597072,11.709173,0.306464,25.710674,23.39976,0.148584,0.110847,73.001468,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,16,2,"Success",0.000314,11.680017,11.775825,0.182559,24.250445,23.319766,0.147477,0.119972,71.476786,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,17,2,"Success",0.000373,11.673653,11.767104,0.187561,23.54059,23.401761,0.16847,0.116759,70.856708,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,18,2,"Success",0.000389,11.613474,11.706976,0.18579,23.426186,23.519588,0.147575,0.116662,70.717057,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",51,51,144,19,2,"Success",0.000301,11.596886,11.695451,0.188601,27.353363,23.397734,0.149301,0.118592,74.500659,6034320,0,2996352,6.5256333432e-17,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,0,3,"Success",0.012249,10.448298,12.487857,0.373474,2.655033,0.341936,0.182818,0.203582,26.705674,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,1,3,"Success",0.014355,10.449786,12.456362,0.375587,0.422453,0.336447,0.183156,0.117171,24.355964,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,2,3,"Success",0.012371,10.423779,12.413026,0.421717,4.271358,1.094476,0.183311,0.107787,28.928268,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,3,3,"Success",0.016771,10.388009,12.410942,0.393924,1.910198,0.336762,0.18104,0.112764,25.750809,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,4,3,"Success",0.015701,10.479115,12.46146,0.388425,0.416033,0.338271,0.182474,0.116801,24.398697,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,5,3,"Success",0.015789,10.393872,12.338001,0.376133,5.109125,1.848333,0.182827,0.108662,30.373163,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.000321,10.383294,12.409342,0.229437,1.126542,0.335249,0.182128,0.106699,24.773445,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.013011,10.464086,12.468932,0.381022,0.469954,0.343265,0.181197,0.109191,24.431084,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.000334,10.381654,12.248735,0.225008,5.083071,0.341117,0.18124,0.112958,28.574523,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.000463,10.433814,12.46872,0.236624,2.63807,0.338603,0.181507,0.109687,26.407912,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.019987,10.425407,12.428233,0.392223,1.134005,0.339292,0.182357,0.114929,25.036866,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.000494,10.490439,12.487439,0.237716,2.646243,0.337706,0.181519,0.11698,26.498947,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.012562,10.451091,12.480647,0.389072,1.131195,0.337505,0.1817,0.117336,25.101513,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.012716,10.454042,12.349915,0.379359,2.877148,0.335181,0.182349,0.118167,26.709301,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.012496,10.205108,12.190943,0.381351,1.246686,0.336169,0.183221,0.107799,24.664453,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.012513,10.394124,12.410917,0.392526,2.656984,0.337951,0.183624,0.110768,26.499827,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,16,3,"Success",0.015251,10.460008,12.463864,0.384854,0.414343,0.331956,0.182489,0.117009,24.370205,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,17,3,"Success",0.015723,10.318971,12.175324,0.382999,2.928219,0.339837,0.190639,0.109912,26.46203,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,18,3,"Success",0.0003,10.188523,12.174451,0.237923,2.868922,0.334533,0.182675,0.108787,26.096511,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",55,55,150,19,3,"Success",0.01281,10.265308,12.226671,0.38745,1.256528,0.34188,0.182473,0.110187,24.78371,7308400,0,3630000,1.4700598092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,0,4,"Success",0.012042,24.797842,24.895501,0.560691,6.395681,7.755716,0.254665,0.274354,64.946914,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,1,4,"Success",0.014609,22.709052,23.02356,0.583225,8.167798,9.919024,0.256237,0.267978,64.941872,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,2,4,"Success",0.013097,23.379607,23.50214,0.576731,8.388215,7.090478,0.254262,0.245961,63.45089,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,3,4,"Success",0.012316,22.588982,22.955429,0.570789,7.334952,7.190962,0.254848,0.26501,61.173902,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,4,4,"Success",0.01287,23.685034,23.737573,0.57668,9.307844,10.170384,0.254796,0.251061,67.996798,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,5,4,"Success",0.012089,22.561986,22.918816,0.586154,7.789489,6.726653,0.256768,0.265589,61.117926,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,6,4,"Success",0.013185,24.664333,25.106198,0.606946,5.055828,1.930587,0.254284,0.251532,57.883302,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,7,4,"Success",0.01422,24.492732,24.858178,0.581742,9.203759,11.751303,0.256016,0.265994,71.424359,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,8,4,"Success",0.012548,22.702257,23.00177,0.558137,9.425597,7.211721,0.253473,0.256791,63.422682,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,9,4,"Success",0.012955,23.031486,23.059261,0.563241,8.577167,7.089503,0.248851,0.264939,62.847791,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,10,4,"Success",0.012878,22.724452,23.026654,0.579269,8.334975,8.687206,0.251057,0.246733,63.863801,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,11,4,"Success",0.012533,22.849824,22.908996,0.565961,7.333172,7.169389,0.254391,0.267234,61.361883,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,12,4,"Success",0.012962,23.805359,24.1434,0.576708,9.704534,11.945262,0.253552,0.245527,70.687709,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,13,4,"Success",0.013093,22.573758,22.896234,0.563225,9.403316,8.784902,0.24834,0.265666,64.748948,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,14,4,"Success",0.016918,22.688488,22.99966,0.559337,9.991955,9.156812,0.25542,0.254625,65.923619,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,15,4,"Success",0.013117,23.805271,23.605532,0.580803,10.724379,8.279504,0.245735,0.265796,67.520576,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,16,4,"Success",0.012857,22.704565,23.004537,0.575368,6.774397,11.245512,0.25542,0.258725,64.831773,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,17,4,"Success",0.012506,22.727809,23.02796,0.567487,9.520273,9.677324,0.257549,0.268914,66.060234,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,18,4,"Success",0.018277,24.213828,24.309964,0.573563,8.563923,8.947081,0.252719,0.240923,67.120679,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"oddshape",61,61,160,19,4,"Success",0.012376,22.603695,22.935501,0.567961,8.139404,10.428476,0.244352,0.252973,65.185139,9585296,0,4762880,1.1168004092e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.01342,20.459656,20.465529,0.203258,64.065318,38.025637,0.068216,0.217335,143.518885,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.011943,21.25132,21.681619,0.179031,46.994374,19.982777,0.057918,0.095328,110.254743,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.009193,21.162454,21.591102,0.137245,51.961285,19.979943,0.057979,0.094065,114.993707,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.009542,21.180573,21.637093,0.144375,46.299479,20.260357,0.058881,0.088665,109.679419,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.000291,20.286544,20.428794,0.052771,80.350984,20.314226,0.058443,0.095191,141.587681,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.01312,20.2843,20.702583,0.137209,59.555389,20.272972,0.056501,0.087932,121.110445,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.000279,21.371359,21.832723,0.056422,46.594594,19.991794,0.054398,0.088565,109.990579,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.000305,20.710742,20.712892,0.062927,55.561916,20.063016,0.055019,0.094957,117.262218,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.000252,20.370825,20.797837,0.05466,50.243086,19.77148,0.054418,0.086417,111.379406,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.00964,20.984418,21.396098,0.141192,51.105672,19.905688,0.054394,0.092754,113.690285,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.008943,20.743439,21.197129,0.137749,48.725997,19.797319,0.057193,0.091345,110.759596,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.009609,20.735838,21.175953,0.139393,50.796687,20.048696,0.056873,0.087745,113.051221,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.000312,20.752192,21.206391,0.054717,49.315431,20.011267,0.056908,0.093147,111.490811,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.008962,20.771172,21.19234,0.139105,48.586802,19.937682,0.057063,0.087705,110.78131,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.000285,20.954407,21.442645,0.062675,59.285506,20.227452,0.057473,0.088474,122.119387,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.000311,20.770153,21.216652,0.054424,47.702608,20.209412,0.057395,0.095072,110.106454,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.000301,20.836244,21.299397,0.065554,40.864191,20.015858,0.060306,0.089308,103.231591,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.009605,20.949581,21.409619,0.145539,46.168353,19.829664,0.058021,0.093235,108.664089,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.009071,20.739608,21.201851,0.137819,49.374466,20.142908,0.055606,0.093946,111.755714,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.009029,20.748746,21.181264,0.140372,49.817792,20.153618,0.058978,0.089975,112.200203,4066200,0,2025000,1.2746774811e-16,0
"Fftw","Outplace","Real","double",3,"radix357",49,49,135,0,1,"Success",0.010894,25.212297,29.401405,0.22406,65.39267,55.150007,0.138864,0.190706,175.721381,5205368,0,2593080,1.2252147609e-16,0
"Fftw","Outplace","Real","double",3,"radix357",49,49,135,1,1,"Success",0.01097,23.018204,26.670246,0.21297,121.588015,54.617959,0.137255,0.115425,226.371473,5205368,0,2593080,1.2252147609e-16,0
"Fftw","Outplace","Real","double",3,"radix357",49,49,135,2,1,"Success",0.000363,24.941357,28.929197,0.169863,101.965037,46.263856,0.130544,0.106242,202.50688,5205368,0,2593080,1.2252147609e-16,0
"Fftw","Outplace","Real","double",3,"radix357",49,49,135,3,1,"Success",0.000438,24.921677,28.968554,0.132536,99.206874,46.259562,0.1386,0.10703,199.735712,5205368,0,2593080,1.2252147609e-16,0
"Fftw","Outplace","Real","double",3,"radix357",49,49,135,4,1,"Success",0.000402,25.380655,29.439736,0.141092,46.278329,46.553029,0.138887,0.115291,148.047858,5205368,0,2593080,1.2252147609e-16,0
"Fftw","Outplace","Real","double",3,"radix357",49,49,135,5,1,"Success",0.000351,23.041033,26.732627,0.127695,123.763899,46.357787,0.135935,0.110129,220.269878,5205368,0,2593080,1.2252147609e-16,0
"Fftw","Outplace","Real","double",3,"radix357",49,49,135,6,1,"Success",0.00033,24.946559,28.924155,0.136362,47.17697,46.312008,0.136263,0.104879,147.737971,5205368,0,2593080,1.2252147609e-16,0
