; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599473653,"CurrentTimeLocal","Mon Sep  7 12:14:13 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000141
; "Time_ContextDestroy [ms]", 0.000214
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,0,0,"Success",0.015275,10.112824,10.70409,4.718267,200.155078,26.573181,2.882014,0.671892,255.833731,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,1,0,"Success",0.013359,10.051859,10.705698,4.632056,26.080814,26.347929,2.864717,0.699902,81.397606,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,2,0,"Success",0.013277,9.785168,10.500523,4.575374,26.88048,26.262557,2.869435,0.67045,81.558255,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,3,0,"Success",0.013205,9.783572,10.517686,4.587164,27.81188,26.208587,2.873386,0.684642,82.481922,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,4,0,"Success",0.013138,9.783065,10.510631,4.583748,29.328323,26.188128,2.877315,0.6954,83.981582,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,5,0,"Success",0.012852,9.801894,10.496921,4.588212,27.236862,26.427387,2.880438,0.659005,82.105131,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,6,0,"Success",0.012769,9.775438,10.505299,4.584658,28.605413,26.399616,2.86011,0.708898,83.453829,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,7,0,"Success",0.013448,9.79242,10.507327,4.589867,28.867297,26.349816,2.896492,0.678094,83.696075,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,8,0,"Success",0.012906,9.980349,10.458868,4.539796,28.486345,26.319293,2.879346,0.687875,83.366561,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,9,0,"Success",0.013609,9.398896,10.073295,4.510942,28.643206,26.359982,2.851394,0.657863,82.510578,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,10,0,"Success",0.012771,9.227628,9.898543,4.471659,28.530559,26.521939,2.872831,0.644892,82.182515,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,11,0,"Success",0.013011,9.033465,9.740303,4.435245,28.719832,26.349728,2.85608,0.661064,81.810383,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,12,0,"Success",0.012389,9.234436,9.900969,4.467668,28.6122,26.335819,2.840517,0.640464,82.046601,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,13,0,"Success",0.012946,9.235304,9.89557,4.462996,27.420899,27.223935,2.875762,0.65248,81.781247,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,14,0,"Success",0.01299,9.097951,9.712574,4.440659,28.541282,26.203952,2.874557,0.655025,81.540663,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,15,0,"Success",0.012846,9.067637,9.725111,4.441626,27.630291,26.327993,2.872572,0.649086,80.728957,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,16,0,"Success",0.012556,9.066104,9.731398,4.438714,28.594228,26.330121,2.883026,0.657646,81.715422,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,17,0,"Success",0.013906,9.118317,9.732941,4.426999,27.681423,26.425728,2.844828,0.637143,80.883092,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,18,0,"Success",0.012896,9.061952,9.72007,4.434282,27.626955,26.314288,2.855279,0.654417,80.682075,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,19,0,"Success",0.013081,9.06879,9.723023,4.443479,27.478347,26.269102,2.86742,0.642604,80.507552,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,0,1,"Success",0.016152,9.904777,9.623202,18.454398,30.87348,174.969998,10.240623,1.49416,255.578842,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,1,1,"Success",0.018339,9.917734,9.653496,18.439474,19.334929,175.961099,10.226578,1.459029,245.013146,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,2,1,"Success",0.015857,9.905983,9.722379,18.438708,19.731524,175.212484,10.249585,1.438159,244.716257,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,3,1,"Success",0.015904,9.874352,9.617828,18.440251,19.89805,175.721758,10.228514,1.430322,245.229414,268500992,0,134217728,1.9626156318e-17,0
