; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599474173,"CurrentTimeLocal","Mon Sep  7 12:22:53 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000188
; "Time_ContextDestroy [ms]", 6.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.016226,0.15878,0.131419,0.434899,12.022655,13.907372,0.145606,0.090008,26.907825,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.014308,0.106139,0.102989,0.325616,8.747127,17.397493,0.161311,0.070663,26.926118,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.013213,0.074396,0.090864,0.301093,9.199773,17.402362,0.15904,0.071849,27.313104,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.009371,0.09062,0.086798,0.294972,8.666257,17.41126,0.156301,0.064385,26.780423,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.009885,0.0917,0.088758,0.286781,8.745463,17.40895,0.160434,0.066017,26.858497,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.012284,0.08469,0.09919,0.28698,8.723963,17.412434,0.167678,0.071929,26.859684,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.011674,0.069143,0.088376,0.301409,9.147813,17.399587,0.169685,0.065531,27.253786,6034320,0,2996352,2.9388303756e-15,0
