; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161576,"CurrentTimeLocal","Tue Sep 15 11:19:36 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.2e-05
; "Time_ContextDestroy [ms]", 0.000201
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,0,0,"Success",0.014365,3.503118,3.560581,4.457406,13.229679,70.129435,2.483297,0.53493,97.913566,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,1,0,"Success",0.013564,3.566432,3.826212,4.657201,3.710845,17.347077,2.483201,0.472145,36.077845,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,2,0,"Success",0.013117,3.485579,3.73592,4.605647,4.50373,16.599628,2.486758,0.513823,35.944884,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,3,0,"Success",0.013497,3.571594,3.834905,4.650632,4.47655,17.282381,2.492506,0.496961,36.819604,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,4,0,"Success",0.013153,3.543409,3.826922,4.662252,4.442821,16.523276,2.484926,0.499931,35.998405,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,5,0,"Success",0.01389,3.525143,3.842087,4.651147,3.76354,16.574528,2.495213,0.495742,35.362517,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,6,0,"Success",0.013583,3.508858,3.810894,4.668222,3.750351,16.5791,2.482881,0.511278,35.326009,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,7,0,"Success",0.014078,3.544636,3.855676,4.653496,3.715354,16.700747,2.481241,0.508524,35.475333,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,8,0,"Success",0.01887,3.516161,3.813446,4.658539,3.727053,16.642943,2.488928,0.498479,35.365148,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,9,0,"Success",0.013151,3.549374,3.816916,4.674903,3.176724,15.612672,2.495372,0.478178,33.817897,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,10,0,"Success",0.013342,3.524758,3.798572,4.652053,3.213107,15.632427,2.532053,0.498253,33.865733,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,11,0,"Success",0.013279,3.536523,3.837792,4.657068,4.637723,15.627698,2.492164,0.497549,35.300436,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,12,0,"Success",0.013878,3.535568,3.831183,4.675406,3.181741,15.638527,2.489666,0.481543,33.848814,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,13,0,"Success",0.012984,3.520734,3.791182,4.664066,4.619567,15.651735,2.490713,0.500069,35.251911,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,14,0,"Success",0.013966,3.566168,3.837959,4.664422,4.626736,15.606637,2.502394,0.513218,35.332323,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,15,0,"Success",0.018499,3.50844,3.828239,4.646665,3.193491,15.658268,2.491625,0.490747,33.837268,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,16,0,"Success",0.013318,3.538728,3.821805,4.674109,4.684427,22.95783,2.490107,0.501993,42.683758,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,17,0,"Success",0.013284,3.477693,3.715811,4.609416,3.311485,15.644177,2.520111,0.513993,33.806671,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,18,0,"Success",0.013316,3.545235,3.848545,4.647516,3.163837,15.666127,2.490534,0.494804,33.871171,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,19,0,"Success",0.013064,3.43488,3.721981,4.742095,4.940507,27.025823,2.489232,0.48714,46.855989,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,0,1,"Success",0.020552,3.985704,3.774453,19.73092,18.917489,135.026604,10.155074,1.529021,193.140887,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,1,1,"Success",0.018254,3.673871,3.472699,19.209464,18.49016,147.658108,10.375164,1.539753,204.439102,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,2,1,"Success",0.017389,3.789872,3.60379,19.493016,19.001995,147.949799,10.440447,1.576126,205.873534,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,3,1,"Success",0.022983,3.931939,3.763131,19.786477,17.05549,141.930472,10.463038,1.565757,198.520557,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,4,1,"Success",0.01792,3.955583,3.795514,19.726397,18.816712,138.526587,10.44602,1.660743,196.946635,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,5,1,"Success",0.018788,3.992592,3.807246,19.834092,17.755563,140.40013,10.382815,1.577101,197.769707,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,6,1,"Success",0.018175,3.886366,3.702046,19.641113,17.904152,136.421756,10.441321,1.542831,193.558923,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,7,1,"Success",0.018005,3.917275,3.707149,19.68215,17.344033,140.595167,10.373926,1.578541,197.217173,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,8,1,"Success",0.022425,3.912125,3.690027,19.639996,17.552559,130.352313,10.442544,1.571018,187.183581,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,9,1,"Success",0.017726,4.001026,3.746572,19.833619,17.635523,139.256635,10.291987,1.540618,196.324471,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,10,1,"Success",0.017525,3.714911,3.577239,19.494388,17.856601,142.930016,10.44138,1.609024,199.641733,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,11,1,"Success",0.018371,3.993756,3.775737,19.838365,18.368139,146.660676,10.436827,1.596968,204.689657,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,12,1,"Success",0.018937,3.970564,3.798787,19.779603,17.80563,141.944363,10.442137,1.565473,199.326113,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,13,1,"Success",0.020157,3.994094,3.804267,19.829204,19.200611,134.829596,10.368337,1.572519,193.619759,268500992,0,134217728,1.9626156318e-17,0
