; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161928,"CurrentTimeLocal","Tue Sep 15 11:25:28 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.005349,118.378624,104.980951,0.000195,0.008462,0.005871,0.000257,0.00802,223.388177,1600,0,1600,5.3080136474e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.004092,117.253651,104.137874,0.00027,0.005907,0.006127,0.000203,0.006407,221.414998,1600,0,1600,4.8184978982e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.00416,116.944081,104.346026,0.000177,0.006163,0.006622,0.000277,0.005135,221.313118,1600,0,1600,4.6568248693e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.004148,116.851591,104.377192,0.000243,0.00645,0.006659,0.000249,0.004647,221.251616,1600,0,1600,5.0360000644e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.004434,117.060349,104.918914,0.000223,0.006292,0.006962,0.000184,0.005791,222.003613,1600,0,1600,4.7133425526e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.004115,117.20923,104.440332,0.000183,0.006531,0.007207,0.00024,0.004904,221.673204,1600,0,1600,4.1974823955e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.004126,117.281559,104.154859,0.000201,0.006071,0.006101,0.000231,0.006193,221.459786,1600,0,1600,5.3655239724e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,7,0,"Success",0.004158,117.155789,104.123659,0.000183,0.006329,0.006756,0.000293,0.005322,221.302959,1600,0,1600,4.1974823955e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,8,0,"Success",0.014323,117.242092,103.815886,0.00018,0.006101,0.006467,0.000256,0.005171,221.090902,1600,0,1600,4.1920990483e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,9,0,"Success",0.004134,117.070585,104.022783,0.000183,0.006189,0.006921,0.000267,0.006338,221.117869,1600,0,1600,4.7060958757e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,10,0,"Success",0.004105,117.045406,103.886223,0.000228,0.006679,0.007006,0.000258,0.005373,220.95575,1600,0,1600,4.619111513e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,11,0,"Success",0.00412,117.210021,104.073738,0.000194,0.006851,0.006986,0.000253,0.006291,221.308952,1600,0,1600,4.0564980674e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,12,0,"Success",0.004153,117.229436,104.420331,0.000182,0.006478,0.006191,0.000271,0.005227,221.672734,1600,0,1600,4.7073424505e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,13,0,"Success",0.003682,117.174049,104.915456,0.000168,0.00628,0.00667,0.000257,0.005404,222.112435,1600,0,1600,4.1974823955e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,14,0,"Success",0.004098,117.313033,104.238185,0.000174,0.006568,0.006604,0.000266,0.005158,221.57457,1600,0,1600,4.6568248693e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,15,0,"Success",0.014586,117.100969,104.529417,0.000187,0.006058,0.006501,0.000268,0.005741,221.664196,1600,0,1600,4.7073424505e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,16,0,"Success",0.00417,117.240436,104.35437,0.000202,0.006666,0.006125,0.000244,0.005282,221.617955,1600,0,1600,4.1920990483e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,17,0,"Success",0.00439,117.144821,104.814938,0.000188,0.006323,0.006447,0.000252,0.005575,221.983485,1600,0,1600,4.9925010062e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,18,0,"Success",0.004173,117.108052,104.077035,0.000232,0.006279,0.006822,0.000225,0.004969,221.208231,1600,0,1600,4.6568248693e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,19,0,"Success",0.013928,116.864563,104.568228,0.000192,0.006106,0.006323,0.000238,0.00552,221.465539,1600,0,1600,4.1920990483e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,0,1,"Success",0.003405,199.084308,175.606952,0.000308,0.008148,0.008529,0.000374,0.006318,374.718831,3200,0,3200,2.2739492318e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,1,1,"Success",0.014707,200.948177,176.320239,0.00034,0.00816,0.008451,0.000397,0.006416,377.307351,3200,0,3200,2.2739492318e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,2,1,"Success",0.004072,200.202325,174.759408,0.000299,0.008134,0.007868,0.000381,0.004569,374.987484,3200,0,3200,2.8219635662e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,3,1,"Success",0.004047,200.687408,176.630579,0.000339,0.008518,0.00844,0.000376,0.005166,377.345351,3200,0,3200,2.3516711491e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,4,1,"Success",0.014378,200.466613,175.96332,0.000335,0.007848,0.010095,0.000182,0.005501,376.468695,3200,0,3200,1.7000825897e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,5,1,"Success",0.004111,200.65449,176.376555,0.000336,0.007947,0.008514,0.000391,0.004614,377.057439,3200,0,3200,2.3516711491e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.003623,200.617812,175.573567,0.000285,0.007716,0.008704,0.000411,0.005389,376.217921,3200,0,3200,2.1004820493e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.004087,200.074601,174.850006,0.000303,0.008557,0.009026,0.000392,0.005203,374.95272,3200,0,3200,2.3516711491e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.004058,199.603492,175.065061,0.000327,0.008267,0.009061,0.000192,0.006302,374.697276,3200,0,3200,2.3458299202e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.014594,200.88961,175.785984,0.000364,0.007889,0.009089,0.000176,0.006244,376.714379,3200,0,3200,2.3158378999e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.004064,199.38927,175.590063,0.000319,0.007999,0.009324,0.000183,0.007303,375.008961,3200,0,3200,1.5200623171e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.004088,200.611049,175.96385,0.000297,0.008042,0.008438,0.000374,0.030263,376.62688,3200,0,3200,2.8594775809e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.003543,200.447631,176.335938,0.000301,0.007732,0.009058,0.000187,0.005584,376.810475,3200,0,3200,2.2133668558e-17,0
