; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274153406464,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1601280090,"CurrentTimeLocal","Mon Sep 28 10:01:30 2020","Hostname","juawei-a18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00034
; "Time_ContextDestroy [ms]", 0.00048
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,0,0,"Success",0.01378,200.710523,126.113096,1.490346,6.503489,7.673974,0.668323,0.223681,343.400412,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,1,0,"Success",0.019,0.618923,0.488702,1.436846,3.660676,7.078872,0.694843,0.212301,14.213463,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,2,0,"Success",0.01704,0.630223,0.490102,1.403226,3.732556,5.998207,0.708963,0.207821,13.191478,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,3,0,"Success",0.01738,0.626163,0.494942,1.504907,3.292474,6.502409,0.726043,0.211461,13.378799,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,4,0,"Success",0.01752,0.610062,0.487942,1.512287,3.230874,7.459893,0.749143,0.209841,14.280702,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,5,0,"Success",0.01948,0.633223,0.495842,1.522307,2.987153,7.941395,1.091945,0.231421,14.926166,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,6,0,"Success",0.02116,0.682743,0.504923,1.511786,2.645972,8.010655,1.054085,0.219861,14.655085,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,7,0,"Success",0.01888,0.622403,0.493622,1.472707,2.011188,7.096172,1.084924,0.221521,13.024297,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,8,0,"Success",0.02058,0.655203,0.500622,1.500427,1.233805,7.060651,1.043345,0.215281,12.233554,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,9,0,"Success",0.01954,0.624543,0.496882,1.513707,1.207885,7.026871,1.054005,0.217461,12.164174,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,10,0,"Success",0.01888,0.609583,0.490222,1.458686,1.232146,6.98701,1.033665,0.199201,12.033113,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,11,0,"Success",0.01818,0.607423,0.514762,1.483847,1.210145,6.998731,1.065264,0.215401,12.117173,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,12,0,"Success",0.02024,0.619982,0.490902,1.495206,1.204386,6.94415,1.033085,0.220821,12.032413,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,13,0,"Success",0.0194,0.606563,0.530142,1.492487,1.184325,7.080871,1.035204,0.211861,12.164653,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,14,0,"Success",0.01824,0.593722,0.486322,1.484747,1.214065,6.962131,1.040945,0.20386,12.007692,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,15,0,"Success",0.01976,0.615283,0.514762,1.496186,1.208406,6.993171,1.052644,0.217561,12.121713,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,16,0,"Success",0.0205,0.613362,0.492782,1.496167,1.220865,7.067852,1.055444,0.208441,12.179793,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,17,0,"Success",0.01902,0.643722,0.491583,1.452386,1.184345,6.980911,1.053785,0.212041,12.041333,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,18,0,"Success",0.01974,0.615323,0.492922,1.500366,1.201826,6.88757,1.059265,0.203381,11.984513,4822416,0,4762880,4.4509449997e-16,0
"Fftw_ARMPL","Inplace","Real","double",3,"oddshape",61,61,160,19,0,"Success",0.01948,0.654623,0.491282,1.498067,1.203285,6.935851,1.038784,0.212861,12.057753,4822416,0,4762880,4.4509449997e-16,0
