; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274153406464,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1601280063,"CurrentTimeLocal","Mon Sep 28 10:01:03 2020","Hostname","juawei-a18","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00038
; "Time_ContextDestroy [ms]", 0.00038
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.01382,21.631755,24.737509,1.131865,5.884746,5.004342,0.486122,0.279721,59.173,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.01554,20.860992,24.117686,0.985044,3.909837,3.900238,0.484082,0.206961,54.4835,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.0006,20.834072,24.104166,0.538862,3.978758,5.072982,0.479382,0.216181,55.227943,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.0005,20.820472,24.042426,0.535742,4.351559,4.57194,0.525523,0.222001,55.073303,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.00068,20.874352,24.130446,0.569823,3.984077,4.794122,0.782623,0.262381,55.401464,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.0006,20.974092,24.210987,0.797244,2.36593,2.725292,0.767843,0.252561,52.097809,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.0006,20.947393,24.568568,0.806963,2.358071,2.749992,0.771643,0.257001,52.463431,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.0006,20.964673,24.236826,0.797384,2.759652,2.758072,0.773164,0.251081,52.545212,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.0006,20.908412,24.201046,0.794724,2.36671,2.800453,0.763783,0.248381,52.087409,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.00066,20.871012,24.261747,0.796763,2.421111,2.751312,0.768203,0.249441,52.123429,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.00062,20.894532,24.262487,0.795464,2.38847,2.799613,0.783023,0.246481,52.17425,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.0006,20.890272,24.184986,0.791824,2.424411,2.786152,0.770663,0.248941,52.101109,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.0007,20.911772,24.219687,0.790423,2.430051,2.756772,0.780544,0.249681,52.14357,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.0007,20.929172,24.257627,0.794543,2.432751,2.753132,0.774323,0.252062,52.19759,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.000601,20.959292,24.295367,0.797983,2.398151,2.782312,0.788804,0.250381,52.276031,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.00066,20.909672,24.281007,0.795463,2.415611,2.748932,0.773783,0.248601,52.176869,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.0006,20.884512,24.273807,0.797984,2.39091,2.734192,0.786344,0.250861,52.12243,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.00072,20.942392,24.257867,0.797543,2.441731,2.760592,0.776384,0.251861,52.23211,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.00064,20.898692,24.342447,0.794623,2.467211,2.772953,0.782163,0.252061,52.31447,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.0006,20.857032,24.207886,0.799884,2.493311,2.817652,0.768684,0.246401,52.19535,3678400,0,3630000,1.5859004983e-16,0
