; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600853188,"CurrentTimeLocal","Wed Sep 23 11:26:28 2020","Hostname","taurusml22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00013
; "Time_ContextDestroy [ms]", 3.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.003078,30.368806,0.050975,0.437804,1.977007,4.161045,0.150557,0.043639,37.193323,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.004793,0.033416,0.038923,0.310528,0.488286,4.161658,0.129795,0.001812,5.169595,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.000404,0.029971,0.035503,0.146796,0.446203,4.190003,0.118757,0.001576,4.969606,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.00037,0.02941,0.034787,0.143292,0.439103,4.165034,0.115447,0.00158,4.929404,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.000384,0.029847,0.034608,0.1418,0.476587,4.175962,0.114481,0.001566,4.975615,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.000381,0.029362,0.034314,0.140558,0.437436,4.176294,0.112606,0.001642,4.932992,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.000391,0.029419,0.034729,0.140718,0.453264,4.168195,0.11342,0.001627,4.942149,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.00034,0.028484,0.034231,0.139349,0.448367,4.180164,0.114515,0.001599,4.947493,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.000345,0.028804,0.033763,0.140586,0.467811,4.159813,0.115013,0.00152,4.948049,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.000402,0.028993,0.033923,0.141075,0.44109,4.15907,0.112264,0.001723,4.918933,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.000416,0.029077,0.033896,0.138957,0.442871,4.14719,0.111979,0.001701,4.906473,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.000381,0.029417,0.033666,0.141325,0.438093,4.099797,0.111859,0.001627,4.856556,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.00042,0.028144,0.033413,0.138841,0.454502,4.117089,0.111188,0.001676,4.885661,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.0004,0.028513,0.033626,0.137404,0.460352,4.081395,0.110961,0.001545,4.854635,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.000359,0.028154,0.033159,0.138695,0.438665,4.087432,0.110918,0.001529,4.839367,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.000373,0.028602,0.033208,0.137605,0.45451,4.185213,0.113707,0.001568,4.95519,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.00031,0.028446,0.032794,0.139271,0.447157,4.073786,0.1115,0.001599,4.835233,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.000345,0.028458,0.032947,0.138434,0.442481,4.089251,0.111978,0.001655,4.84594,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.000339,0.028552,0.033003,0.138415,0.430687,4.102941,0.112057,0.001624,4.848075,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.000439,0.028696,0.033244,0.141974,0.464277,4.086262,0.111283,0.001539,4.868115,3678400,0,3630000,1.7739423785e-16,0
