; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600852879,"CurrentTimeLocal","Wed Sep 23 11:21:19 2020","Hostname","taurusml22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.9e-05
; "Time_ContextDestroy [ms]", 9.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,0,0,"Success",0.004182,13.549008,15.790357,0.291773,12.890139,7.355052,0.16328,0.211243,50.255576,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,1,0,"Success",0.005046,13.486651,15.78798,0.251538,5.998079,10.155196,0.168649,0.166526,46.020163,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,2,0,"Success",0.000213,13.434853,15.80639,0.143407,5.913336,6.890052,0.157958,0.148028,42.494779,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,3,0,"Success",0.000255,13.46031,15.782854,0.14076,8.151701,9.128838,0.168049,0.174353,47.00765,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,4,0,"Success",0.000207,14.560979,16.726007,0.144417,5.744913,4.735164,0.177756,0.160647,42.250585,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,5,0,"Success",0.00024,14.847739,17.434056,0.146851,4.005505,0.432333,0.169383,0.170824,37.20743,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,6,0,"Success",0.000258,14.768445,17.378794,0.160461,0.48342,0.433513,0.169873,0.171699,33.566999,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,7,0,"Success",0.000225,14.850938,17.444134,0.147507,4.101512,0.436864,0.169902,0.159799,37.311384,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,8,0,"Success",0.000234,14.846005,17.449317,0.146577,4.106058,0.443987,0.169821,0.171471,37.334001,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,9,0,"Success",0.000197,14.755484,17.371069,0.161096,4.096338,0.439609,0.170144,0.171289,37.165721,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,10,0,"Success",0.000209,14.858572,17.444704,0.161514,0.503399,0.433796,0.169305,0.158256,33.730478,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,11,0,"Success",0.000245,14.840476,17.446272,0.160612,4.133107,0.434395,0.170377,0.169332,37.355295,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,12,0,"Success",0.000225,14.755822,17.373673,0.159489,4.128806,0.43537,0.169891,0.172525,37.196361,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,13,0,"Success",0.000202,14.846336,17.43414,0.14753,4.102387,0.436482,0.169759,0.159457,37.296809,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,14,0,"Success",0.000244,14.823378,17.442864,0.14811,0.487858,0.43005,0.170552,0.17117,33.674788,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,15,0,"Success",0.000217,14.744197,17.359531,0.15952,4.124527,0.4347,0.171803,0.171296,37.166316,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,16,0,"Success",0.000295,14.84658,17.437108,0.160992,4.119442,0.440067,0.170441,0.160805,37.336244,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,17,0,"Success",0.000254,14.834868,17.43065,0.146308,2.712923,0.43518,0.17004,0.170783,35.901508,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,18,0,"Success",0.000206,14.770356,17.376717,0.161864,2.701809,0.437706,0.169756,0.17278,35.791721,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,19,0,"Success",0.000215,14.86642,17.433817,0.16007,2.703498,0.437391,0.170873,0.159288,35.932109,2612288,0,2593080,1.2252147609e-16,0
