; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161879,"CurrentTimeLocal","Tue Sep 15 11:24:39 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000121
; "Time_ContextDestroy [ms]", 4.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.003567,0.08487,0.073597,0.321164,6.103397,12.54836,0.088428,0.043202,19.267021,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.004314,0.060918,0.06849,0.199106,6.119757,12.536428,0.097948,0.00141,19.088785,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.000266,0.055808,0.066472,0.10517,6.081858,12.526644,0.092322,0.001232,18.930215,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.000236,0.052504,0.06567,0.103127,6.074435,12.525981,0.092766,0.001447,18.91669,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.000256,0.053072,0.065582,0.102967,6.076235,12.525264,0.092911,0.001287,18.918028,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.000231,0.051616,0.064925,0.102975,6.119624,12.523519,0.093102,0.001344,18.957726,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.000258,0.051826,0.065806,0.10352,6.0848,12.523993,0.093444,0.001338,18.925391,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.000258,0.051475,0.064566,0.103077,6.176757,12.523566,0.093164,0.001393,19.014698,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.000232,0.050943,0.064798,0.102563,6.07798,12.52152,0.093278,0.001324,18.913038,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,9,2,"Success",0.00024,0.051363,0.064256,0.103043,6.06965,12.531354,0.093438,0.001375,18.915151,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,10,2,"Success",0.000238,0.050364,0.064605,0.103447,6.046217,12.519572,0.094179,0.001369,18.880439,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,11,2,"Success",0.000288,0.051172,0.063921,0.102028,6.058197,12.527876,0.092903,0.001252,18.89808,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,12,2,"Success",0.000224,0.050225,0.064076,0.103558,6.152565,12.526636,0.093243,0.001295,18.99226,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,13,2,"Success",0.000246,0.051063,0.064101,0.102366,6.390035,12.536617,0.093206,0.001437,19.239465,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,14,2,"Success",0.000226,0.050588,0.064193,0.102899,6.379781,12.515584,0.093065,0.001505,19.208293,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,15,2,"Success",0.000221,0.050266,0.064087,0.102922,6.410165,12.522315,0.093303,0.001248,19.244985,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,16,2,"Success",0.00023,0.055049,0.063472,0.103612,6.383703,12.517062,0.093362,0.001391,19.218351,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,17,2,"Success",0.000222,0.050225,0.063521,0.102791,6.40512,12.520296,0.094377,0.001269,19.238233,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,18,2,"Success",0.000211,0.050899,0.063593,0.103565,6.425486,12.516283,0.093422,0.00144,19.255299,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,19,2,"Success",0.000209,0.050646,0.063471,0.104289,6.387498,12.539241,0.098666,0.001379,19.245829,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,0,3,"Success",0.003547,0.037024,0.039526,0.412868,0.47301,3.827582,0.125564,0.051608,4.971143,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,1,3,"Success",0.004926,0.034212,0.039399,0.25086,0.482694,3.806483,0.137806,0.001326,4.758141,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,2,3,"Success",0.000262,0.032465,0.036337,0.158912,0.47974,3.808564,0.128833,0.001492,4.647,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,3,3,"Success",0.000244,0.031415,0.035582,0.157988,0.491353,3.805261,0.128185,0.001471,4.651902,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,4,3,"Success",0.000276,0.030456,0.035634,0.155668,0.483145,3.814431,0.129517,0.001307,4.650828,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,5,3,"Success",0.000263,0.030618,0.035118,0.156815,0.477881,3.808587,0.1277,0.001459,4.638827,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.00024,0.030048,0.034503,0.155617,0.485073,3.815032,0.128962,0.001394,4.651289,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.000266,0.030255,0.034774,0.155965,0.469099,3.800831,0.127886,0.001447,4.620907,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.000356,0.030239,0.034499,0.157642,0.480356,3.795775,0.12814,0.001539,4.629054,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.000246,0.030129,0.034693,0.156597,0.494193,3.822997,0.128523,0.00149,4.669427,3678400,0,3630000,1.7739423785e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.000275,0.0308,0.035008,0.155737,0.481239,3.800161,0.12774,0.001561,4.632969,3678400,0,3630000,1.7739423785e-16,0
