; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161975,"CurrentTimeLocal","Tue Sep 15 11:26:15 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.008788,17.843227,16.420267,1.061224,0.68903,0.50792,0.366718,0.235112,37.132747,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.009359,18.181091,16.213859,1.301486,0.679043,0.537402,0.385831,0.123859,37.432328,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.003672,18.03651,16.14443,0.436772,0.620214,0.506247,0.366643,0.14984,36.264738,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.003576,18.080937,16.115158,0.434736,0.62832,0.519218,0.36427,0.152356,36.299005,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.003671,18.132702,16.105262,0.434062,0.623662,0.5193,0.351847,0.159309,36.330254,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.003662,18.176033,16.115635,0.443449,0.612443,0.500553,0.350299,0.152369,36.354876,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.003684,18.036189,16.102272,0.427573,0.611061,0.504069,0.347915,0.15192,36.18507,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.003665,18.117273,16.114359,0.432077,0.627285,0.485892,0.35957,0.151649,36.292315,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.003646,18.167628,16.106904,0.433546,0.608717,0.502634,0.352467,0.151519,36.327501,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,9,2,"Success",0.003611,18.195796,16.122762,0.436573,0.611598,0.504491,0.352944,0.149501,36.377703,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,10,2,"Success",0.003657,18.071253,16.110051,0.435282,0.622697,0.488451,0.346916,0.153292,36.232123,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,11,2,"Success",0.00363,18.121007,16.102303,0.434948,0.627223,0.48941,0.357251,0.152905,36.289173,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,12,2,"Success",0.003618,18.160008,16.128864,0.437247,0.610865,0.53097,0.349987,0.15118,36.373142,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,13,2,"Success",0.003612,18.192136,16.107241,0.444443,0.613015,0.503692,0.345559,0.151325,36.361414,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,14,2,"Success",0.003649,18.05699,16.112777,0.430684,0.618338,0.488425,0.351157,0.151796,36.214178,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,15,2,"Success",0.00365,18.226754,16.115231,0.43022,0.621464,0.488271,0.359845,0.151596,36.39752,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,16,2,"Success",0.003683,18.158474,16.120838,0.442818,0.621165,0.51692,0.346923,0.159126,36.370385,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,17,2,"Success",0.003621,18.177726,16.108347,0.43397,0.614828,0.500496,0.347722,0.151725,36.338851,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,18,2,"Success",0.003622,18.061077,16.10534,0.428942,0.621841,0.522521,0.34534,0.152289,36.241453,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,19,2,"Success",0.003628,18.128963,16.121258,0.438235,0.623816,0.517717,0.353086,0.151484,36.338618,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,0,3,"Success",0.008974,14.340832,13.187484,1.19449,0.427955,0.454226,0.43424,0.293863,30.342516,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,1,3,"Success",0.008717,14.549153,13.156737,0.980782,0.430814,0.372473,0.448265,0.138639,30.086071,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,2,3,"Success",0.003535,14.412098,13.116759,0.566037,0.445304,0.431877,0.455583,0.161852,29.593476,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,3,3,"Success",0.003465,14.37516,13.082401,0.564484,0.467822,0.386113,0.437306,0.170487,29.487643,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,4,3,"Success",0.003393,14.628001,13.100282,0.559475,0.453324,0.383252,0.513453,0.186439,29.827999,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,5,3,"Success",0.003435,14.455729,13.088007,0.570562,0.445145,0.386471,0.466225,0.166154,29.58212,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.003405,14.418903,13.086713,0.565377,0.449602,0.35893,0.460985,0.159267,29.503546,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.003707,14.396502,13.151034,0.567085,0.447291,0.40265,0.466559,0.170593,29.605849,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.003403,14.375033,13.080924,0.561705,0.457661,0.386515,0.454055,0.170218,29.489893,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.003479,14.355091,13.185722,0.561188,0.466358,0.384335,0.464106,0.172296,29.592949,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.003398,14.485038,13.247392,0.568998,0.44721,0.393523,0.451389,0.159734,29.757067,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.003489,14.446044,13.077211,0.569383,0.449076,0.352541,0.451545,0.158614,29.508324,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.003484,14.403929,13.129445,0.567844,0.450233,0.400003,0.447943,0.160489,29.563776,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.003386,14.380509,13.080936,0.566722,0.458456,0.387041,0.457056,0.174834,29.509374,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.003373,14.369135,13.082217,0.563212,0.460372,0.386439,0.451309,0.176328,29.492741,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.003482,14.507242,13.069651,0.564462,0.465338,0.385283,0.455403,0.158036,29.609289,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,3,"Success",0.003404,14.476155,13.074065,0.56447,0.450876,0.382612,0.451067,0.160891,29.563936,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,3,"Success",0.003446,14.442271,13.075646,0.562022,0.448893,0.337368,0.442431,0.15691,29.469377,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,3,"Success",0.00346,14.426608,13.084651,0.562048,0.447868,0.36605,0.457597,0.158878,29.507522,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,3,"Success",0.003387,14.406905,13.072199,0.569789,0.446002,0.401367,0.443144,0.159225,29.502436,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,0,4,"Success",0.409518,43.714544,45.482232,1.680804,1.856936,2.063079,0.675392,0.347264,96.230204,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,1,4,"Success",0.009952,44.504418,45.621374,1.609034,1.834505,1.986258,0.628858,0.240164,96.434999,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,2,4,"Success",0.003671,44.287278,45.612107,0.745206,1.855549,2.02167,0.569464,0.217927,95.31327,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,3,4,"Success",0.003664,44.379283,45.382367,0.743958,1.846668,2.015371,0.521148,0.217046,95.109896,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,4,4,"Success",0.00367,44.355091,45.35122,0.750308,1.864691,1.972857,0.529396,0.220705,95.048305,4822416,0,4762880,1.4684277366e-16,0
