; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161896,"CurrentTimeLocal","Tue Sep 15 11:24:56 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.7e-05
; "Time_ContextDestroy [ms]", 4.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.005174,118.284753,103.229444,0.000192,0.008047,0.006594,0.00031,0.010387,221.604852,1600,0,1600,5.0218481972e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.00346,116.502553,102.866542,0.000173,0.005799,0.006386,0.0003,0.005919,219.418597,1600,0,1600,4.8421759573e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.004005,116.064876,103.449124,0.000172,0.005834,0.006128,0.000318,0.006053,219.567688,1600,0,1600,4.3220522148e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.004389,115.981848,103.625013,0.000223,0.006386,0.006136,0.000244,0.00628,219.671386,1600,0,1600,4.7060958757e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.004015,116.22143,103.188286,0.00018,0.005662,0.006134,0.000269,0.006064,219.460354,1600,0,1600,4.1920990483e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.003994,115.89685,103.594203,0.000148,0.005861,0.005877,0.000292,0.005724,219.541083,1600,0,1600,4.7941121212e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.004022,116.595219,104.0264,0.00017,0.006013,0.006158,0.000274,0.00681,220.673842,1600,0,1600,4.1974823955e-17,0
