; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600852734,"CurrentTimeLocal","Wed Sep 23 11:18:54 2020","Hostname","taurusml22","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.6e-05
; "Time_ContextDestroy [ms]", 4.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.003328,15.127347,0.063126,0.241804,1.320221,1.562914,0.117221,0.110066,18.591553,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.00415,0.036598,0.046854,0.210875,0.389517,1.559396,0.116379,0.001874,2.388473,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.000271,0.032139,0.040927,0.103,0.365907,1.572,0.11648,0.001893,2.255152,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.000253,0.031308,0.040196,0.104922,0.321315,1.63425,0.116844,0.001813,2.272422,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.000261,0.031353,0.040071,0.103926,0.322032,1.56634,0.116402,0.00194,2.203695,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.000263,0.030864,0.039614,0.104577,0.318897,1.569223,0.116481,0.001878,2.203326,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.00026,0.030649,0.039806,0.104758,0.320817,1.559832,0.128322,0.001811,2.207792,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.000252,0.031471,0.04019,0.104188,0.365865,1.566978,0.116283,0.001897,2.250348,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.00026,0.030864,0.039893,0.105344,0.320236,1.558076,0.117244,0.001814,2.19523,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.000297,0.030571,0.039352,0.105463,0.321233,1.544188,0.116354,0.001915,2.180909,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.000275,0.030742,0.039649,0.105238,0.325575,1.561689,0.116852,0.001855,2.203615,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.000262,0.030632,0.039456,0.105903,0.322013,1.562894,0.116182,0.00185,2.200564,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.000252,0.030258,0.039251,0.105895,0.326247,1.563602,0.116222,0.001853,2.205088,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.000258,0.029942,0.039334,0.1062,0.324667,1.57043,0.115687,0.001711,2.210164,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.000264,0.030782,0.039596,0.104387,0.319319,1.565978,0.116022,0.001943,2.199898,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.000281,0.030562,0.039303,0.104626,0.321401,1.563108,0.115916,0.001877,2.198694,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.000281,0.030135,0.039514,0.105459,0.323971,1.562344,0.115963,0.001766,2.200791,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.000279,0.03035,0.039366,0.103723,0.317363,1.562609,0.115739,0.00188,2.200054,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.000265,0.030417,0.03912,0.104446,0.32309,1.561742,0.115969,0.001795,2.198641,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.000281,0.030632,0.039118,0.10435,0.32287,1.562316,0.116055,0.001933,2.198974,2041200,0,2025000,1.2987409565e-16,0
