; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600853205,"CurrentTimeLocal","Wed Sep 23 11:26:45 2020","Hostname","taurusml22","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 4.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.007398,17.208733,19.154387,0.428742,4.863418,7.732885,0.195345,0.185013,49.825199,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.005261,16.734407,18.784687,0.409604,1.719759,1.704812,0.193164,0.138564,39.718056,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.000272,16.665941,18.747587,0.242695,1.608313,1.630759,0.192411,0.133455,39.250119,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.000248,16.733404,18.80879,0.240101,1.611207,1.715369,0.191786,0.135716,39.464735,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.000191,16.719867,18.787073,0.238473,1.614406,1.611719,0.192044,0.132642,39.324688,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.000234,16.82364,18.904443,0.237207,1.610702,1.612495,0.191127,0.135839,39.54339,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.000241,16.799183,18.868457,0.239205,1.615657,1.613856,0.191439,0.131291,39.487482,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.000199,16.832639,18.905009,0.238706,1.616299,4.859115,0.191267,0.136745,42.80859,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.000219,17.532316,19.72145,0.240574,1.489546,1.484032,0.19132,0.13556,40.823882,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.000199,17.490577,19.580778,0.241513,1.483155,1.497251,0.190894,0.139034,40.652628,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.000207,17.386092,19.596779,0.241757,4.134126,0.719214,0.191072,0.132375,42.430535,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.00027,17.423829,19.613412,0.242273,4.158804,3.507533,0.191073,0.135499,45.30191,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.000272,17.402957,19.61738,0.244869,0.82113,2.822547,0.191748,0.136915,41.266824,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.000223,17.532815,19.683325,0.244205,0.817457,1.491621,0.191365,0.14053,40.12995,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.000219,17.518964,19.748034,0.243847,4.147191,0.719215,0.190722,0.133199,42.730222,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.000287,17.519979,19.714039,0.243597,4.149126,0.72089,0.191216,0.136976,42.704951,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.00024,17.54265,19.706922,0.243976,4.148663,0.723863,0.191828,0.135135,42.723295,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.000232,17.387405,19.591537,0.241761,2.938979,1.479657,0.191827,0.138795,42.000636,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.000312,17.403087,19.558323,0.24159,0.820937,1.494188,0.191802,0.132783,39.871802,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.000206,17.409456,19.605345,0.227974,2.927243,1.477387,0.190504,0.135897,42.003459,3678400,0,3630000,1.4998352425e-16,0
