; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864239,"CurrentTimeLocal","Wed Sep 23 14:30:39 2020","Hostname","csk092.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 8.7e-05
; "Time_ContextDestroy [ms]", 4.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,0,0,"Success",0.008885,11.724129,12.737903,1.444507,1.360913,0.232534,0.38791,0.413849,28.368545,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,1,0,"Success",0.012117,12.717656,12.175208,1.098635,0.358646,0.220128,0.348408,0.179013,27.139144,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,2,0,"Success",0.003507,12.742386,12.449976,0.37635,0.351215,0.218539,0.338519,0.181612,26.695045,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,3,0,"Success",0.003435,12.682263,12.235176,0.375275,0.349507,0.220785,0.322733,0.166093,26.383795,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,4,0,"Success",0.003497,12.578247,12.274242,0.3684,0.350256,0.231132,0.315465,0.154154,26.304072,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,5,0,"Success",0.003495,12.635259,12.171635,0.376827,0.350185,0.217632,0.331168,0.144666,26.260294,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,6,0,"Success",0.003455,12.585279,12.264695,0.372239,0.362014,0.218613,0.312777,0.146045,26.293483,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,7,0,"Success",0.003503,12.661304,12.18223,0.37441,0.351499,0.219795,0.322092,0.145165,26.292465,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,8,0,"Success",0.003487,12.597099,12.233545,0.368579,0.363507,0.218763,0.312284,0.147038,26.273655,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,9,0,"Success",0.003483,12.585498,12.120437,0.36987,0.348583,0.21944,0.310028,0.143761,26.129799,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,10,0,"Success",0.003466,12.604936,12.243941,0.367506,0.361899,0.219579,0.306901,0.145594,26.281637,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,11,0,"Success",0.003469,12.620163,12.122957,0.371482,0.353536,0.218772,0.313735,0.144247,26.176824,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,12,0,"Success",0.003434,12.61152,12.266636,0.368113,0.345733,0.219535,0.309442,0.145553,26.301775,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,13,0,"Success",0.003448,12.607053,12.148956,0.373055,0.347154,0.219614,0.314293,0.142639,26.185154,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,14,0,"Success",0.003495,12.598994,12.220884,0.374274,0.366093,0.218757,0.311682,0.147413,26.270071,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,15,0,"Success",0.003478,12.586659,12.138491,0.372753,0.348509,0.221443,0.315084,0.144815,26.159889,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,16,0,"Success",0.003473,12.601462,12.222415,0.367908,0.364343,0.219849,0.307551,0.144344,26.259537,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,17,0,"Success",0.003534,12.637936,12.104132,0.372613,0.349514,0.218745,0.313141,0.146086,26.177695,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,18,0,"Success",0.003505,12.749594,12.226608,0.372086,0.35544,0.219101,0.30553,0.153006,26.41332,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,19,0,"Success",0.003477,12.602079,12.30713,0.369071,0.348488,0.219969,0.302928,0.145221,26.327869,2612288,0,2593080,1.2505218701e-16,0
