; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161866,"CurrentTimeLocal","Tue Sep 15 11:24:26 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 9e-05
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.004546,0.088204,0.073905,0.352249,6.642465,12.624243,0.092713,0.044749,19.946406,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.005814,0.059635,0.069749,0.212434,6.605758,12.668456,0.090129,0.001676,19.736735,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.000933,0.057822,0.068802,0.094708,6.660224,12.643281,0.086557,0.001423,19.636419,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.000432,0.056215,0.067614,0.094035,6.564864,12.653128,0.08492,0.001324,19.545013,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.000527,0.05533,0.067646,0.092495,6.621533,12.652229,0.085624,0.001393,19.59899,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.000525,0.054506,0.067197,0.092106,6.610006,12.748993,0.086255,0.001537,19.687744,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.000492,0.054848,0.066746,0.09169,6.600187,12.639377,0.084954,0.001526,19.562122,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.000555,0.053849,0.066972,0.091149,6.581754,12.718307,0.085274,0.001429,19.62167,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.000452,0.054104,0.06605,0.090625,6.592609,12.662462,0.085462,0.001449,19.575583,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,9,2,"Success",0.000459,0.052829,0.066144,0.090953,6.55529,12.648748,0.084909,0.001348,19.523092,3037968,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Inplace","Real","double",3,"oddshape",51,51,144,10,2,"Success",0.000473,0.052805,0.065117,0.091264,6.707872,12.662927,0.0853,0.001428,19.689282,3037968,0,2996352,2.9388303756e-15,0
