; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161871,"CurrentTimeLocal","Tue Sep 15 11:24:31 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 8.8e-05
; "Time_ContextDestroy [ms]", 0.000209
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.00474,17.827875,18.238455,0.303247,47.379699,31.542191,0.150349,0.158785,115.633276,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.00516,17.76721,18.201691,0.27764,23.886249,23.063375,0.149785,0.1165,83.493941,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.000209,17.731388,18.220915,0.181769,25.595521,23.022735,0.150159,0.116279,85.045273,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.000194,18.029289,18.554055,0.18072,26.782682,23.534017,0.152871,0.119035,87.380533,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.000215,18.146597,18.662523,0.180352,38.203205,23.475207,0.153114,0.121866,98.970821,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.000231,18.312502,18.93181,0.184487,24.722043,24.170735,0.153656,0.119152,86.627306,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.000253,18.498971,19.002829,0.18698,35.23743,35.002997,0.152114,0.130265,108.241522,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.000288,18.555364,19.025593,0.182486,25.412623,22.830215,0.152868,0.129507,86.317169,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.000216,18.374189,18.925602,0.181794,25.522478,22.70202,0.153035,0.11599,86.003036,3037968,0,2996352,6.5256333432e-17,0
