; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161942,"CurrentTimeLocal","Tue Sep 15 11:25:42 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 6.1e-05
; "Time_ContextDestroy [ms]", 4.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.003984,36.840805,0.125644,1.873246,74.33363,3.335359,0.35657,0.297145,117.210884,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.005797,0.173403,0.139083,0.681199,0.378414,0.335982,0.332561,0.026483,2.095416,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.000596,0.155711,0.120259,0.469484,0.382572,0.338594,0.322585,0.021837,1.831983,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.00052,0.144,0.120419,0.467385,0.375207,0.342069,0.316121,0.021972,1.807945,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.000593,0.142795,0.119686,0.469431,0.373296,0.341004,0.318758,0.023274,1.808617,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.000527,0.142024,0.12033,0.473146,0.378159,0.334515,0.324101,0.020745,1.816058,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.000574,0.142734,0.119712,0.46099,0.381917,0.33703,0.32394,0.030508,1.817312,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.000672,0.14158,0.119582,0.475724,0.3887,0.337419,0.313856,0.021213,1.818631,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.000552,0.147833,0.119587,0.470704,0.383585,0.336058,0.314859,0.023262,1.816106,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,9,2,"Success",0.000599,0.141871,0.125989,0.46319,0.372666,0.340574,0.315577,0.022212,1.805962,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,10,2,"Success",0.000521,0.1421,0.119651,0.472214,0.378574,0.340099,0.316053,0.022449,1.811434,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,11,2,"Success",0.000513,0.142398,0.119563,0.470009,0.377309,0.335024,0.322164,0.023071,1.809941,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,12,2,"Success",0.000537,0.141882,0.119739,0.466826,0.386384,0.336214,0.323227,0.030114,1.824899,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,13,2,"Success",0.000487,0.141273,0.119482,0.461741,0.389219,0.336159,0.319116,0.026865,1.8141,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,14,2,"Success",0.000513,0.140273,0.119515,0.462215,0.38265,0.339268,0.318854,0.019973,1.806482,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,15,2,"Success",0.000506,0.146117,0.120085,0.468025,0.378147,0.336748,0.313441,0.023419,1.806021,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,16,2,"Success",0.000497,0.14025,0.125544,0.474696,0.378637,0.340649,0.314996,0.023004,1.817639,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,17,2,"Success",0.000564,0.140989,0.119623,0.482053,0.372655,0.341713,0.317265,0.019783,1.81451,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,18,2,"Success",0.000526,0.141159,0.119499,0.471099,0.380048,0.335545,0.320518,0.023504,1.811619,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",51,51,144,19,2,"Success",0.000503,0.141144,0.11964,0.467637,0.3892,0.33905,0.323971,0.028056,1.830774,3037968,0,2996352,1.212794958e-15,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,0,3,"Success",0.004325,0.109668,0.078071,1.609206,2.962185,4.515859,0.439346,0.202027,9.947056,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,1,3,"Success",0.004407,0.103578,0.074794,0.855955,0.20963,0.200431,0.406947,0.019908,1.898077,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,2,3,"Success",0.00057,0.093668,0.072782,0.579786,0.206921,0.183013,0.399065,0.019823,1.576358,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,3,3,"Success",0.000482,0.090043,0.072053,0.577094,0.221642,0.184269,0.404832,0.019788,1.590582,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,4,3,"Success",0.000525,0.089204,0.071634,0.572155,0.206664,0.18346,0.392425,0.019635,1.558729,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,5,3,"Success",0.000529,0.089331,0.071609,0.567525,0.227744,0.182844,0.391653,0.01939,1.571283,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.00056,0.096572,0.071471,0.563398,0.209132,0.190668,0.394647,0.019152,1.566118,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.000484,0.088381,0.071303,0.575693,0.209423,0.183105,0.39975,0.019733,1.568314,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.000527,0.088176,0.07177,0.576923,0.214562,0.183474,0.401077,0.019769,1.580092,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.000514,0.087764,0.071296,0.576745,0.209251,0.182256,0.394599,0.018938,1.561583,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.000541,0.087225,0.071008,0.56654,0.209377,0.183537,0.394218,0.019163,1.552222,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.000497,0.087647,0.07735,0.570827,0.209051,0.189357,0.394403,0.019461,1.56931,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.000485,0.087333,0.07124,0.571672,0.196505,0.183289,0.397094,0.019544,1.547578,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.000521,0.087612,0.071405,0.574507,0.207274,0.182586,0.393426,0.028352,1.56985,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.000442,0.088555,0.071542,0.566351,0.207488,0.183564,0.398292,0.01932,1.55586,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.000513,0.087565,0.071364,0.570472,0.212402,0.187993,0.394097,0.019373,1.564146,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,16,3,"Success",0.00046,0.087276,0.071355,0.576389,0.206662,0.183097,0.396669,0.019426,1.561769,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,17,3,"Success",0.000505,0.086777,0.0711,0.575021,0.207569,0.183604,0.400169,0.019534,1.564599,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,18,3,"Success",0.000521,0.087015,0.071291,0.574418,0.222983,0.182885,0.392653,0.019257,1.573281,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",55,55,150,19,3,"Success",0.000484,0.088073,0.07142,0.566102,0.212866,0.183308,0.394074,0.019517,1.5564,3678400,0,3630000,1.8225647483e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,0,4,"Success",0.403211,2.28211,2.235861,1.320699,16.489275,3.026338,0.769849,0.0749,26.636819,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,1,4,"Success",0.005176,2.281463,2.240514,1.628361,1.426407,1.576281,0.654078,0.022202,9.860142,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,2,4,"Success",0.00065,2.265689,2.239799,0.761448,1.423264,1.585143,0.570463,0.016453,8.885602,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,3,4,"Success",0.000641,2.268363,2.229738,0.767125,1.430105,1.581839,0.599385,0.016372,9.220983,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,4,4,"Success",0.000565,2.263397,2.228477,0.756257,1.421445,1.587469,0.541128,0.016,8.83717,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,5,4,"Success",0.000597,2.259928,2.231356,0.750096,1.435544,1.575722,0.533029,0.016024,8.824219,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,6,4,"Success",0.000559,2.270726,2.234235,0.751696,1.420354,1.604537,0.528522,0.016429,8.849258,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,7,4,"Success",0.000612,2.257027,2.23704,0.757427,1.43007,1.590424,0.536569,0.016278,8.847668,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,8,4,"Success",0.000653,2.271288,2.238471,0.757728,1.426019,1.589182,0.528377,0.015918,8.849541,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,9,4,"Success",0.000668,2.258879,2.228284,0.751768,1.421792,1.586025,0.523954,0.015884,8.809039,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,10,4,"Success",0.000521,2.255099,2.234069,0.766271,1.435421,1.583455,0.531894,0.016384,8.844401,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,11,4,"Success",0.000577,2.265889,2.22828,0.765758,1.434648,1.587394,0.521486,0.016147,8.841392,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,12,4,"Success",0.000543,2.264287,2.233629,0.752461,1.423809,1.587026,0.522038,0.016062,8.821933,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,13,4,"Success",0.000594,2.259499,2.234996,0.755397,1.436875,1.573412,0.528815,0.016353,8.827532,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,14,4,"Success",0.000554,2.263933,2.232723,0.755977,1.424724,1.599357,0.53413,0.016552,8.849762,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,15,4,"Success",0.000567,2.271524,2.230328,0.753753,1.415713,1.586663,0.531444,0.016086,8.828328,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,16,4,"Success",0.000592,2.256463,2.231933,0.756805,1.437729,1.561788,0.525733,0.016387,8.809545,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,17,4,"Success",0.000624,2.263148,2.244358,0.752334,1.422848,1.598761,0.521621,0.016275,8.842263,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,18,4,"Success",0.000611,2.254596,2.229934,0.750544,1.423765,1.58582,0.526851,0.015748,8.8101,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"oddshape",61,61,160,19,4,"Success",0.000644,2.256137,2.230726,0.757179,1.418752,1.576936,0.53499,0.016107,8.813512,4822416,0,4762880,6.0382820401e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.004876,20.314686,0.068116,1.240985,3.884445,4.477072,0.358611,0.262541,30.683051,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.006607,0.063042,0.04515,1.237948,0.234227,0.193579,0.267306,0.02283,2.095032,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.000699,0.059893,0.040089,0.317777,0.235987,0.192736,0.254812,0.02168,1.14904,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.00072,0.058294,0.039263,0.315485,0.217926,0.193347,0.25227,0.021424,1.119234,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.000726,0.057133,0.039092,0.319055,0.218532,0.195521,0.251162,0.021315,1.122983,2041200,0,2025000,1.5669007079e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.000609,0.056684,0.039401,0.316712,0.216719,0.208034,0.253386,0.021183,1.13307,2041200,0,2025000,1.5669007079e-16,0
