; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503524577,"CurrentTimeLocal","Wed Aug 23 23:42:57 2017","Hostname","taurusi5408","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000361
; "Time_ContextDestroy [ms]", 0.000156
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Warmup",0.000694,10.551772,10.531328,0.014055,0.147964,0.073212,0.008932,0.08023,21.410225,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Warmup",0.000676,10.561035,10.532697,0.013979,0.123858,0.070682,0.008125,0.082074,21.395182,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.000734,10.619981,10.597354,0.013915,0.128553,0.068961,0.008765,0.085382,21.525624,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.000762,10.583353,10.552157,0.012689,0.141529,0.083225,0.0097,0.080011,21.465522,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.000744,10.570575,10.570081,0.013766,0.137194,0.072279,0.010705,0.087397,21.465109,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000754,10.566705,10.583254,0.01279,0.1416,0.072866,0.009266,0.084028,21.47355,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.000717,10.564755,10.59117,0.01449,0.150017,0.062134,0.008878,0.082557,21.47674,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,7,64,"Success",0.000587,10.544027,10.522597,0.013129,0.146445,0.066145,0.008504,0.080394,21.38392,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,8,64,"Success",0.000711,10.56399,10.592741,0.009644,0.146276,0.067921,0.008841,0.079985,21.472161,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,9,64,"Success",0.000611,10.586816,10.611831,0.011643,0.138568,0.060337,0.008727,0.081671,21.502196,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,10,64,"Success",0.000689,10.569675,10.575863,0.011529,0.138751,0.068898,0.009698,0.080582,21.457646,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,11,64,"Success",0.000703,10.574553,10.570079,0.012707,0.144979,0.079863,0.009296,0.083784,21.478022,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,0,65,"Warmup",0.000736,33.652904,33.745251,0.199813,0.601038,0.492515,0.220958,0.13941,69.054901,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,1,65,"Warmup",0.000665,33.58697,33.673961,0.19799,0.659076,0.482031,0.227905,0.140178,68.971296,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,2,65,"Success",0.000711,33.530744,33.683901,0.190754,0.562148,0.47458,0.220552,0.144697,68.810479,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,3,65,"Success",0.000579,33.543854,33.59142,0.196591,0.694432,0.496558,0.227783,0.143486,68.897196,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,4,65,"Success",0.000642,33.59368,33.913885,0.190041,0.73036,0.494315,0.220486,0.139282,69.284954,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,5,65,"Success",0.000602,33.485148,33.581371,0.194743,0.568951,0.485502,0.242495,0.143995,68.705028,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,6,65,"Success",0.000665,33.600235,33.757707,0.201296,0.570678,0.494288,0.228491,0.14268,68.998455,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,7,65,"Success",0.000824,33.465415,33.610481,0.18806,0.570791,0.468794,0.226942,0.13764,68.671456,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,8,65,"Success",0.000593,33.601384,33.684948,0.197884,0.74253,0.467976,0.233772,0.1481,69.079833,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,9,65,"Success",0.000617,33.599537,33.73273,0.190943,0.588787,0.474985,0.226581,0.136167,68.953037,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,10,65,"Success",0.000656,33.582733,33.842469,0.209523,0.731533,0.493303,0.229503,0.141079,69.233318,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,11,65,"Success",0.00067,33.495144,33.697083,0.197825,0.664747,0.476951,0.246119,0.152168,68.933094,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,0,66,"Warmup",0.009654,61.87935,61.863868,14.612126,10.982306,10.513927,4.292335,0.189283,164.345101,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,1,66,"Warmup",0.001028,61.970748,62.030994,3.028948,11.029088,10.481177,4.228958,0.189213,152.962416,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,2,66,"Success",0.001096,61.996177,62.141999,2.942193,11.002633,10.468067,4.239539,0.204975,152.998963,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,3,66,"Success",0.001107,61.849359,61.948203,2.943768,10.87212,10.489803,4.291927,0.18351,152.582081,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,4,66,"Success",0.001118,62.003845,62.139847,2.941426,10.891066,10.47497,4.299891,0.186731,152.941289,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,5,66,"Success",0.001033,61.911281,62.052057,2.943463,10.888768,10.464184,4.38846,0.1899,152.841441,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,6,66,"Success",0.001022,61.956464,62.025925,2.940848,10.935252,10.476711,4.361998,0.188869,152.889641,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,7,66,"Success",0.001052,61.977756,62.11944,2.942169,10.891943,10.474032,4.328489,0.19134,152.928544,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,8,66,"Success",0.00106,62.21062,62.416794,2.946883,10.945665,10.506842,4.384575,0.188395,153.603113,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,9,66,"Success",0.001157,61.883268,62.136077,3.009369,11.354339,10.889052,4.376124,0.190829,153.842589,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,10,66,"Success",0.00081,62.23048,62.242079,3.030997,10.925772,10.463643,4.385379,0.181545,153.463253,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,11,66,"Success",0.000815,62.072379,62.326773,3.035877,11.381925,10.876075,4.295462,0.18461,154.17761,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,0,67,"Warmup",0.005585,81.959748,82.104631,356.460695,255.454769,255.249471,67.016982,22.967576,1121.223058,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,1,67,"Warmup",0.005982,81.537708,81.857868,355.48562,255.801382,255.125161,66.844389,22.941541,1119.603607,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,2,67,"Success",0.00612,81.897559,82.085016,357.322103,255.922227,255.369494,66.909612,22.851576,1122.367538,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,3,67,"Success",0.006226,81.5761,81.927954,356.956681,255.53136,255.275371,66.887351,22.964275,1121.129052,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,4,67,"Success",0.006096,81.416394,81.821758,356.778515,255.936561,255.560177,65.33402,22.932969,1119.79025,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,5,67,"Success",0.005968,81.645123,81.832614,356.959786,255.636073,255.213371,66.872822,22.898586,1121.06791,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,6,67,"Success",0.005988,81.631868,82.072686,357.163279,255.635289,255.744364,66.948458,22.964576,1122.170248,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,7,67,"Success",0.006184,81.623103,81.884971,356.329581,256.670604,255.868901,66.926045,22.909099,1122.222591,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,8,67,"Success",0.006427,81.538247,81.55358,356.950452,255.587741,255.252379,66.304781,23.005019,1120.202409,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,9,67,"Success",0.005964,81.469638,81.770697,316.229143,256.868935,256.102411,59.151155,20.837822,1072.43956,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,10,67,"Success",0.006144,81.810206,82.406795,316.037208,255.827554,255.942348,59.515541,20.819021,1072.368528,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",361,361,361,11,67,"Success",0.006125,81.402111,81.743294,316.184341,255.488809,255.318701,59.370312,20.832268,1070.349807,376367048,0,376367048,9.6766892532e-08,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,0,0,"Warmup",0.000357,0.241283,0.245806,0.000157,0.029984,0.027564,0.000394,0.018082,0.565935,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,1,0,"Warmup",0.000321,0.240579,0.229319,0.000157,0.033288,0.028282,0.000303,0.016691,0.551011,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,2,0,"Success",0.000333,0.240742,0.22958,0.000163,0.033046,0.025899,0.000305,0.018313,0.550363,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,3,0,"Success",0.000318,0.240621,0.229473,0.00016,0.032573,0.027957,0.000389,0.016649,0.550195,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,4,0,"Success",0.000301,0.241052,0.229766,0.000214,0.031594,0.030243,0.000266,0.018359,0.553968,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,5,0,"Success",0.000331,0.240709,0.228601,0.000166,0.032789,0.028182,0.000261,0.015003,0.547967,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,6,0,"Success",0.000332,0.240469,0.22904,0.000196,0.03153,0.027601,0.000221,0.01637,0.54783,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,7,0,"Success",0.00029,0.240658,0.229448,0.000158,0.033392,0.02754,0.000277,0.017441,0.551123,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,8,0,"Success",0.000307,0.240702,0.229064,0.000162,0.031749,0.027032,0.000196,0.016293,0.547376,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,9,0,"Success",0.000312,0.240517,0.228715,0.000158,0.031479,0.029126,0.000293,0.015845,0.549074,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,10,0,"Success",0.00033,0.240601,0.229449,0.00016,0.032996,0.02708,0.000277,0.016289,0.549373,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",2,2,2,11,0,"Success",0.000307,0.24086,0.229115,0.000213,0.034358,0.029924,0.000287,0.016527,0.553566,64,0,64,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,0,1,"Warmup",0.000401,0.34498,0.330066,0.000293,0.025669,0.026901,0.000309,0.024856,0.755758,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,1,1,"Warmup",0.000354,0.332805,0.326184,0.000225,0.027366,0.025746,0.000385,0.025171,0.740251,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,2,1,"Success",0.000321,0.358969,0.317942,0.000222,0.025836,0.026402,0.000419,0.022982,0.755199,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,3,1,"Success",0.000355,0.352546,0.325599,0.000183,0.02748,0.023732,0.000305,0.024454,0.756779,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,4,1,"Success",0.000323,0.330438,0.316986,0.000224,0.026356,0.024889,0.000301,0.024235,0.725794,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,5,1,"Success",0.000345,0.337368,0.325826,0.000174,0.027745,0.024976,0.000279,0.026364,0.745059,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,6,1,"Success",0.000369,0.335223,0.325577,0.000186,0.028964,0.024878,0.000276,0.023823,0.741321,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,7,1,"Success",0.000386,0.341915,0.318356,0.000178,0.027627,0.02493,0.000305,0.022908,0.73858,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,8,1,"Success",0.000427,0.356701,0.316425,0.000183,0.02721,0.024936,0.000275,0.023134,0.751233,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,9,1,"Success",0.000327,0.342501,0.326292,0.000172,0.025537,0.026153,0.000272,0.027159,0.750416,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,10,1,"Success",0.000295,0.34588,0.334431,0.0002,0.028016,0.025219,0.000305,0.023904,0.760327,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,2,11,1,"Success",0.000311,0.335576,0.325702,0.000168,0.02758,0.025899,0.000305,0.026121,0.743566,128,0,128,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,0,2,"Warmup",0.000405,0.407982,0.39117,0.000293,0.027556,0.023393,0.000325,0.040169,0.893296,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,1,2,"Warmup",0.000349,0.40116,0.400246,0.000234,0.025859,0.024718,0.000332,0.032873,0.887914,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,2,2,"Success",0.000345,0.408239,0.387279,0.000232,0.027835,0.024253,0.000397,0.033673,0.884393,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,3,2,"Success",0.000393,0.398491,0.387998,0.000226,0.031999,0.026364,0.000285,0.035045,0.882794,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,4,2,"Success",0.000399,0.397656,0.398692,0.00023,0.026051,0.027046,0.000271,0.034004,0.886589,256,0,256,0,0
"Fftw","Inplace","Complex","float",3,"powerof2",4,2,4,5,2,"Success",0.000339,0.407966,0.402657,0.000227,0.027023,0.026837,0.000309,0.033493,0.900902,256,0,256,0,0
