; "SupportedThreads",24,"UsedThreads",1,"TotalMemory",67312496640,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1497541002,"CurrentTimeLocal","Thu Jun 15 17:36:42 2017","Hostname","taurusi5027"
; "Time_ContextCreate [ms]", 0.000262
; "Time_ContextDestroy [ms]", 0.000273
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000413,0.293718,0.2688,0.000264,0.000509,0.000405,0.000195,0.000794,0.566473,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000312,0.279545,0.266076,0.000223,0.000477,0.000417,0.000154,0.000674,0.549139,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000335,0.27919,0.264989,0.000229,0.000411,0.000379,0.000137,0.000693,0.547606,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000423,0.283998,0.264738,0.000224,0.000437,0.000381,0.000154,0.000674,0.552305,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000365,0.285496,0.266665,0.00023,0.000465,0.000393,0.000145,0.000651,0.555661,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000349,0.283222,0.266351,0.000237,0.000459,0.000403,0.000136,0.00069,0.553131,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000335,0.289397,0.267195,0.00022,0.000469,0.000399,0.000151,0.000688,0.560113,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000357,0.277364,0.272345,0.000233,0.000441,0.000389,0.000151,0.000694,0.553271,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000284,0.277787,0.271289,0.000223,0.000403,0.000387,0.000141,0.000633,0.552448,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000289,0.277917,0.270739,0.000214,0.000459,0.000395,0.000148,0.000701,0.552064,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000326,0.27741,0.265039,0.000236,0.000427,0.000389,0.000148,0.000642,0.545831,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000351,0.277177,0.265506,0.00022,0.000451,0.000395,0.000146,0.000635,0.546089,152,0,152
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.000503,6.288631,6.05142,0.000503,0.012337,0.010998,0.000265,0.001861,12.367942,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.000503,6.272882,6.074479,0.000443,0.012249,0.010984,0.000266,0.001924,12.375017,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.000501,6.279894,6.051235,0.000469,0.012395,0.010976,0.000261,0.001806,12.358942,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Success",0.000588,6.284215,6.046456,0.000439,0.012214,0.010979,0.000256,0.001897,12.358447,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,52,"Success",0.000602,6.271601,6.065219,0.000491,0.012245,0.010917,0.000266,0.001898,12.364513,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,52,"Success",0.00059,6.257037,6.054611,0.000457,0.012223,0.010929,0.000266,0.001778,12.339256,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,52,"Success",0.000605,6.280158,6.02661,0.000453,0.012143,0.010967,0.000266,0.001742,12.334381,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,52,"Success",0.000559,6.284959,6.044807,0.000497,0.01214,0.010968,0.000265,0.00177,12.357361,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,52,"Success",0.00055,6.260455,6.053791,0.000443,0.012225,0.010969,0.000268,0.001818,12.341894,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,52,"Success",0.000649,6.268006,6.047601,0.000453,0.012176,0.010981,0.000259,0.001787,12.343306,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,10,52,"Success",0.000548,6.279523,6.050331,0.000495,0.012383,0.010977,0.000263,0.001885,12.357757,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.000595,6.275265,6.025998,0.000425,0.012152,0.010963,0.000266,0.001919,12.328939,2888,0,2888
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,0,53,"Warmup",0.000584,160.423494,159.865483,0.005459,0.315836,0.310994,0.004905,0.003775,320.932132,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,1,53,"Warmup",0.000611,159.30135,159.501867,0.005375,0.31489,0.309423,0.004723,0.003787,319.443586,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,53,"Success",0.000583,159.170982,159.562139,0.005402,0.312293,0.314272,0.004866,0.004017,319.376096,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.000577,159.478725,159.065849,0.005447,0.311098,0.30944,0.004727,0.003967,319.18141,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.000522,159.184917,159.186005,0.00536,0.312435,0.313659,0.004772,0.004077,319.013235,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.000631,159.381092,159.082082,0.0054,0.311208,0.309398,0.004759,0.003955,319.099909,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.000528,159.28387,159.189397,0.005503,0.311588,0.317167,0.005272,0.004212,319.119024,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.000535,160.125956,159.352978,0.006347,0.311054,0.309394,0.004733,0.003728,320.116139,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.000592,159.891571,159.703687,0.00546,0.315194,0.309569,0.004841,0.003707,320.236168,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000491,159.460397,159.236347,0.005569,0.312514,0.314487,0.004833,0.00416,319.340338,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.000525,159.271123,159.347971,0.005339,0.312071,0.312648,0.005176,0.003995,319.260318,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.000548,159.254191,158.942936,0.005391,0.312075,0.313985,0.004849,0.003833,318.83922,54872,0,54872
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000836,1087.318263,1087.682031,0.153457,8.34318,8.635117,0.169153,0.006607,2192.310555,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.000766,1091.686757,1077.454146,0.159738,8.339791,8.625826,0.171015,0.006752,2186.446869,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000706,1090.227139,1076.492721,0.158761,8.340211,8.632243,0.170612,0.006714,2184.031127,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.000794,1085.463684,1076.849828,0.156814,8.328277,8.686296,0.176041,0.00629,2179.669942,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000721,1085.625293,1089.160931,0.15353,8.338486,8.633291,0.174624,0.006465,2192.095245,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.000743,1090.214053,1078.111522,0.159047,8.328904,8.659456,0.17058,0.006495,2185.652695,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.000796,1090.206589,1076.572336,0.158854,8.330777,8.660378,0.177221,0.006816,2184.115726,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.00078,1085.620936,1076.646074,0.158893,8.32748,8.627738,0.171217,0.006271,2179.561336,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.000778,1090.29209,1078.36892,0.158987,8.33294,8.64539,0.177005,0.006684,2185.984757,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.000782,1087.22671,1076.963724,0.153546,8.341787,8.676429,0.176973,0.006552,2181.54874,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.000741,1091.984979,1087.132813,0.157406,8.333958,8.679984,0.170177,0.006391,2196.4686,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.000862,1090.03616,1076.415842,0.154782,8.339549,8.667009,0.170269,0.006569,2183.793232,1042568,0,1042568
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.000978,30845.807662,30816.78793,4.15008,205.696289,205.019942,3.020659,0.011531,62080.498254,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.001043,30828.784752,30940.363097,4.035478,214.313056,213.164511,2.951508,0.013331,62203.62983,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.001146,30829.475023,30908.639996,4.209592,215.140627,212.769862,3.042923,0.013454,62173.296378,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.000932,30862.846871,30611.759735,4.133818,205.544551,205.176667,2.94452,0.012818,61892.423196,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.000934,30852.473302,30883.03274,4.160869,205.849796,206.148144,2.803315,0.013967,62154.486258,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.001069,30858.446627,30834.349937,4.03754,207.835453,206.006098,2.856163,0.013391,62113.549901,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.000895,30683.61849,30825.909117,4.051278,205.508439,206.516803,2.838145,0.013762,61928.460014,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.001273,30829.415452,30538.671696,4.03562,215.141819,212.665218,2.942967,0.011446,61802.888982,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.001008,30830.177278,30550.541993,4.04478,215.264598,212.654765,3.044887,0.01207,61815.744596,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.001094,30782.442366,30471.168925,4.03722,205.30782,205.164397,3.04508,0.012276,61671.182337,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.000964,30563.421308,30820.280434,4.143348,205.762938,205.161604,3.043264,0.011726,61801.828998,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.000893,30563.495441,30548.30423,4.09464,205.772288,205.070839,2.952712,0.011475,61529.705674,19808792,0,19808792
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000254,0.500761,0.443995,0.000174,0.000195,0.00017,0.000148,0.000748,0.947649,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000345,0.427583,0.421632,0.000213,0.00019,0.000168,0.000129,0.000838,0.852337,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000351,0.485921,0.450087,0.000217,0.000192,0.000172,0.000153,0.000786,0.939086,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000327,0.439036,0.417592,0.000208,0.000193,0.000173,0.000142,0.000732,0.859631,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000322,0.490662,0.443992,0.000213,0.00018,0.000172,0.000134,0.000721,0.937619,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000311,0.427541,0.422346,0.000218,0.000189,0.000158,0.000136,0.000786,0.852931,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000315,0.484509,0.47282,0.000224,0.000196,0.00017,0.000139,0.000725,0.960318,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000335,0.435087,0.41788,0.000211,0.000211,0.000158,0.000134,0.00078,0.856022,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000347,0.491518,0.444572,0.000224,0.000196,0.000157,0.000136,0.000731,0.939094,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000307,0.428589,0.429041,0.000214,0.000188,0.000145,0.000136,0.000695,0.860801,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.000345,0.491445,0.446475,0.000185,0.0002,0.000158,0.000137,0.000726,0.940872,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000263,0.435186,0.417638,0.000221,0.000176,0.000158,0.000141,0.000766,0.855801,32,0,32
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000373,0.442604,0.424047,0.000241,0.000315,0.00019,0.000174,0.000844,0.870115,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000341,0.430961,0.442007,0.000236,0.000298,0.000176,0.000143,0.000764,0.876262,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000341,0.430686,0.42799,0.00023,0.000245,0.000179,0.000142,0.000741,0.861841,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.00032,0.441271,0.41966,0.000236,0.000218,0.000173,0.000149,0.000786,0.864092,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000377,0.435061,0.418309,0.00022,0.000226,0.000187,0.000152,0.000757,0.85654,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000283,0.428343,0.424089,0.000229,0.000219,0.00019,0.00015,0.000746,0.855544,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000325,0.428028,0.431888,0.000223,0.00021,0.000182,0.000137,0.00074,0.863006,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.00035,0.434192,0.419396,0.000225,0.000208,0.000184,0.000153,0.000772,0.85675,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.000407,0.434863,0.41773,0.000203,0.000212,0.000186,0.000149,0.000724,0.85579,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000357,0.427777,0.418446,0.000226,0.000212,0.000172,0.000141,0.00076,0.849365,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000281,0.427216,0.439717,0.000227,0.000221,0.00019,0.00014,0.000728,0.870054,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000241,0.426769,0.424693,0.000205,0.000207,0.000184,0.000138,0.000696,0.85442,64,0,64
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000379,0.430408,0.429684,0.000238,0.000517,0.000265,0.000174,0.001096,0.864119,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000368,0.419053,0.42116,0.00022,0.000356,0.000218,0.000124,0.000936,0.843704,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000381,0.421793,0.416094,0.000206,0.000346,0.00022,0.000135,0.00095,0.841359,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.000395,0.42634,0.410369,0.000227,0.000369,0.000219,0.000146,0.00096,0.840255,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.000375,0.426299,0.407667,0.000231,0.000277,0.000228,0.000132,0.001003,0.837441,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000335,0.419759,0.407445,0.000221,0.000339,0.000243,0.000134,0.000908,0.830672,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000334,0.419294,0.41416,0.000226,0.00031,0.000216,0.000125,0.000974,0.836881,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.000326,0.417435,0.414752,0.000215,0.000307,0.00021,0.00012,0.000944,0.835556,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.000355,0.430633,0.407727,0.000223,0.000305,0.000234,0.000136,0.000884,0.841718,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.000329,0.438091,0.406167,0.000217,0.000327,0.000217,0.000122,0.000911,0.847556,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.000345,0.417418,0.407414,0.000226,0.000307,0.004443,0.00013,0.001088,0.832672,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.000279,0.415306,0.419436,0.000221,0.000341,0.000221,0.00015,0.000938,0.83811,128,0,128
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000415,12.654768,11.809355,0.000239,0.000672,0.000485,0.000188,0.001127,24.468593,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000425,12.701153,11.670786,0.000202,0.000631,0.000469,0.00018,0.000979,24.376153,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.000439,12.665439,11.666603,0.000198,0.00065,0.000447,0.000162,0.001061,24.336501,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.000351,12.679875,11.733703,0.000199,0.000569,0.000449,0.000168,0.001144,24.417794,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.000391,12.663524,11.629748,0.000241,0.000672,0.000473,0.000182,0.001127,24.297748,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.000411,12.628663,11.622287,0.000232,0.000602,0.000469,0.000174,0.001079,24.255265,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.000355,12.612938,11.669468,0.000191,0.000616,0.000449,0.000179,0.001091,24.286633,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.000349,12.629629,11.64747,0.000235,0.000572,0.000447,0.000175,0.00108,24.281299,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.000391,12.633438,11.614784,0.000208,0.000585,0.000465,0.000178,0.000987,24.252431,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.000319,12.606814,11.650177,0.000251,0.00066,0.000433,0.000175,0.001048,24.261259,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.000465,12.682584,11.671289,0.000238,0.000669,0.000469,0.00018,0.00111,24.3584,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.000457,12.63784,11.664423,0.000206,0.000657,0.000421,0.000174,0.001069,24.306647,256,0,256
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.000495,20.766335,18.909299,0.000299,0.000971,0.000495,0.000197,0.001634,39.681105,512,0,512
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.000343,20.763874,18.941811,0.000284,0.000948,0.000526,0.00018,0.001577,39.710949,512,0,512
