; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503634357,"CurrentTimeLocal","Fri Aug 25 06:12:37 2017","Hostname","taurusi5417","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000236
; "Time_ContextDestroy [ms]", 0.000267
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000377,1.162513,1.00385,0.00026,0.000747,0.000569,0.000181,0.00096,2.170966,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000411,1.019479,1.000126,0.000221,0.000782,0.000573,0.000166,0.000904,2.024043,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000401,1.00986,1.008783,0.000211,0.000814,0.000575,0.00018,0.000876,2.023287,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000412,1.017442,1.003488,0.000219,0.00079,0.000584,0.00017,0.001042,2.025618,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000405,1.03503,0.988705,0.000208,0.00079,0.000577,0.000171,0.000772,2.028278,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000419,0.995729,0.989052,0.00021,0.000727,0.000587,0.000161,0.000846,1.989078,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000413,0.996548,0.978966,0.000205,0.000702,0.000589,0.00017,0.000908,1.980092,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000405,0.989064,0.975128,0.000221,0.000758,0.000652,0.00016,0.000832,1.96856,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000395,1.014661,0.991385,0.000219,0.00075,0.00057,0.00017,0.000805,2.010387,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000369,1.005448,0.99496,0.000195,0.000782,0.000593,0.000158,0.001025,2.004884,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000433,1.012986,0.987408,0.000202,0.000671,0.000589,0.000173,0.000866,2.004721,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000414,1.028091,0.997609,0.000185,0.000798,0.000634,0.000168,0.000829,2.030107,152,0,152,3.2887498228e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.000559,17.879562,17.651121,0.000868,0.056056,0.054024,0.000367,0.022949,35.667581,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.000622,18.019945,17.844007,0.00111,0.05931,0.055123,0.000459,0.029934,36.012778,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.000605,17.895026,17.231969,0.000922,0.049637,0.051279,0.000387,0.026143,35.257971,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Success",0.000816,17.82202,17.549874,0.001004,0.0566,0.04968,0.000375,0.028366,35.510637,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,52,"Success",0.000549,18.016404,17.400827,0.000904,0.0551,0.050374,0.000276,0.025994,35.552423,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,52,"Success",0.000688,17.914752,17.461013,0.00084,0.058925,0.048364,0.000275,0.028402,35.515489,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,52,"Success",0.000616,17.931127,17.290622,0.000978,0.053198,0.051933,0.000295,0.0238,35.354432,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,52,"Success",0.000715,17.908573,17.322573,0.00097,0.055521,0.051404,0.000282,0.023739,35.365905,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,52,"Success",0.000593,17.876473,17.464314,0.001034,0.057364,0.052725,0.000291,0.025536,35.480701,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,52,"Success",0.000612,17.936473,17.618565,0.001012,0.057359,0.054473,0.000266,0.030206,35.701258,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,10,52,"Success",0.000639,17.811603,17.380884,0.000864,0.056396,0.055681,0.000275,0.024212,35.332594,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.000677,17.934856,17.341422,0.000965,0.052703,0.049986,0.000264,0.026875,35.40986,2888,0,2888,5.1911792226e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,0,53,"Warmup",0.00077,242.691114,239.977271,0.006702,0.109407,0.087161,0.009106,0.164092,483.047985,54872,0,54872,5.7259727179e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,1,53,"Warmup",0.000876,243.349861,240.968898,0.006928,0.093131,0.102677,0.004873,0.122769,484.651909,54872,0,54872,5.7259727179e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,53,"Success",0.000511,240.282681,240.246554,0.006892,0.112398,0.093293,0.009197,0.175601,480.928939,54872,0,54872,5.7259727179e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.000776,240.826646,240.743692,0.006846,0.10323,0.096013,0.008356,0.158164,481.945593,54872,0,54872,5.7259727179e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.000535,244.630458,242.393912,0.006928,0.099964,0.101304,0.009666,0.170256,487.414933,54872,0,54872,5.7259727179e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.000884,244.497943,240.748546,0.006874,0.11093,0.0943,0.009089,0.151245,485.621639,54872,0,54872,5.7259727179e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.000586,243.049935,240.823234,0.006776,0.096334,0.091663,0.00855,0.169877,484.248732,54872,0,54872,5.7259727179e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.000698,241.173147,238.876602,0.006612,0.096075,0.085649,0.009133,0.129894,480.379802,54872,0,54872,5.7259727179e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.000639,243.420641,243.636933,0.00686,0.087842,0.103473,0.009566,0.151617,487.41941,54872,0,54872,5.7259727179e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000672,243.471211,240.009543,0.006674,0.103684,0.098935,0.008811,0.15735,483.858924,54872,0,54872,5.7259727179e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.000718,243.261419,241.729027,0.006848,0.102253,0.09476,0.009959,0.176303,485.383302,54872,0,54872,5.7259727179e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.000523,242.874871,240.751861,0.00698,0.086612,0.092942,0.008853,0.142371,483.966999,54872,0,54872,5.7259727179e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000697,451.408183,451.011091,0.208258,0.715788,0.600576,0.209428,0.22952,904.386005,1042568,0,1042568,6.7723949794e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.000705,454.737022,443.962224,0.208394,0.765208,0.607694,0.22108,0.261877,900.766739,1042568,0,1042568,6.9575085162e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000645,449.978353,446.877943,0.221146,0.790471,0.598878,0.222145,0.225318,898.91743,1042568,0,1042568,6.7723949794e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.000573,454.221323,446.975677,0.212513,0.715051,0.609859,0.222189,0.22824,903.187819,1042568,0,1042568,7.0842070373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000668,451.387463,448.453045,0.227291,0.766073,0.632921,0.222267,0.233535,901.925428,1042568,0,1042568,7.0842070373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.00071,452.316089,446.917528,0.196336,0.702958,0.607909,0.208617,0.222114,901.174849,1042568,0,1042568,6.7723949794e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.000709,460.483619,454.15814,0.20112,0.70405,0.608921,0.219571,0.232412,916.610844,1042568,0,1042568,6.7723949794e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.000707,452.88166,445.932151,0.211852,0.743435,0.614737,0.222357,0.215012,900.824183,1042568,0,1042568,7.0842070373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.00064,452.090598,470.107247,0.213974,0.726833,0.590948,0.216516,0.246311,924.195369,1042568,0,1042568,6.9575085162e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.000671,453.278422,442.388394,0.206617,0.701583,0.610024,0.21943,0.204334,897.611795,1042568,0,1042568,6.805863136e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.000674,453.875524,444.090876,0.213431,0.709556,0.597986,0.22013,0.22445,899.935259,1042568,0,1042568,6.805863136e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.000656,454.973521,446.567965,0.209686,0.801374,0.614104,0.214886,0.217584,903.602161,1042568,0,1042568,7.0842070373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.001225,7588.174946,7264.642465,3.852575,11.828034,11.174936,3.367848,0.234043,14883.278985,19808792,0,19808792,9.3087354388e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.001265,7588.274108,7233.179868,3.885345,11.889062,11.221228,3.311493,0.303483,14852.069247,19808792,0,19808792,9.3087354388e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.001252,7733.37507,7438.309238,3.742563,11.66209,11.121242,3.106211,0.237338,15201.558219,19808792,0,19808792,9.3375682467e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.001481,7779.521416,7718.126507,3.707572,11.862268,11.160111,3.080973,0.25744,15527.720907,19808792,0,19808792,9.3375682467e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.001566,7793.233803,7466.846986,3.757118,11.780652,11.155944,3.171667,0.265786,15290.216678,19808792,0,19808792,9.3078062713e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.001263,7773.438196,7433.903335,3.815152,11.691798,11.097206,3.083512,0.243655,15237.277339,19808792,0,19808792,9.3375682467e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.001081,7772.096384,7419.863255,3.783643,11.743908,11.073208,3.084869,0.21169,15221.861295,19808792,0,19808792,9.2839153064e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.001333,7773.783386,7438.16836,3.801002,11.696344,11.133135,3.088334,0.220537,15241.895559,19808792,0,19808792,9.2839153064e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.001115,7789.309743,7419.335296,3.756918,11.869254,11.145295,3.148839,0.2663,15238.835934,19808792,0,19808792,9.3087354388e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.001529,7845.028596,7428.303706,3.778562,11.93211,11.060524,3.097162,0.278432,15303.483671,19808792,0,19808792,9.3078062713e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.001349,7796.898095,7420.831414,3.791651,11.911922,11.071831,3.14649,0.26386,15247.919637,19808792,0,19808792,9.3087354388e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.001289,7776.410456,7421.245996,3.816882,12.332971,11.611408,3.123562,0.265017,15228.811059,19808792,0,19808792,9.3087354388e-08,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000393,1.178536,1.175241,0.0002,0.000291,0.000155,0.00015,0.001195,2.357713,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000463,1.191308,1.137586,0.000181,0.000283,0.000152,0.000154,0.000909,2.332555,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000443,1.199311,1.19821,0.000182,0.000291,0.000155,0.000144,0.000928,2.401128,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000437,1.206685,1.159204,0.000178,0.000277,0.000143,0.000138,0.0011,2.369625,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000403,1.282712,1.191637,0.000167,0.000421,0.000153,0.000142,0.001166,2.478234,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000399,1.194953,1.166834,0.000168,0.000291,0.000167,0.000134,0.00099,2.365435,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000423,1.196637,1.17112,0.000207,0.000431,0.000163,0.00015,0.000996,2.371597,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000439,1.177647,1.145049,0.000176,0.000291,0.000141,0.000134,0.000878,2.326278,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.00039,1.192151,1.173225,0.000178,0.000345,0.000142,0.000143,0.001033,2.36917,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000399,1.198053,1.158706,0.000182,0.00028,0.000166,0.000135,0.001066,2.360481,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.000397,1.219733,1.186487,0.000219,0.000291,0.000152,0.000136,0.001197,2.410004,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000407,1.186082,1.155269,0.000175,0.000299,0.000155,0.000138,0.001157,2.345154,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000321,1.160254,1.141238,0.00022,0.000308,0.000192,0.000191,0.00098,2.305325,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000379,1.160284,1.124186,0.00021,0.000314,0.00019,0.000168,0.000904,2.28824,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000445,1.177653,1.088937,0.000183,0.000325,0.000191,0.00017,0.000998,2.270406,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000389,1.154448,1.102258,0.000206,0.000385,0.000184,0.000166,0.001275,2.260668,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000417,1.1496,1.102899,0.000204,0.000371,0.000186,0.000173,0.001237,2.256668,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000371,1.154384,1.105761,0.000186,0.000314,0.000192,0.000191,0.000916,2.263886,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000445,1.153517,1.124287,0.000183,0.000393,0.000187,0.00017,0.001254,2.281863,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000429,1.163556,1.126158,0.000186,0.000337,0.00018,0.000175,0.001121,2.293695,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.000376,1.153968,1.10824,0.000169,0.000359,0.0002,0.000172,0.001011,2.26608,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000393,1.147428,1.12676,0.000184,0.00027,0.000198,0.000157,0.000914,2.277887,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000431,1.131175,1.101404,0.000181,0.000381,0.000177,0.00017,0.001501,2.236835,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000356,1.152508,1.103183,0.000187,0.000375,0.000187,0.000158,0.001102,2.259533,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000491,1.216166,1.161022,0.000231,0.00062,0.000267,0.000178,0.001315,2.381803,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000487,1.192233,1.192655,0.000214,0.000493,0.000239,0.000158,0.001373,2.389313,128,0,128,0,0
