; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503707126,"CurrentTimeLocal","Sat Aug 26 02:25:26 2017","Hostname","taurusi5264","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00036
; "Time_ContextDestroy [ms]", 0.000251
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Warmup",0.00084,94.023052,93.770098,0.012912,0.079817,0.066143,0.011829,0.082906,188.04936,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Warmup",0.000684,93.548253,93.224036,0.01221,0.075596,0.06497,0.010591,0.088746,187.02693,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.000666,93.534894,93.165452,0.015566,0.08382,0.068741,0.012179,0.087409,186.970571,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.000806,93.465809,93.304211,0.013129,0.076604,0.067693,0.011557,0.086397,187.028239,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.000695,93.904385,93.306916,0.01184,0.071003,0.064668,0.010795,0.080587,187.452747,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000732,93.779974,93.087441,0.012513,0.072867,0.062273,0.011181,0.082337,187.111002,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.000723,94.025047,92.946042,0.012196,0.077097,0.064329,0.011471,0.083899,187.222586,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,7,64,"Success",0.000808,93.850042,93.382209,0.012249,0.075437,0.06542,0.01083,0.084911,187.483872,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,8,64,"Success",0.000908,93.498316,93.214053,0.012163,0.072272,0.062242,0.012122,0.081936,186.956023,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,9,64,"Success",0.000692,93.589773,92.794146,0.012227,0.074676,0.066601,0.012086,0.090999,186.643003,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,10,64,"Success",0.000702,93.648666,93.40793,0.013531,0.074775,0.067023,0.011497,0.083837,187.309888,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,19,11,64,"Success",0.000678,94.036744,93.636417,0.012275,0.073834,0.063467,0.011605,0.082293,187.919144,54872,0,54872,6.3856879355e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,0,65,"Warmup",0.000742,608.716803,564.621756,0.257852,0.508681,0.477537,0.239928,0.16895,1174.994482,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,1,65,"Warmup",0.00075,605.919612,594.666129,0.24676,0.465005,0.453603,0.232227,0.162401,1202.149023,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,2,65,"Success",0.000728,613.50305,605.896819,0.256106,0.465754,0.448092,0.229834,0.167525,1220.970751,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,3,65,"Success",0.000744,595.130669,596.594374,0.257053,0.484418,0.461176,0.239689,0.172154,1193.342685,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,4,65,"Success",0.000772,613.787918,591.934617,0.257215,0.46523,0.440603,0.241251,0.172965,1207.302733,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,5,65,"Success",0.000755,609.344994,575.324197,0.250329,0.457881,0.442451,0.232371,0.157901,1186.213242,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,6,65,"Success",0.000756,590.79035,603.538737,0.252741,0.465189,0.482789,0.229557,0.171318,1195.933688,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,7,65,"Success",0.000718,592.201226,600.042951,0.246105,0.50046,0.454218,0.229878,0.167344,1193.845435,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,8,65,"Success",0.000772,606.089939,610.179012,0.26163,0.49187,0.456121,0.240967,0.162896,1217.885347,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,9,65,"Success",0.000804,595.490065,595.239826,0.249306,0.458778,0.443838,0.229733,0.159434,1192.274146,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,10,65,"Success",0.00081,604.974619,600.539571,0.249866,0.489813,0.455289,0.240346,0.168928,1207.121713,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,19,361,11,65,"Success",0.000755,594.572375,588.522414,0.2566,0.467995,0.456143,0.239104,0.166917,1184.684905,1042568,0,1042568,7.0164615062e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,0,66,"Warmup",0.009307,9659.568425,9646.392967,3.896912,11.238855,11.11816,3.579275,0.431961,19336.23852,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,1,66,"Warmup",0.001469,10090.330413,9758.541632,4.074751,10.454015,10.083744,3.518945,0.272051,19877.279886,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,2,66,"Success",0.001408,9900.518749,10014.247744,3.969402,10.823051,10.34023,3.700795,0.279489,19943.883229,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,3,66,"Success",0.001215,10099.726098,9908.995869,3.881977,10.384784,10.030601,3.584944,0.263963,20036.871725,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,4,66,"Success",0.001371,9901.120161,10039.517342,3.835381,10.48459,9.959648,3.406891,0.270605,19968.598929,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,5,66,"Success",0.001289,9960.529851,9902.694507,3.843985,10.331644,10.098257,3.47804,0.281656,19891.26159,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,6,66,"Success",0.001161,10025.227926,10162.725438,4.024465,10.815758,10.252261,3.718616,0.311491,20217.080153,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,7,66,"Success",0.001189,9885.349823,9951.857359,3.899581,10.49726,10.059309,3.504136,0.274388,19865.446169,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,8,66,"Success",0.001183,9968.602518,10049.847892,3.798221,10.405587,10.063108,3.679786,0.283374,20046.683975,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,9,66,"Success",0.001293,9893.502422,10011.054492,4.017396,10.529311,10.074589,3.706544,0.272951,19933.161119,19808792,0,19808792,9.7346567139e-08,0
"Fftw","Inplace","Complex","float",3,"oddshape",19,361,361,10,66,"Success",0.016911,9780.93256,9860.922332,3.932513,10.52688,10.120084,3.600454,0.27237,19670.326908,19808792,0,19808792,9.7346567139e-08,0
