; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270192963584,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529487791,"CurrentTimeLocal","Wed Jun 20 11:43:11 2018","Hostname","c01n15","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000103
; "Time_ContextDestroy [ms]", 6.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.00068,0.008004,0.001781,0.000417,0.000688,0.000419,6.7e-05,0.001606,0.014044,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000564,0.00427,0.00161,0.000201,0.000311,0.000335,3.6e-05,0.001352,0.009013,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000528,0.004216,0.001581,0.000192,0.00028,0.000271,3.8e-05,0.001325,0.008767,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000497,0.004133,0.001578,0.000197,0.000272,0.000238,3.7e-05,0.001311,0.008593,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000499,0.004144,0.001603,0.000184,0.000273,0.000239,3.6e-05,0.001321,0.008627,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000498,0.004129,0.001608,0.000189,0.000266,0.000238,3.8e-05,0.001323,0.008615,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000501,0.004116,0.001572,0.000185,0.000274,0.000241,3.8e-05,0.00132,0.008574,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000503,0.004096,0.001572,0.000189,0.000271,0.000237,3.6e-05,0.001322,0.008546,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000502,0.004159,0.001571,0.000186,0.000273,0.000237,3.6e-05,0.00131,0.008603,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000502,0.00411,0.001599,0.00019,0.000271,0.000238,3.2e-05,0.001317,0.008583,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000501,0.004116,0.001583,0.00019,0.000266,0.00024,3.6e-05,0.001321,0.008582,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000506,0.00409,0.001578,0.000191,0.000272,0.000238,3.3e-05,0.001333,0.008565,152,0,152,2.8119781171e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.00067,0.024004,0.018233,0.000412,0.015269,0.006949,0.000278,0.001929,0.068139,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.000604,0.0215,0.017422,0.000404,0.005979,0.005838,0.000199,0.001564,0.053861,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.00054,0.021325,0.017219,0.000385,0.005922,0.005726,0.000175,0.001516,0.053162,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Success",0.000534,0.021138,0.02228,0.000366,0.005839,0.005708,0.000175,0.001487,0.057885,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,4,52,"Success",0.00053,0.020924,0.017086,0.000344,0.00583,0.005722,0.000149,0.001477,0.052408,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,5,52,"Success",0.000546,0.0209,0.017027,0.000344,0.005837,0.005653,0.000149,0.001489,0.052292,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,6,52,"Success",0.000518,0.020868,0.017066,0.000344,0.005825,0.005672,0.00015,0.001487,0.052272,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,7,52,"Success",0.000548,0.020924,0.017093,0.000349,0.005848,0.005677,0.000153,0.001479,0.052415,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,8,52,"Success",0.000537,0.020956,0.017082,0.00034,0.005842,0.005674,0.000147,0.001471,0.05239,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,9,52,"Success",0.000543,0.032044,0.016472,0.000349,0.005627,0.005489,0.000147,0.001424,0.062433,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,10,52,"Success",0.000522,0.020204,0.016545,0.000343,0.005618,0.005491,0.000147,0.001442,0.050639,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.000528,0.020238,0.016496,0.000337,0.00563,0.005492,0.000147,0.001428,0.05064,2888,0,2888,6.5923544682e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,0,53,"Warmup",0.000682,0.046546,0.038769,0.004012,2.82314,0.153452,0.003249,0.008167,3.078428,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,1,53,"Warmup",0.000653,0.044293,0.037227,0.003996,0.125384,0.122779,0.003076,0.007429,0.345254,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,2,53,"Success",0.000668,0.042384,0.036538,0.003989,0.124322,0.131988,0.003121,0.006823,0.350201,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.000642,0.042747,0.036432,0.003974,0.124898,0.122859,0.002965,0.007197,0.342102,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.000603,0.043215,0.03681,0.003942,0.125878,0.122786,0.00302,0.007829,0.344462,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.000613,0.048686,0.03658,0.004002,0.125195,0.122923,0.003006,0.007329,0.348726,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.000617,0.042245,0.036747,0.003975,0.124163,0.122723,0.002945,0.006995,0.340808,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.000635,0.042368,0.036359,0.003968,0.13194,0.12355,0.003065,0.006806,0.349061,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.000644,0.042757,0.036315,0.00397,0.123633,0.123476,0.002976,0.006902,0.341064,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000629,0.042417,0.036458,0.003962,0.125178,0.122489,0.002946,0.007262,0.341722,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.000626,0.042492,0.036379,0.003979,0.124226,0.123554,0.002973,0.007055,0.341661,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.000604,0.042598,0.03618,0.003966,0.12491,0.122199,0.003004,0.007511,0.341338,54872,0,54872,8.1706288977e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000696,0.057097,0.050347,0.125751,0.629074,0.471772,0.158588,0.005659,1.49946,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.000729,0.060916,0.0623,0.145455,0.498726,0.45044,0.158032,0.005262,1.382282,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000658,0.059384,0.054726,0.144848,0.495289,0.44837,0.161012,0.004758,1.369492,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.000621,0.059128,0.05532,0.140338,0.492287,0.447383,0.157296,0.004974,1.357775,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000658,0.059116,0.0555,0.140957,0.516559,0.447254,0.157941,0.004814,1.383244,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.000704,0.059168,0.055198,0.140825,0.493932,0.450646,0.157125,0.004987,1.363028,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.000652,0.05852,0.054954,0.144127,0.522747,0.447647,0.16388,0.004886,1.397844,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.000617,0.058635,0.054915,0.135174,0.51611,0.446522,0.156765,0.005057,1.374283,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.000623,0.059406,0.055534,0.144411,0.496977,0.448797,0.157715,0.004801,1.368768,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.000648,0.058954,0.055398,0.139805,0.489817,0.45069,0.157766,0.004635,1.358153,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.000595,0.058917,0.054813,0.140543,0.494905,0.447118,0.165212,0.005168,1.367724,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.000662,0.059009,0.055384,0.134664,0.517941,0.447687,0.158545,0.004735,1.379061,1042568,0,1042568,8.0590305029e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.006389,0.583806,0.570417,11.616334,14.30036,17.966248,1.839787,6.18152,53.065803,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.008119,0.668015,0.63851,12.827529,17.837862,17.885961,1.836433,6.244281,57.947621,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.00813,0.672894,0.637952,12.845238,17.925119,18.088329,1.83843,6.175043,58.192257,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.007369,0.657848,0.64323,12.83362,17.455968,18.058349,1.839266,6.195672,57.692327,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.007833,0.654264,0.648276,12.874814,18.06052,17.941289,1.830993,6.205117,58.224232,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.007837,0.669819,0.634786,12.841135,17.85406,18.138901,1.829569,6.231661,58.208688,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.007468,0.675707,0.630063,12.819195,17.594189,17.779944,1.833798,6.202011,57.543447,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.007507,0.673191,0.630631,12.842631,18.100419,18.089459,1.837715,6.225453,58.408047,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.007807,0.671681,0.633747,12.830985,18.039009,17.810229,1.866833,6.209284,58.070742,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.008201,0.659989,0.629777,12.842415,17.868623,18.030412,1.835172,6.185124,58.060758,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.007592,0.670419,0.631863,12.856803,17.86254,18.009339,1.842521,6.212061,58.094147,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.00685,0.66232,0.649775,12.798399,17.73855,17.903735,1.834344,6.214237,57.809372,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000293,0.002067,0.000807,6.9e-05,0.000141,0.000129,3.2e-05,0.00108,0.004947,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000249,0.001877,0.000757,6.8e-05,0.000107,0.000124,3e-05,0.001034,0.004568,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000259,0.001887,0.000758,6.4e-05,0.00011,0.000121,3.1e-05,0.001024,0.004567,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000257,0.001846,0.000743,6.5e-05,0.000108,0.000121,3e-05,0.001032,0.004506,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000263,0.001828,0.000764,6.3e-05,0.000108,0.000121,2.8e-05,0.001027,0.004514,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000258,0.001838,0.000765,5.3e-05,0.000107,0.000121,3.2e-05,0.001033,0.004518,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000261,0.001825,0.000762,6.6e-05,0.000111,0.000123,3e-05,0.001022,0.004501,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000251,0.001834,0.000761,6.4e-05,0.000106,0.00012,3.2e-05,0.001023,0.004502,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000255,0.00184,0.000755,6.3e-05,0.000105,0.000121,2.9e-05,0.001026,0.00451,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000257,0.001843,0.000786,6.3e-05,0.000106,0.000125,2.9e-05,0.001034,0.004552,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.000258,0.001862,0.000761,6.4e-05,0.000105,0.000124,2.8e-05,0.001026,0.004543,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000255,0.001865,0.000754,6.3e-05,0.000108,0.000127,2.9e-05,0.001037,0.004551,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.026153,0.002986,0.000914,0.000135,0.000276,0.000193,8e-05,0.002594,0.033852,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000362,0.002079,0.000855,8.9e-05,0.000108,0.000155,4.1e-05,0.001205,0.005244,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000317,0.001954,0.000778,6.3e-05,6.2e-05,0.000144,4.1e-05,0.00114,0.004826,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000298,0.001928,0.000796,7.1e-05,6.9e-05,0.000136,4.1e-05,0.001098,0.004765,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000299,0.001933,0.000804,5.5e-05,7.8e-05,0.000114,3.3e-05,0.001061,0.0047,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000297,0.001914,0.000802,7.3e-05,7e-05,0.000128,3.3e-05,0.001059,0.004701,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000299,0.001909,0.000795,5.6e-05,7.1e-05,0.000124,3.3e-05,0.001054,0.004684,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000295,0.001905,0.000803,6.9e-05,6.8e-05,0.000136,3.3e-05,0.001051,0.004688,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.000287,0.001899,0.000836,5.5e-05,7e-05,0.000125,3.2e-05,0.001067,0.004703,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000285,0.001902,0.000779,7.4e-05,6.5e-05,0.000134,3.3e-05,0.001062,0.004647,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000301,0.001906,0.000792,5.7e-05,7.1e-05,0.000125,3.2e-05,0.001051,0.004665,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000289,0.001911,0.000809,6.9e-05,7.2e-05,0.000129,3.1e-05,0.001062,0.004682,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000475,0.002747,0.000835,0.000135,0.326477,0.000306,0.000287,0.003112,0.334836,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000401,0.00291,0.000789,0.000178,0.00026,0.000187,6.5e-05,0.001028,0.006149,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000308,0.001879,0.000763,9.8e-05,7.9e-05,0.00017,5.9e-05,0.000994,0.004673,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.000288,0.001845,0.000779,9.8e-05,7.9e-05,0.000141,5.1e-05,0.000998,0.004585,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.000293,0.001779,0.000761,9.7e-05,8e-05,0.000135,5.1e-05,0.001014,0.004512,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000298,0.001805,0.000763,9.6e-05,8.4e-05,0.00014,4.4e-05,0.001002,0.004535,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000303,0.001779,0.000754,9.5e-05,8.1e-05,0.000131,4.2e-05,0.000996,0.00448,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.000296,0.001793,0.000776,9.8e-05,7.4e-05,0.00013,4.4e-05,0.000991,0.004504,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.0003,0.001763,0.000754,9.5e-05,7.6e-05,0.000129,4.5e-05,0.001007,0.004468,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.000287,0.001748,0.000757,8.9e-05,8.2e-05,0.00013,4.3e-05,0.001,0.004444,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.000295,0.001748,0.000766,9.2e-05,7.7e-05,0.00013,4.4e-05,0.001013,0.004473,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.000293,0.001756,0.000769,9.5e-05,7.8e-05,0.000128,4.3e-05,0.000982,0.00445,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000426,0.003649,0.001085,0.000178,0.265455,0.000382,0.00019,0.002204,0.273974,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000431,0.003429,0.001012,0.000142,0.000321,0.000203,7.8e-05,0.001308,0.007286,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.000342,0.002363,0.000995,8.5e-05,0.000217,0.000167,7.1e-05,0.001272,0.005839,256,0,256,0,0
