; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270192963584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529504822,"CurrentTimeLocal","Wed Jun 20 16:27:02 2018","Hostname","c01n15","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00012
; "Time_ContextDestroy [ms]", 7.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,0,64,"Warmup",0.000641,0.024107,0.019252,0.009916,0.029269,0.023833,0.006085,0.011135,0.124691,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,1,64,"Warmup",0.000466,0.020707,0.015921,0.007368,0.027542,0.022645,0.006695,0.010699,0.112394,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,2,64,"Success",0.000504,0.020092,0.015978,0.005083,0.025142,0.022409,0.00641,0.011037,0.107007,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,3,64,"Success",0.00043,0.020178,0.016109,0.004729,0.025132,0.025722,0.006186,0.010017,0.108841,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,4,64,"Success",0.000429,0.019501,0.015812,0.00491,0.026241,0.024056,0.005976,0.011126,0.108612,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,5,64,"Success",0.000437,0.019906,0.016326,0.006675,0.027362,0.023981,0.005932,0.010844,0.111842,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,6,64,"Success",0.000413,0.020402,0.015802,0.007169,0.027946,0.022748,0.006213,0.010852,0.1119,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,7,64,"Success",0.000417,0.019885,0.015918,0.004835,0.027343,0.024697,0.006252,0.010815,0.1105,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,8,64,"Success",0.000528,0.019981,0.016051,0.004903,0.025788,0.025216,0.006347,0.011246,0.110395,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,9,64,"Success",0.00044,0.019937,0.015946,0.005315,0.026278,0.024876,0.005891,0.010239,0.109506,54872,0,54872,7.5732475917e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",19,19,19,10,64,"Success",0.000423,0.020008,0.015912,0.004738,0.027398,0.025838,0.006127,0.010564,0.111523,54872,0,54872,7.5732475917e-08,0
