; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599733455,"CurrentTimeLocal","Thu Sep 10 12:24:15 2020","Hostname","taurusml16","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000116
; "Time_ContextDestroy [ms]", 3.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.000844,131.201301,40.870284,0.000193,0.007426,0.005633,0.000288,0.007176,172.093802,1600,0,1600,5.8235495789e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.00024,54.865754,41.90135,0.000185,0.005889,0.005793,0.000262,0.005547,96.785526,1600,0,1600,3.9784183527e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.000254,40.622126,42.808335,0.000238,0.005906,0.006156,0.000138,0.004869,83.448522,1600,0,1600,4.0284716064e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.00025,41.395062,42.501012,0.000238,0.005607,0.005463,0.000399,0.005564,83.914143,1600,0,1600,4.3747911202e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.00024,41.236017,40.876375,0.000227,0.005703,0.005939,0.000136,0.005201,82.130334,1600,0,1600,5.3421155247e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.000238,41.363515,40.929351,0.000229,0.005558,0.006193,0.000147,0.00523,82.31095,1600,0,1600,3.1309681155e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.000219,41.319424,41.114266,0.000269,0.006881,0.005158,0.000219,0.005687,82.452918,1600,0,1600,4.0290637383e-17,0
