; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161342,"CurrentTimeLocal","Tue Sep 15 11:15:42 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000121
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,0,0,"Success",0.011189,192.594033,0.078858,4.525328,43.589254,4.883722,2.645352,0.640819,248.96939,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,1,0,"Success",0.012062,0.091612,0.072656,4.80645,4.968672,4.766576,2.650256,0.508698,17.877639,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,2,0,"Success",0.011564,0.088417,0.071869,4.80265,4.965196,4.819164,2.644819,0.492787,17.896974,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,3,0,"Success",0.011902,0.087433,0.07227,4.80705,4.999327,4.826891,2.64152,0.487406,17.935028,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,4,0,"Success",0.012141,0.089354,0.072077,4.791509,4.977268,4.829586,2.64221,0.481949,17.896744,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,5,0,"Success",0.01192,0.089649,0.072622,4.794451,5.003152,4.830562,2.6501,0.50173,17.954965,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,6,0,"Success",0.012051,0.088526,0.072028,4.793808,4.997369,4.832254,2.654543,0.49633,17.94783,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,7,0,"Success",0.011992,0.087058,0.071362,4.793083,5.054662,4.809292,2.658742,0.484219,17.971436,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,8,0,"Success",0.011966,0.087356,0.071599,4.796001,4.988164,4.793442,2.677501,0.477787,17.904468,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,9,0,"Success",0.011832,0.087979,0.071605,4.799067,5.042139,4.815655,2.666404,0.493928,17.989964,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,10,0,"Success",0.013107,0.087919,0.072343,4.810049,4.942941,4.777072,2.646491,0.485471,17.835972,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,11,0,"Success",0.012046,0.088356,0.071017,4.777406,4.971366,4.801838,2.509324,0.466997,17.698889,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,12,0,"Success",0.011835,0.087148,0.071665,4.753491,4.986054,4.824706,2.511509,0.472498,17.719951,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,13,0,"Success",0.011711,0.087549,0.071523,4.762857,4.967291,4.813314,2.509861,0.503279,17.729159,67141632,0,33554432,0,0
