; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161862,"CurrentTimeLocal","Tue Sep 15 11:24:22 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000133
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.000457,0.067552,0.004795,0.000139,0.007939,0.001006,9.3e-05,0.000879,0.083235,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.000605,0.005295,0.004023,9.4e-05,0.001008,0.000727,9e-05,0.000564,0.012765,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.000582,0.004856,0.003898,8.8e-05,0.000963,0.000707,8e-05,0.000571,0.012088,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.000557,0.004671,0.003736,8e-05,0.000957,0.000728,7e-05,0.000557,0.011705,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.000574,0.004629,0.003752,8.2e-05,0.000953,0.000705,7.4e-05,0.000578,0.011667,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.000545,0.004523,0.003767,8e-05,0.000895,0.000699,7.4e-05,0.000547,0.011463,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.000588,0.004459,0.003713,8.4e-05,0.000918,0.000726,7e-05,0.000541,0.011425,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,7,0,"Success",0.000548,0.004403,0.003672,8.8e-05,0.000922,0.000705,7.2e-05,0.000551,0.011287,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,8,0,"Success",0.000543,0.004396,0.003636,8.4e-05,0.000942,0.000721,7.4e-05,0.000596,0.011316,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,9,0,"Success",0.000545,0.004396,0.003702,8.8e-05,0.000939,0.000733,6.6e-05,0.000522,0.01132,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,10,0,"Success",0.000569,0.004574,0.003715,8e-05,0.000945,0.000693,7.6e-05,0.000535,0.011513,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,11,0,"Success",0.000531,0.004483,0.00372,8.3e-05,0.000945,0.000715,7.4e-05,0.000533,0.011413,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,12,0,"Success",0.000545,0.004361,0.003679,8e-05,0.000957,0.000692,6.8e-05,0.000565,0.011281,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,13,0,"Success",0.00056,0.004416,0.003727,8.6e-05,0.000965,0.000715,7e-05,0.000553,0.011419,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,14,0,"Success",0.000568,0.004536,0.003638,8.6e-05,0.000975,0.000699,7.1e-05,0.000541,0.011431,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,15,0,"Success",0.000555,0.004435,0.003666,8.5e-05,0.000959,0.000705,7e-05,0.000526,0.01133,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,16,0,"Success",0.000555,0.004382,0.003616,8.6e-05,0.00097,0.000689,7e-05,0.000538,0.011234,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,17,0,"Success",0.00053,0.004345,0.003707,8.4e-05,0.000926,0.000727,7e-05,0.000528,0.011242,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,18,0,"Success",0.000578,0.0043,0.003574,9e-05,0.00092,0.000721,7e-05,0.000592,0.011162,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,19,0,"Success",0.000582,0.004271,0.003717,8.4e-05,0.000957,0.000723,6.8e-05,0.000541,0.011264,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,0,1,"Success",0.000295,0.006271,0.004787,0.000155,0.003541,0.001398,0.000135,0.000553,0.017462,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,1,1,"Success",0.000639,0.005358,0.004529,0.000129,0.001467,0.001187,0.000117,0.00055,0.014302,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,2,1,"Success",0.000658,0.005224,0.004389,0.000133,0.001369,0.001184,0.000115,0.000531,0.013933,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,3,1,"Success",0.000629,0.005042,0.004179,0.000135,0.001377,0.001139,0.000119,0.000539,0.013483,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,4,1,"Success",0.000567,0.005007,0.004323,0.000131,0.001384,0.001195,0.000121,0.000543,0.013603,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,5,1,"Success",0.000613,0.004981,0.004146,0.000133,0.001455,0.001184,0.000121,0.000578,0.013541,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.000568,0.005021,0.004191,0.000114,0.001355,0.001188,0.000119,0.000547,0.013429,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.000604,0.004765,0.004197,0.000135,0.00139,0.001133,0.000119,0.000541,0.01321,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.000562,0.005017,0.00409,0.000117,0.001399,0.001195,0.000119,0.000547,0.013372,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.000582,0.004879,0.004199,0.000125,0.001414,0.00115,0.000121,0.000605,0.0134,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.000566,0.004888,0.004152,0.000123,0.001441,0.001163,0.000115,0.000556,0.013334,3200,0,3200,1.3141733865e-16,0
