; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600852706,"CurrentTimeLocal","Wed Sep 23 11:18:26 2020","Hostname","taurusml22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000129
; "Time_ContextDestroy [ms]", 5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.003208,31.492096,0.055069,0.234384,4.870546,1.640078,0.115014,0.093548,38.504416,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.004047,0.034226,0.045407,0.221419,0.548274,1.644554,0.113428,0.001746,2.613507,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.000213,0.031816,0.039454,0.104547,0.554426,1.64508,0.113601,0.001755,2.491307,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.000193,0.030689,0.038674,0.103335,0.566698,1.644954,0.114019,0.001782,2.500738,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.000181,0.030534,0.039002,0.102241,0.562865,1.640552,0.113604,0.001765,2.491124,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.000205,0.030442,0.038156,0.102001,0.568061,1.63805,0.113789,0.001822,2.492906,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.000206,0.030013,0.038425,0.102121,0.569245,1.646509,0.113498,0.001735,2.502131,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.00023,0.030425,0.038294,0.10207,0.565798,1.643713,0.113331,0.001761,2.496011,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.000215,0.030022,0.037519,0.101554,0.568453,1.642798,0.11356,0.001705,2.496214,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.000197,0.029825,0.037909,0.10136,0.569287,1.665434,0.113623,0.001844,2.519852,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.000189,0.029886,0.038116,0.102261,0.567217,1.654329,0.11382,0.001738,2.507927,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.000191,0.029776,0.038367,0.115106,0.55367,1.643081,0.113225,0.00174,2.495542,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.000197,0.029962,0.037944,0.102279,0.568903,1.649764,0.113864,0.001734,2.505021,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.000229,0.029633,0.037868,0.102276,0.570158,1.647801,0.114069,0.001789,2.504191,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.000205,0.029675,0.037635,0.115002,0.560323,1.653405,0.115414,0.001783,2.513816,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.00021,0.029759,0.037698,0.10269,0.567217,1.63623,0.113285,0.001844,2.489323,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.000217,0.030243,0.037905,0.102428,0.570959,1.657301,0.113563,0.001705,2.5147,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.000217,0.029884,0.037917,0.10215,0.513892,1.638968,0.113801,0.001766,2.438969,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.000193,0.029585,0.037835,0.101616,0.513318,1.649181,0.113707,0.001648,2.44746,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.000203,0.029881,0.037972,0.103354,0.569072,1.654521,0.115272,0.001836,2.512484,2041200,0,2025000,1.2987409565e-16,0
