; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161343,"CurrentTimeLocal","Tue Sep 15 11:15:43 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 8e-05
; "Time_ContextDestroy [ms]", 0.000209
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,0,0,"Success",0.011757,193.442214,0.093013,4.529405,27.198501,4.785925,2.620378,0.501478,233.28179,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,1,0,"Success",0.011922,0.092692,0.072757,4.763449,4.969234,4.69384,2.619366,0.53868,17.827987,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,2,0,"Success",0.012035,0.090073,0.072948,4.768114,4.947866,4.674866,2.643438,0.493145,17.76925,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,3,0,"Success",0.011538,0.088171,0.071829,4.771783,4.944491,4.701289,2.654972,0.487976,17.798902,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,4,0,"Success",0.013752,0.085897,0.071957,4.77527,4.944698,4.652425,2.65093,0.474785,17.73831,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,5,0,"Success",0.012281,0.08559,0.07072,4.768194,4.946065,4.720624,2.661584,0.481539,17.818397,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,6,0,"Success",0.011833,0.086124,0.07207,4.772249,4.969336,4.704875,2.643696,0.465023,17.796112,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,7,0,"Success",0.012064,0.08779,0.072583,4.804571,4.910352,4.659318,2.634783,0.480899,17.736804,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,8,0,"Success",0.012093,0.085258,0.071409,4.798047,4.909106,4.670663,2.624339,0.468891,17.709782,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,9,0,"Success",0.012201,0.086739,0.070773,4.784171,4.914394,4.776907,2.615263,0.47758,17.80943,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,10,0,"Success",0.012201,0.086254,0.071462,4.772372,4.944973,4.682419,2.618081,0.476455,17.740948,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,11,0,"Success",0.012451,0.085122,0.071794,4.780372,4.952486,4.693524,2.616059,0.479381,17.760004,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,12,0,"Success",0.011876,0.086673,0.070544,4.80595,4.885527,4.637157,2.610743,0.478124,17.658324,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,13,0,"Success",0.0123,0.085464,0.070566,4.782799,4.959296,4.670353,2.608454,0.474026,17.735185,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,14,0,"Success",0.011851,0.086193,0.070363,4.788005,4.912044,4.732725,2.616722,0.472377,17.761039,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,15,0,"Success",0.012101,0.086558,0.071105,4.781621,4.914459,4.717716,2.614089,0.46237,17.731626,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,16,0,"Success",0.012277,0.083477,0.071634,4.818144,4.921811,4.751277,2.611724,0.482024,17.829372,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,17,0,"Success",0.013068,0.086651,0.0704,4.829859,4.908686,4.664881,2.617335,0.474344,17.737078,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,18,0,"Success",0.012252,0.085882,0.070335,4.781056,4.918589,4.665484,2.616854,0.464821,17.690843,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",2048,2048,0,19,0,"Success",0.011958,0.087004,0.0714,4.769429,4.957957,4.655804,2.615698,0.484885,17.747278,67141632,0,33554432,0,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,0,1,"Success",0.016852,0.133962,0.123625,19.690203,20.852629,21.242537,10.421944,1.552513,74.143282,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,1,1,"Success",0.01937,0.118922,0.123013,19.734558,20.984837,21.280465,10.401993,1.518482,74.293838,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,2,1,"Success",0.018952,0.13292,0.121935,19.740773,20.854056,21.101013,10.412563,1.531658,74.023772,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,3,1,"Success",0.013126,0.137833,0.121838,19.745655,21.067429,21.095215,10.444528,1.540669,74.275654,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,4,1,"Success",0.013076,0.138294,0.121703,19.759791,21.06775,21.438238,10.420127,1.534101,74.606486,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,5,1,"Success",0.018568,0.133407,0.120609,19.689247,20.826409,21.14073,10.415634,1.53672,73.990011,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,6,1,"Success",0.017795,0.130898,0.121972,19.686022,20.925192,21.252536,10.406452,1.518638,74.172941,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,7,1,"Success",0.017837,0.130757,0.121617,19.69527,21.025195,21.126029,10.443749,1.530076,74.204133,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,8,1,"Success",0.013205,0.131898,0.120943,19.69018,20.785581,21.157381,10.438351,1.529937,73.97738,268500992,0,134217728,2.7755576443e-17,0
"Fftw_ESSL","Outplace","Real","double",2,"powerof2",4096,4096,0,9,1,"Success",0.01855,0.132585,0.120576,19.725302,20.819989,21.118738,10.42817,1.54111,74.018511,268500992,0,134217728,2.7755576443e-17,0
