; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161851,"CurrentTimeLocal","Tue Sep 15 11:24:11 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.2e-05
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.000621,0.074763,0.00552,0.000172,0.008708,0.001281,0.000172,0.000951,0.129765,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.000712,0.005765,0.004835,0.000155,0.001287,0.001072,0.000129,0.000675,0.032635,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.00067,0.005504,0.004656,0.000138,0.001196,0.000978,0.000109,0.000689,0.031626,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.000623,0.005465,0.004578,0.000137,0.001139,0.000975,9.5e-05,0.000619,0.031183,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.000668,0.005041,0.004453,0.000133,0.001198,0.000992,9.7e-05,0.000629,0.030887,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.000629,0.005093,0.004385,0.000144,0.001161,0.001043,9.6e-05,0.000635,0.03062,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.000631,0.005002,0.004539,0.000131,0.001154,0.000989,0.000101,0.000702,0.030845,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,7,0,"Success",0.000596,0.005158,0.004357,0.000125,0.001133,0.001043,0.000125,0.000677,0.031433,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,8,0,"Success",0.000599,0.005289,0.004429,0.000135,0.001112,0.001029,0.000121,0.000627,0.030711,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,9,0,"Success",0.000621,0.004988,0.004438,0.000133,0.001136,0.001022,0.000115,0.000654,0.030737,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,10,0,"Success",0.00059,0.005039,0.004451,0.000133,0.001157,0.000951,0.000124,0.000623,0.03039,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,11,0,"Success",0.0006,0.00494,0.004397,0.000129,0.00113,0.001017,0.000115,0.000676,0.030335,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,12,0,"Success",0.000598,0.004844,0.004455,0.00013,0.001131,0.000987,0.000111,0.000649,0.030327,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,13,0,"Success",0.000594,0.004752,0.004435,0.000127,0.001166,0.001065,0.000101,0.000649,0.030413,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,14,0,"Success",0.000605,0.004908,0.004411,0.000133,0.001166,0.000986,0.000113,0.000649,0.030569,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,15,0,"Success",0.000603,0.004961,0.004375,0.000131,0.001143,0.00105,9.8e-05,0.000682,0.030497,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,16,0,"Success",0.000597,0.005011,0.00432,0.000136,0.001172,0.00098,0.000122,0.000644,0.030214,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,17,0,"Success",0.000611,0.004933,0.004412,0.000135,0.001225,0.000961,0.000127,0.000633,0.031134,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,18,0,"Success",0.000622,0.005038,0.004458,0.000141,0.001144,0.001041,0.00012,0.000625,0.030431,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,19,0,"Success",0.000578,0.004992,0.004324,0.000131,0.001142,0.000978,0.0001,0.000607,0.030123,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,0,1,"Success",0.000239,0.00698,0.005464,0.000215,0.004013,0.001517,0.000168,0.000758,0.037147,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,1,1,"Success",0.000676,0.00599,0.005064,0.00016,0.001606,0.00152,0.000152,0.000633,0.033368,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,2,1,"Success",0.000679,0.005619,0.004975,0.000178,0.001627,0.001425,0.00016,0.000668,0.032731,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,3,1,"Success",0.000613,0.005574,0.004862,0.000158,0.001558,0.001422,0.000146,0.000639,0.032479,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,4,1,"Success",0.000611,0.005466,0.004873,0.000154,0.00158,0.001482,0.000147,0.000631,0.032399,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,5,1,"Success",0.00064,0.005502,0.004832,0.000151,0.001617,0.001463,0.000149,0.000631,0.032273,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.000637,0.005414,0.004828,0.000162,0.001637,0.001493,0.000145,0.000668,0.033063,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.00066,0.005487,0.004777,0.000149,0.001584,0.001437,0.000153,0.000623,0.03227,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.000615,0.005424,0.004826,0.000146,0.001569,0.001493,0.000146,0.000619,0.032146,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.000621,0.005402,0.004836,0.000148,0.00157,0.001444,0.000148,0.000621,0.03214,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.000628,0.005355,0.004793,0.000156,0.001572,0.001491,0.000145,0.0006,0.031986,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.000645,0.005376,0.004787,0.000148,0.001641,0.001498,0.000148,0.000636,0.032225,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.000649,0.00556,0.004794,0.000151,0.001598,0.001414,0.000144,0.000615,0.03215,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.000603,0.005477,0.005164,0.000176,0.001664,0.001469,0.000155,0.000672,0.041925,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.000641,0.005573,0.004822,0.00017,0.001611,0.001446,0.000164,0.000627,0.03231,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.000616,0.005529,0.004856,0.000147,0.001615,0.00151,0.000142,0.000621,0.032716,3200,0,3200,1.3141733865e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.000611,0.005449,0.004727,0.000174,0.001604,0.001524,0.000151,0.000601,0.03205,3200,0,3200,1.3141733865e-16,0
