; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600852668,"CurrentTimeLocal","Wed Sep 23 11:17:48 2020","Hostname","taurusml22","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 8e-05
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.003386,17.965589,0.059656,0.232373,1.640555,1.574259,0.115293,0.112524,21.747355,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.004258,0.034934,0.04612,0.2083,0.387443,1.544339,0.114346,0.001775,2.364164,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.000283,0.031897,0.040329,0.105192,0.36396,1.559481,0.115049,0.00182,2.240045,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.000291,0.031169,0.03936,0.105872,0.322094,1.54488,0.114076,0.001805,2.181249,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.000263,0.030818,0.039608,0.104161,0.3183,1.544489,0.114588,0.001926,2.175355,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.000277,0.030643,0.03938,0.104766,0.318587,1.545347,0.113737,0.001896,2.175977,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.000299,0.030345,0.038798,0.105278,0.326893,1.543038,0.114197,0.001803,2.181774,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.00026,0.030435,0.038935,0.104789,0.3201,1.546385,0.114182,0.001838,2.179559,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.000268,0.030132,0.039157,0.105748,0.319632,1.548711,0.121525,0.001764,2.188219,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.000244,0.029923,0.038866,0.10501,0.321249,1.559172,0.114613,0.001935,2.192349,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.00024,0.030784,0.038855,0.107516,0.309118,1.549405,0.115291,0.001871,2.174791,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.000283,0.030159,0.038716,0.107649,0.313292,1.550925,0.114619,0.001811,2.179034,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.000276,0.030608,0.038751,0.108383,0.31096,1.554833,0.114965,0.001969,2.182188,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.000282,0.030288,0.037999,0.107941,0.31762,1.553115,0.114872,0.001855,2.185772,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.000285,0.030421,0.038636,0.107475,0.309734,1.552899,0.114891,0.001927,2.17817,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.000283,0.030177,0.038608,0.10694,0.310847,1.548223,0.11532,0.001824,2.174182,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.000252,0.030358,0.038528,0.107123,0.307914,1.558328,0.115492,0.001758,2.18169,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.000231,0.030253,0.03861,0.107055,0.31145,1.553898,0.114756,0.001945,2.180819,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.000235,0.030221,0.038579,0.107458,0.309202,1.554526,0.114758,0.00182,2.178114,2041200,0,2025000,1.2987409565e-16,0
"Fftw_ESSL","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.000301,0.030528,0.038542,0.106055,0.310845,1.555504,0.114818,0.001973,2.180038,2041200,0,2025000,1.2987409565e-16,0
