; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161863,"CurrentTimeLocal","Tue Sep 15 11:24:23 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000111
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.000678,118.574733,42.24862,0.000197,0.006967,0.006268,0.000234,0.00666,160.844817,1600,0,1600,5.1466517635e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.000258,41.886068,41.109237,0.00025,0.006291,0.006162,0.000188,0.006004,83.014948,1600,0,1600,4.9831664692e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.000254,41.513442,41.072275,0.000213,0.00556,0.005355,0.000184,0.005313,82.603084,1600,0,1600,4.6394752392e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.000253,41.475484,41.018886,0.00024,0.005556,0.007685,0.000145,0.00519,82.513923,1600,0,1600,3.828053364e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.000268,41.696448,41.475705,0.000153,0.005202,0.005166,0.000106,0.004043,83.187487,1600,0,1600,4.0407229712e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.000287,43.263846,42.348918,0.000154,0.004483,0.005277,0.000218,0.004681,85.628229,1600,0,1600,4.0970121223e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.00025,35.450064,34.729214,0.000167,0.003943,0.003885,0.000102,0.003627,70.191613,1600,0,1600,4.822359824e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,7,0,"Success",0.000348,57.165813,35.331988,0.000141,0.004595,0.004836,0.000181,0.004408,92.512682,1600,0,1600,3.8964263858e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,8,0,"Success",0.00024,36.766985,36.072682,0.00017,0.004624,0.003977,0.000217,0.004238,72.853499,1600,0,1600,3.622721181e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,9,0,"Success",0.000285,36.863261,41.410798,0.000159,0.004987,0.00464,0.000162,0.003987,78.288644,1600,0,1600,3.622721181e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,10,0,"Success",0.000278,35.119515,34.712704,0.000135,0.005024,0.005052,0.000106,0.004627,69.847799,1600,0,1600,3.4923778533e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,11,0,"Success",0.00028,34.94333,34.653661,0.000181,0.00431,0.004502,0.000105,0.003959,69.610719,1600,0,1600,3.8562162606e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,12,0,"Success",0.000287,35.158707,41.469979,0.000157,0.004231,0.004827,0.000237,0.004996,76.643791,1600,0,1600,4.716516871e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,13,0,"Success",0.00025,34.969727,34.855631,0.000145,0.004083,0.00425,0.000223,0.004267,69.838964,1600,0,1600,4.0828330325e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,14,0,"Success",0.000252,39.752985,34.623773,0.000172,0.004115,0.005007,9.3e-05,0.005622,74.392384,1600,0,1600,6.0651271904e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,15,0,"Success",0.000254,39.78688,37.289114,0.000154,0.004498,0.004811,0.000236,0.004418,77.090719,1600,0,1600,5.3526344848e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,16,0,"Success",0.000248,41.102303,34.475478,0.000166,0.004561,0.00374,0.000209,0.004223,75.591278,1600,0,1600,6.2358036697e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,17,0,"Success",0.00027,35.151436,36.878079,0.000166,0.004842,0.005304,0.000106,0.003904,72.044485,1600,0,1600,4.2880905304e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,18,0,"Success",0.000274,35.150754,34.603737,0.000162,0.004273,0.005222,0.000215,0.004351,69.769352,1600,0,1600,5.3526344848e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,19,0,"Success",0.000286,35.105939,34.663223,0.00015,0.005292,0.004578,0.000222,0.005695,69.785767,1600,0,1600,3.7152319417e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,0,1,"Success",0.000234,62.394248,62.04276,0.000214,0.005769,0.005928,0.000156,0.005557,124.455233,3200,0,3200,1.9644857626e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,1,1,"Success",0.000215,62.488829,60.941868,0.000207,0.005566,0.005252,0.000358,0.006673,123.449329,3200,0,3200,1.2983639004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,2,1,"Success",0.000303,62.382695,61.204697,0.000218,0.006205,0.005433,0.000162,0.006596,123.606684,3200,0,3200,1.8192859426e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,3,1,"Success",0.000201,62.547172,61.102379,0.000185,0.00572,0.006041,0.000456,0.006486,123.669019,3200,0,3200,1.553357018e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,4,1,"Success",0.000242,61.991339,60.830835,0.000232,0.006265,0.005818,0.000151,0.005425,122.840671,3200,0,3200,1.2983639004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,5,1,"Success",0.000247,62.337069,61.232018,0.000193,0.006101,0.005238,0.000346,0.006348,123.587935,3200,0,3200,2.4483172471e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.000215,62.660206,61.318687,0.000203,0.005331,0.005596,0.000332,0.006552,123.997505,3200,0,3200,2.4875947898e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.000213,62.3706,61.211563,0.000205,0.005599,0.00642,0.000163,0.005439,123.600588,3200,0,3200,2.4672183782e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.000261,62.385291,61.194949,0.000201,0.006012,0.005836,0.000327,0.006656,123.599917,3200,0,3200,1.2983639004e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.000262,62.424717,61.100395,0.000207,0.004984,0.005221,0.000404,0.006955,123.543514,3200,0,3200,2.2230398092e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.000282,62.473367,61.321165,0.000203,0.006583,0.005696,0.000364,0.00598,123.814014,3200,0,3200,1.9996419895e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.000244,62.426328,61.287664,0.000205,0.006487,0.00526,0.000322,0.0069,123.733808,3200,0,3200,2.4450261929e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.000238,62.352935,61.350806,0.000217,0.004888,0.005719,0.0003,0.007292,123.722759,3200,0,3200,2.0754869234e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.000209,62.320689,61.299834,0.000205,0.005122,0.005677,0.000356,0.007452,123.639916,3200,0,3200,2.5624126359e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.000291,62.433736,61.225918,0.000191,0.0059,0.004943,0.000146,0.005291,123.676822,3200,0,3200,2.3450716605e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.000221,62.433398,61.188552,0.000205,0.006175,0.006244,0.000344,0.006998,123.642516,3200,0,3200,1.8320087152e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,16,1,"Success",0.000293,62.311695,61.567022,0.000214,0.006093,0.005889,0.000137,0.00683,123.898552,3200,0,3200,2.3169051442e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,17,1,"Success",0.000264,62.167222,61.126612,0.000217,0.005881,0.00532,0.000347,0.006403,123.312643,3200,0,3200,2.1307085505e-17,0
