; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600853280,"CurrentTimeLocal","Wed Sep 23 11:28:00 2020","Hostname","taurusml22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000107
; "Time_ContextDestroy [ms]", 0.000156
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,0,0,"Success",0.007496,55.789851,55.926663,0.554663,14.914594,8.013659,0.270569,0.262891,135.740835,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,1,0,"Success",0.005344,53.855212,55.76936,0.568789,10.41772,8.021168,0.260091,0.193007,129.091099,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,2,0,"Success",0.000305,53.774902,55.863556,0.336055,7.993942,8.775463,0.258591,0.192531,127.195756,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,3,0,"Success",0.000291,53.84626,55.945352,0.311519,6.359054,8.332127,0.262092,0.185815,125.242932,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,4,0,"Success",0.000244,53.800549,55.879258,0.330198,8.126709,8.035734,0.262014,0.188458,126.623641,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,5,0,"Success",0.00026,53.403428,55.510155,0.328678,8.388584,8.693013,0.254444,0.194246,126.773255,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,6,0,"Success",0.000291,53.906145,56.036817,0.334147,7.908853,10.410804,0.249699,0.18115,129.028509,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,7,0,"Success",0.000221,62.980421,78.304623,0.318536,7.035678,8.664584,0.299652,0.265217,157.869538,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,8,0,"Success",0.000303,75.196755,78.007149,0.319949,6.387463,8.435969,0.293496,0.269121,168.91096,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,9,0,"Success",0.000278,73.591552,76.391942,0.312838,7.339378,8.338476,0.255917,0.211391,166.442457,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,10,0,"Success",0.000256,59.555329,61.838375,0.32865,7.802401,10.487097,0.264071,0.225596,140.502203,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,11,0,"Success",0.000321,59.73692,61.90365,0.330352,7.129347,9.841289,0.253239,0.222288,139.417841,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,12,0,"Success",0.000291,59.949679,62.196685,0.326352,7.308083,10.211942,0.255599,0.20553,140.454639,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,13,0,"Success",0.000314,59.922296,62.190776,0.331629,8.726729,11.304624,0.258276,0.211473,142.946556,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,14,0,"Success",0.000252,60.019342,62.233168,0.329292,7.672911,10.30037,0.255275,0.233314,141.044422,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,15,0,"Success",0.000242,59.640656,61.919468,0.332334,8.668287,9.940555,0.251408,0.208487,140.962181,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,16,0,"Success",0.000236,59.964325,62.185051,0.330785,7.952825,8.965759,0.252659,0.213542,139.865616,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,17,0,"Success",0.000291,60.099238,62.319195,0.331423,7.777564,9.073121,0.252653,0.214182,140.068099,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,18,0,"Success",0.000278,59.981223,62.208001,0.309342,9.245133,9.842388,0.250486,0.23453,142.07181,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,19,0,"Success",0.000272,59.670606,61.915925,0.326616,2.831728,8.859181,0.250651,0.21818,134.07358,4822416,0,4762880,1.1168004092e-16,0
