; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161880,"CurrentTimeLocal","Tue Sep 15 11:24:40 2020","Hostname","taurusml20","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000191
; "Time_ContextDestroy [ms]", 7.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.005746,19.256954,19.829486,0.26902,28.333309,28.329594,0.156359,0.22782,96.408693,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.005656,18.547961,18.892744,0.28665,58.492415,28.435194,0.156383,0.121394,124.938852,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.000235,18.876281,19.405045,0.187062,65.821202,28.080576,0.154043,0.129966,132.654832,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.000215,19.094307,19.383386,0.185618,35.309892,30.070208,0.157053,0.117044,104.31813,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.000251,18.712011,19.138385,0.181783,50.146025,30.098657,0.156842,0.115568,118.549931,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.000217,18.268304,18.838716,0.18404,43.926804,29.233007,0.157228,0.125998,110.734723,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.000242,18.999213,19.777627,0.186343,33.423873,27.59411,0.156418,0.121183,100.259435,3037968,0,2996352,6.5256333432e-17,0
