; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161582,"CurrentTimeLocal","Tue Sep 15 11:19:42 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.2e-05
; "Time_ContextDestroy [ms]", 0.000199
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,0,0,"Success",0.02006,3.765192,3.951814,4.695701,5.365027,14.450286,2.560427,0.519634,35.431218,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,1,0,"Success",0.015062,3.593895,3.916415,4.72462,4.406298,14.485339,2.566713,0.486871,34.275801,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,2,0,"Success",0.013129,3.585688,3.887249,4.742151,4.457014,14.532027,2.558909,0.485709,34.342418,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,3,0,"Success",0.018808,3.603483,3.879078,4.749369,4.426033,14.502781,2.568872,0.500083,34.326583,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,4,0,"Success",0.013894,3.594571,3.912948,4.713706,4.418135,14.532134,2.564093,0.492914,34.319368,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,5,0,"Success",0.013351,3.578581,3.891164,4.734803,4.407965,14.466653,2.55966,0.488572,34.217362,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,6,0,"Success",0.013396,3.594165,3.884412,4.74307,4.424931,14.494747,2.562663,0.492585,34.289045,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,7,0,"Success",0.013574,3.61557,3.885667,4.740895,4.397648,14.477175,2.570801,0.494238,34.275303,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,8,0,"Success",0.013841,3.623641,3.934859,4.721473,4.43612,14.507091,2.554875,0.47729,34.348265,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,9,0,"Success",0.013449,3.579599,3.907581,4.72824,4.439962,14.517356,2.557685,0.476063,34.296319,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,10,0,"Success",0.013724,3.581339,3.890797,4.741129,4.49515,14.907888,2.490312,0.49242,34.688206,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,11,0,"Success",0.014194,3.647423,3.904308,4.744213,5.2296,15.836027,2.456152,0.491175,36.385286,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,12,0,"Success",0.014501,3.46806,3.719029,4.647074,4.390541,15.541928,2.457096,0.464932,34.762427,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,13,0,"Success",0.013066,3.400524,3.700249,4.600822,4.499712,15.478499,2.474418,0.452238,34.676689,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,14,0,"Success",0.013816,3.523321,3.726627,4.645723,4.363561,15.272307,2.475072,0.497094,34.575439,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,15,0,"Success",0.018619,3.545956,3.82744,4.699326,4.353922,15.526956,2.473522,0.462649,34.966026,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,16,0,"Success",0.01309,3.548356,3.808512,4.696137,4.408031,15.515847,2.446318,0.46638,34.962264,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,17,0,"Success",0.014495,3.372421,3.679845,4.58934,4.364153,15.305155,2.434539,0.468967,34.288342,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,18,0,"Success",0.012771,3.306089,3.586408,4.580794,6.002078,17.618678,2.43451,0.474631,38.076742,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",2048,2048,0,19,0,"Success",0.013075,3.3461,3.614199,4.57095,6.015561,29.268064,2.476049,0.492952,49.857634,67141632,0,33554432,0,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,0,1,"Success",0.01398,3.847304,3.610336,19.263282,26.469636,111.771267,10.028208,1.54727,176.6639,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,1,1,"Success",0.019484,3.670084,3.533041,18.934938,25.952883,151.15336,10.272431,1.564502,215.207245,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,2,1,"Success",0.013695,3.877127,3.703127,19.454959,25.399352,128.612425,9.976409,1.516115,192.663653,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,3,1,"Success",0.012978,3.584701,3.41175,18.775385,26.765313,148.018905,10.083381,1.534048,212.295702,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,4,1,"Success",0.013757,3.731152,3.551106,19.10434,25.145906,111.160435,9.966646,1.428255,174.212805,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,5,1,"Success",0.012947,3.599004,3.455168,18.778479,27.842952,159.734561,10.199867,1.535734,225.270778,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,6,1,"Success",0.014459,3.903047,3.693827,19.456736,25.409244,152.650021,10.207357,1.600821,217.050464,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,7,1,"Success",0.014079,3.922235,3.702081,19.449093,27.297022,142.085785,10.204017,1.5843,208.371254,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,8,1,"Success",0.014048,3.917986,3.706061,19.467629,25.85548,148.255319,10.261847,1.550245,213.141598,268500992,0,134217728,1.9626156318e-17,0
