; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161851,"CurrentTimeLocal","Tue Sep 15 11:24:11 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 4.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.000854,116.91428,58.058342,0.000261,0.008461,0.007618,0.000303,0.012534,175.070901,1600,0,1600,6.0977347783e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.000334,59.193703,97.673781,0.000254,0.00613,0.007202,0.000193,0.005338,156.92672,1600,0,1600,4.4188806082e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.000248,45.524444,57.995934,0.000174,0.006354,0.005685,0.000312,0.005576,103.568191,1600,0,1600,5.1944497965e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.00025,41.780904,41.489767,0.000164,0.006279,0.006585,0.000305,0.005726,83.318674,1600,0,1600,4.0290637383e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.000244,41.156722,39.874832,0.000283,0.005652,0.00567,0.000203,0.005439,81.084942,1600,0,1600,2.7366461829e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.000236,37.339691,34.997859,0.000144,0.005043,0.004837,0.000184,0.004027,72.38464,1600,0,1600,3.9784183527e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.000238,35.692097,42.051558,0.000123,0.005062,0.004114,0.000167,0.004248,77.783235,1600,0,1600,5.1466517635e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,7,0,"Success",0.000238,42.190727,35.443643,0.000126,0.004761,0.0045,0.000107,0.004239,77.674986,1600,0,1600,4.5646446524e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,8,0,"Success",0.000242,35.865864,33.875846,0.000162,0.005112,0.004106,0.000121,0.003914,69.780869,1600,0,1600,3.6767333788e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,9,0,"Success",0.00025,34.481649,34.091854,0.000139,0.005236,0.004421,0.000201,0.004031,68.612694,1600,0,1600,3.9784183527e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,10,0,"Success",0.000251,34.23423,33.833944,0.000139,0.004662,0.004514,0.000194,0.004181,68.106957,1600,0,1600,3.9784183527e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,11,0,"Success",0.000341,34.44304,34.072716,0.000137,0.004447,0.00391,9.4e-05,0.003881,68.552962,1600,0,1600,4.822359824e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,12,0,"Success",0.000252,34.222441,33.794415,0.000141,0.004867,0.005205,0.000242,0.004699,68.056982,1600,0,1600,3.8964263858e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,13,0,"Success",0.000245,34.44676,34.084958,0.000153,0.004177,0.004982,0.000105,0.003914,68.569714,1600,0,1600,3.2624124813e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,14,0,"Success",0.000215,34.295942,33.832088,0.00015,0.005218,0.004317,0.000125,0.003908,68.166668,1600,0,1600,5.3017169446e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,15,0,"Success",0.000266,34.414926,34.020048,0.000125,0.004777,0.004019,0.000221,0.0043,68.473309,1600,0,1600,4.543640428e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,16,0,"Success",0.000229,34.214285,33.85506,0.000129,0.004937,0.00426,0.000197,0.004486,68.108,1600,0,1600,2.7366461829e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,17,0,"Success",0.000248,34.482305,33.972923,0.000148,0.005584,0.004336,0.000115,0.00341,68.49421,1600,0,1600,6.8244064866e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,18,0,"Success",0.000259,34.624792,33.83251,0.000162,0.004166,0.004775,0.000204,0.004807,68.497293,1600,0,1600,4.0218133858e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,19,0,"Success",0.000271,34.531563,34.069778,0.000149,0.004685,0.004725,0.00022,0.004278,68.640783,1600,0,1600,3.9784183527e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,0,1,"Success",0.000225,60.816951,59.523078,0.000182,0.005181,0.005037,0.000161,0.005253,120.38125,3200,0,3200,1.4636401897e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,1,1,"Success",0.000215,60.961231,59.934268,0.000174,0.00593,0.00492,0.000164,0.005259,120.937055,3200,0,3200,1.4636401897e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,2,1,"Success",0.000232,60.790462,59.644823,0.000203,0.005576,0.004927,0.000143,0.004877,120.476361,3200,0,3200,1.4636401897e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,3,1,"Success",0.000305,60.770097,59.617,0.000197,0.00501,0.006423,0.000162,0.005882,120.429879,3200,0,3200,2.9366999545e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,4,1,"Success",0.000219,61.043943,63.011919,0.000197,0.006134,0.005371,0.000176,0.004658,124.098225,3200,0,3200,1.553357018e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,5,1,"Success",0.00023,60.522548,59.610063,0.000197,0.004691,0.005908,0.000167,0.005548,120.174261,3200,0,3200,2.4672183782e-17,0
