; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600853180,"CurrentTimeLocal","Wed Sep 23 11:26:20 2020","Hostname","taurusml22","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 6.6e-05
; "Time_ContextDestroy [ms]", 8.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.00767,17.037356,18.924033,0.427643,4.267227,3.625044,0.191999,0.185667,44.715925,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.005478,16.697564,18.563482,0.401527,1.68473,1.799189,0.190695,0.139847,39.511716,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.000277,16.410259,18.401933,0.237249,1.694289,1.769978,0.191548,0.132785,38.866378,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.00023,16.394034,18.502742,0.240035,1.695462,1.801152,0.190713,0.136479,38.988856,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.000203,16.420449,18.434029,0.236327,1.683008,1.78442,0.190681,0.136632,38.913732,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.000176,16.564387,18.633796,0.238945,1.627648,1.772071,0.190619,0.138645,39.194121,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.000205,16.923285,18.897186,0.239185,1.600779,5.84147,0.192601,0.133265,43.856754,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.000254,17.563203,19.734295,0.332442,1.505345,1.49307,0.190277,0.137686,40.986884,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.000244,17.561932,19.753936,0.242341,1.494459,1.497795,0.191369,0.135894,40.907223,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.000207,17.395544,19.597805,0.241947,4.390331,3.059145,0.19031,0.138177,45.043056,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.00025,17.059609,19.198308,0.240183,1.596362,1.466302,0.190777,0.132884,39.913743,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.000221,17.412263,19.343224,0.241678,1.606789,1.585165,0.192068,0.136667,40.548094,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.000217,17.098426,19.235186,0.241851,1.601168,1.46519,0.190562,0.136363,39.997998,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.000252,17.562624,19.713822,0.242142,3.859839,2.063409,0.190986,0.14102,43.803498,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.000244,17.516982,19.353319,0.24113,1.59386,1.462564,0.190144,0.133398,40.520749,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.000238,17.433124,18.90604,0.23794,3.165682,1.583861,0.190388,0.135548,41.681789,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.000279,17.237263,19.37056,0.239953,4.589493,4.832128,0.19098,0.136464,46.626458,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.00023,16.714203,18.764966,0.237793,1.730063,6.250974,0.191589,0.139546,44.058446,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.000226,16.683911,18.742245,0.238225,5.030546,5.011127,0.197964,0.133011,46.065432,3678400,0,3630000,1.4998352425e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.000229,16.087093,18.107589,0.232873,1.741574,1.808845,0.191954,0.143331,38.341442,3678400,0,3630000,1.4998352425e-16,0
