; "SupportedThreads",176,"UsedThreads",44,"TotalMemory",473043173376,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599734381,"CurrentTimeLocal","Thu Sep 10 12:39:41 2020","Hostname","taurusml17","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000133
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.014531,0.136344,0.124766,0.390943,11.557977,22.889404,0.181486,0.090336,35.386399,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.012826,0.106343,0.114243,0.373459,11.581414,22.903663,0.185226,0.075231,35.353105,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.021751,0.09305,0.11278,0.362221,11.542755,22.893548,0.182134,0.073598,35.282463,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.015448,0.096519,0.121537,0.362305,11.762028,22.590054,0.172029,0.068999,35.189725,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.011325,0.112481,0.11769,0.322241,11.609539,23.012603,0.178774,0.078092,35.443293,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.009958,0.110754,0.121912,0.359739,11.652057,22.985831,0.176625,0.079662,35.497064,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.009607,0.110661,0.123137,0.336588,11.629986,23.024311,0.193349,0.070058,35.498293,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.009078,0.110397,0.117235,0.329225,11.60577,22.744842,0.177035,0.080553,35.175068,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.009281,0.11137,0.121131,0.333608,11.587043,22.89366,0.182041,0.077848,35.31651,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,9,2,"Success",0.009726,0.111737,0.120597,0.342975,11.563422,22.875807,0.17534,0.080358,35.280479,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,10,2,"Success",0.009941,0.111124,0.119596,0.331813,11.544889,22.764205,0.17219,0.081524,35.136071,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,11,2,"Success",0.01048,0.111533,0.119708,0.331207,11.556235,22.445093,0.168012,0.067274,34.810162,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,12,2,"Success",0.015087,0.082303,0.109919,0.339654,11.640259,22.941378,0.178888,0.073762,35.382057,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,13,2,"Success",0.014003,0.110036,0.107395,0.325801,11.569216,22.894073,0.183923,0.076359,35.281407,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,14,2,"Success",0.008903,0.111541,0.119955,0.490417,11.580699,22.651737,0.170369,0.08308,35.217195,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,15,2,"Success",0.008503,0.109411,0.120079,0.335532,11.565059,22.858241,0.172662,0.081106,35.251102,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,16,2,"Success",0.009212,0.111038,0.119057,0.329683,11.56712,22.335767,0.16851,0.067377,34.708335,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,17,2,"Success",0.013662,0.088729,0.119545,0.330904,11.351737,22.28556,0.163742,0.073061,34.427562,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,18,2,"Success",0.015079,0.108156,0.107477,0.334873,11.580251,22.304124,0.171238,0.070774,34.692639,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",51,51,144,19,2,"Success",0.008818,0.109788,0.122953,0.326284,11.556448,22.874295,0.185068,0.07167,35.255846,6034320,0,2996352,2.9388303756e-15,0
"Fftw_ESSL","Outplace","Real","double",3,"oddshape",55,55,150,0,3,"Success",0.00877,0.080803,0.043416,0.488532,0.58158,6.819785,0.237383,0.096585,8.357764,7308400,0,3630000,1.7739423785e-16,0
