; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599473962,"CurrentTimeLocal","Mon Sep  7 12:19:22 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000123
; "Time_ContextDestroy [ms]", 3.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.000496,0.065365,0.004643,0.000107,0.007834,0.001008,0.000114,0.000615,0.08056,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.000545,0.005007,0.003857,9.6e-05,0.001025,0.000684,8e-05,0.00053,0.012162,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.00057,0.004686,0.0038,8e-05,0.000926,0.000732,8.1e-05,0.000562,0.011789,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.000545,0.004496,0.003711,8.4e-05,0.000931,0.000689,7.4e-05,0.000513,0.011385,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.00057,0.004365,0.003604,7.8e-05,0.000918,0.000701,7.4e-05,0.000568,0.011214,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.000572,0.004221,0.003637,8.8e-05,0.000916,0.000668,8.2e-05,0.000519,0.011044,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.000547,0.004232,0.00377,8.2e-05,0.000938,0.000664,6.6e-05,0.000511,0.011124,1600,0,1600,1.1064369999e-16,0
"Fftw_ESSL","Inplace","Complex","double",1,"radix357",100,0,0,7,0,"Success",0.000562,0.00417,0.003693,8.8e-05,0.000896,0.000674,6.8e-05,0.000496,0.010961,1600,0,1600,1.1064369999e-16,0
