; "SupportedThreads",176,"UsedThreads",88,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1599473962,"CurrentTimeLocal","Mon Sep  7 12:19:22 2020","Hostname","taurusml27","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000111
; "Time_ContextDestroy [ms]", 4.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,0,0,"Success",0.000611,366.241771,255.263635,0.000515,0.059773,0.050744,0.000436,0.012332,621.631298,1600,0,1600,4.0828605224e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,1,0,"Success",0.00052,254.928195,256.275865,0.000296,0.039784,0.06457,0.017015,0.019592,511.348098,1600,0,1600,4.7015653494e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,2,0,"Success",0.000598,258.89361,257.154428,0.000352,0.051979,0.042428,0.000439,0.02938,516.176794,1600,0,1600,4.8548314495e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,3,0,"Success",0.000514,260.346728,255.882226,0.000338,0.041339,0.05595,0.006922,0.016025,516.358052,1600,0,1600,5.5334228015e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,4,0,"Success",0.000581,258.005134,257.404299,0.000336,0.053463,0.065935,0.001267,0.013279,515.545339,1600,0,1600,5.8491343165e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,5,0,"Success",0.000527,257.235342,257.130379,0.000338,0.034547,0.054111,0.010607,0.025093,514.494041,1600,0,1600,3.337715833e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,6,0,"Success",0.000592,255.659327,257.268581,0.000384,0.044521,0.046089,0.011408,0.018404,513.056347,1600,0,1600,5.1598795376e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,7,0,"Success",0.000512,255.277574,254.834798,0.000377,0.034331,0.059752,0.003047,0.019464,510.232288,1600,0,1600,4.6378618453e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,8,0,"Success",0.000551,256.530601,255.710038,0.000383,0.042772,0.061685,0.010439,0.014859,512.378076,1600,0,1600,2.5319788086e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,9,0,"Success",0.000605,255.36753,254.964225,0.00037,0.043664,0.062351,0.003156,0.010273,510.459277,1600,0,1600,4.3326325866e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,10,0,"Success",0.000539,255.613432,255.613082,0.00035,0.048055,0.043311,0.00697,0.026622,511.356918,1600,0,1600,3.364855486e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,11,0,"Success",0.000605,255.056159,255.035742,0.000378,0.040284,0.051157,0.001615,0.033419,510.221443,1600,0,1600,5.4175075627e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,12,0,"Success",0.000469,255.543692,254.607712,0.00035,0.053254,0.043274,0.007957,0.020441,510.280382,1600,0,1600,3.6945381207e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,13,0,"Success",0.000544,256.165098,255.363827,0.000379,0.037233,0.060678,0.014203,0.020044,511.666085,1600,0,1600,5.4175075627e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,14,0,"Success",0.000506,255.699769,258.63824,0.000369,0.061332,0.041391,0.007066,0.025074,514.474639,1600,0,1600,5.0838732346e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,15,0,"Success",0.00061,255.328338,254.964463,0.000375,0.035132,0.076331,0.004736,0.015943,510.427718,1600,0,1600,5.1737112482e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,16,0,"Success",0.000496,255.365595,254.325243,0.000334,0.039159,0.058942,0.008335,0.029493,509.828584,1600,0,1600,5.5769536869e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,17,0,"Success",0.000592,255.271457,256.397087,0.000338,0.046791,0.066976,0.003494,0.017629,511.805293,1600,0,1600,4.8942849066e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,18,0,"Success",0.000486,256.33229,255.631636,0.000368,0.040786,0.046239,0.01481,0.020371,512.090057,1600,0,1600,4.283617308e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",100,0,0,19,0,"Success",0.000607,254.669339,254.354502,0.000352,0.061227,0.046225,0.00465,0.01956,509.161959,1600,0,1600,4.4188806082e-17,0
